roc_auc,average_precision,brier_score,log_loss,pairwise_accuracy,model,held_out_repo,n_files,n_pairs
0.5475,0.599812036223365,0.24861372744306082,0.690371362714132,0.65,baseline_size,curl,80,40
0.40625,0.44760807887930143,0.33933854655027557,0.9416933288245797,0.45,baseline_history,curl,80,40
0.40874999999999995,0.43332196245388405,0.3479973621596805,0.9732780079567936,0.4,baseline_history_plus_structure,curl,80,40
0.42,0.45146988902750185,0.32611072297400295,0.8943355304988156,0.45,baseline_plus_composite,curl,80,40
0.6,0.6087301587301587,0.24759699974098096,0.6883820933401162,0.6,baseline_size,django-django,10,5
0.52,0.5833333333333334,0.2507628728363979,0.6947773358520435,0.6,baseline_history,django-django,10,5
0.16,0.39722222222222214,0.2792072019830831,0.753074907664357,0.0,baseline_history_plus_structure,django-django,10,5
0.4,0.5888888888888888,0.26423828682669004,0.7208812493690063,0.4,baseline_plus_composite,django-django,10,5
0.6,0.6383367071524966,0.24666894539373815,0.6864757631116742,0.6,baseline_size,git,20,10
0.49,0.6096904024767802,0.25927682733558866,0.7127069135385057,0.4,baseline_history,git,20,10
0.48,0.6067335004177109,0.261184927583351,0.7171481786783824,0.5,baseline_history_plus_structure,git,20,10
0.49,0.5492326627620745,0.2526457980636453,0.694593138829164,0.4,baseline_plus_composite,git,20,10
0.5102040816326531,0.6056998556998556,0.24968421173899458,0.6924425896086036,0.42857142857142855,baseline_size,jq,14,7
0.2857142857142857,0.4146825396825397,0.3092724941022497,0.8387991671546421,0.0,baseline_history,jq,14,7
0.3061224489795918,0.42627808699237274,0.3075487777414728,0.8276904423173235,0.2857142857142857,baseline_history_plus_structure,jq,14,7
0.3877551020408163,0.4623848373848373,0.2945045088103316,0.7889912820182706,0.42857142857142855,baseline_plus_composite,jq,14,7
0.6666666666666666,0.8333333333333333,0.25034227779872426,0.6938248701355555,0.6666666666666666,baseline_size,openssh,6,3
0.33333333333333337,0.4777777777777778,0.26377174916875085,0.7224597406807517,0.3333333333333333,baseline_history,openssh,6,3
0.33333333333333337,0.4777777777777778,0.2922109603804122,0.7885535243311107,0.3333333333333333,baseline_history_plus_structure,openssh,6,3
0.6666666666666667,0.6388888888888888,0.287643418275957,0.7827164447264049,0.6666666666666666,baseline_plus_composite,openssh,6,3
1.0,1.0,0.239312857470937,0.6716940647113054,1.0,baseline_size,php-src,2,1
0.0,0.5,0.33390579236483753,0.8666106872513083,0.0,baseline_history,php-src,2,1
0.0,0.5,0.32104048424649134,0.8388335338028892,0.0,baseline_history_plus_structure,php-src,2,1
0.0,0.5,0.3257570244858663,0.8476909252504914,0.0,baseline_plus_composite,php-src,2,1
0.0,0.5,0.2595661629502264,0.7122818772671948,0.0,baseline_size,psf-requests,2,1
0.0,0.5,0.25672348543453083,0.7066261421212794,0.0,baseline_history,psf-requests,2,1
0.0,0.5,0.28279154044969435,0.7588201696537846,0.0,baseline_history_plus_structure,psf-requests,2,1
0.0,0.5,0.33404398824357395,0.8654351193078361,0.0,baseline_plus_composite,psf-requests,2,1
0.4722222222222222,0.5285714285714286,0.26023957371953294,0.713924652817496,0.5,baseline_size,traefik-traefik,12,6
0.38888888888888895,0.5529100529100529,0.2581929037598041,0.7096162607923832,0.5,baseline_history,traefik-traefik,12,6
0.38888888888888884,0.5608164983164983,0.26016614365960283,0.7136251006464559,0.5,baseline_history_plus_structure,traefik-traefik,12,6
0.5555555555555556,0.6236471861471861,0.25935239515882963,0.7133235404509691,0.6666666666666666,baseline_plus_composite,traefik-traefik,12,6
0.6859504132231405,0.6836441336441335,0.24436450176413593,0.6819418690025475,0.5454545454545454,baseline_size,zlib,22,11
0.1983471074380165,0.37584549952971,0.2889917184581089,0.7723942749045828,0.18181818181818182,baseline_history,zlib,22,11
0.16528925619834708,0.3639916670876423,0.2920777208098156,0.7787181675887698,0.09090909090909091,baseline_history_plus_structure,zlib,22,11
0.4958677685950413,0.6122906977783139,0.2431491936873277,0.6765138906387841,0.45454545454545453,baseline_plus_composite,zlib,22,11
