repo,event_id,published_epoch,published,fixed_commit,fixed_epoch,aliases,source,source_family,candidate_commits,candidate_commit_count,event_date_source,severity_score,severity_label,severity_source,snapshot_commit,changed_source_commit_count,changed_source_files_count,changed_source_files,snapshot_tag,snapshot_date,snapshot_key
django-django,CVE-2018-14574,1532535183,2018-07-25T16:13:03+00:00,d6eaee092709aad477a9894598496c6deec532ff,1532535183,CVE-2018-14574,explicit_id,explicit_only,0006538e53bf11d1de26801b13b78807354de2c8;3dc02de7618c3e5b058f6b6aff22c55c818584ca;6fffc3c6d420e44f4029d5643f38d00a39b08525;98c77c5a700eed4bd314a40ab70904db0c0adac6;a656a681272f8f3734b6eb38e9a88aa0d91806f1;c4e5ff7fdb5fce447675e90291fd33fddd052b3c;d6eaee092709aad477a9894598496c6deec532ff;e7dffda16729e79194813427c775c94f141f127c,8,fixed_commit_epoch,,UNKNOWN,unavailable,5d5ae260f83a530a03d08235fda9e0d575fd61d1,8,3,django/middleware/common.py;django/urls/resolvers.py;django/utils/http.py,1.11.6,2017-10-05T18:16:31+00:00,django-django:1.11.6
django-django,CVE-2023-24580,1676423710,2023-02-15T01:15:10+00:00,83f1ea83e4553e211c1c5a0dfc197b66d4e50432,1675762592,BIT-DJANGO-2023-24580;CVE-2023-24580;GHSA-2HRW-HX67-34X6;PYSEC-2023-13,explicit_id+osv_range,explicit_plus_range,4d51383f09870e3dade9967a60c956fb81b874a7;628b33a854a9c68ec8a0c51f382f304a0044ec92;722e9f8a38f5b34f2423059a75f8a59bb8eb931a;7ac5ff37b822c14e5b6be99da7f618eb1fe06062;83f1ea83e4553e211c1c5a0dfc197b66d4e50432;85ac33591c393f1480d4f23b4daff40119cb6410;963f24cff2820d2b2902da0a9218e93c3933e713;991461a3b371d023b66a6fa098b5b219b1cf4e7a;a665ed5179f5bbd3db95ce67286d0192eff041d8;ac8cf0ae76a825f8849a6bfb1cdf94b882ad43f6;c57ff9ba5e251cd4c2761105a6046662c08f951e;ecafcaf634fcef93f9da8cb12795273dd1c3a576;ef62a3a68c9d558486145a42c0d71ea9a76add9e,13,osv_published,7.5,HIGH,osv_severity,b12be7ad6b83ffc512252953ef28d0d099f96ad7,13,6,django/__init__.py;django/conf/global_settings.py;django/core/exceptions.py;django/core/handlers/exception.py;django/http/multipartparser.py;django/http/request.py,4.0.2,2022-02-01T06:59:05+00:00,django-django:4.0.2
django-django,CVE-2024-27351,1710533709,2024-03-15T20:15:09+00:00,3394fc6132436eca89e997083bae9985fb7e761e,1709536960,BIT-DJANGO-2024-27351;CVE-2024-27351;GHSA-VM8Q-M57G-PFF3;PYSEC-2024-47,explicit_id+osv_range+osv_ref,explicit_plus_reference_plus_range,072963e4c4d0b3a7a8c5412bc0c7d27d1a9c3521;3394fc6132436eca89e997083bae9985fb7e761e;3591e1c1acbd7c13174275367c3fdf012cb0413b;3c9a2771cc80821e041b16eb36c1c37af5349d4a;4b64d7285c4aa592c902985b6284ee3afe904595;61a986f53d805e4d359ab61af60a2dcd55befe25;a76c52b19a221147f3a903848f711daa367e2e20;c98eca322af87adf046ab621e7c8a23d340f7afe;d890728833e37297e99e3d0e7c433f7447e76ad5;da39ae4b5f056a332b5c48402a2ae11767e7d577;f6ad8c7676f85dfde5a279b6b1469251421289e2,11,osv_published,5.3,MEDIUM,osv_severity,428d06ccef09e70bcef9869c5a9404863b2fc7d8,11,2,django/__init__.py;django/utils/text.py,5.0.2,2024-02-06T12:22:47+00:00,django-django:5.0.2
traefik-traefik,CVE-2022-46153,1670535982,2022-12-08T21:46:22+00:00,7e3fe48b80083b41e9ff82a474a36484cabc701a,1670347685,CVE-2022-46153;GHSA-468W-8X39-GJ5V;GO-2022-1152,osv_range+osv_ref,reference_plus_range,7e3fe48b80083b41e9ff82a474a36484cabc701a;d97d3a6726ad6e50110dd2ff2b552a8b17eeed55,2,osv_published,8.1,HIGH,osv_severity,5841c9a7a5f6bc7de0f0c15daaafb35d02c7d330,2,8,integration/https_test.go;integration/tcp_test.go;pkg/server/router/router.go;pkg/server/router/router_test.go;pkg/server/router/tcp/router.go;pkg/server/routerfactory.go;pkg/tls/tlsmanager.go;pkg/tls/tlsmanager_test.go,v2.4.9,2021-06-21T15:00:09+00:00,traefik-traefik:v2.4.9
traefik-traefik,CVE-2022-46153,1670535982,2022-12-08T21:46:22+00:00,7e3fe48b80083b41e9ff82a474a36484cabc701a,1670347685,CVE-2022-46153;GHSA-468W-8X39-GJ5V;GO-2022-1152,osv_range+osv_ref,reference_plus_range,7e3fe48b80083b41e9ff82a474a36484cabc701a;d97d3a6726ad6e50110dd2ff2b552a8b17eeed55,2,osv_published,8.1,HIGH,osv_severity,9398222db766a276bb0e01969b6a4c39fa57931c,2,8,integration/https_test.go;integration/tcp_test.go;pkg/server/router/router.go;pkg/server/router/router_test.go;pkg/server/router/tcp/router.go;pkg/server/routerfactory.go;pkg/tls/tlsmanager.go;pkg/tls/tlsmanager_test.go,v2.6.2,2022-03-24T16:14:57+00:00,traefik-traefik:v2.6.2
traefik-traefik,CVE-2024-28869,1712956116,2024-04-12T21:08:36+00:00,240b83b77351dfd8cadb91c305b84e9d22e0f9c6,1712848683,CVE-2024-28869;GHSA-4VWX-54MW-VQFW;GO-2024-2722,osv_range+osv_ref,reference_plus_range,240b83b77351dfd8cadb91c305b84e9d22e0f9c6;b9b75277620cb6d07c1342aa497323a8fac9cddd;da7bb5fc25ab21d6a8f5ff6ca44eeaddc47ee210,3,osv_published,7.5,HIGH,osv_severity,cfef9d9df2d7520bd006c51fd3510c1a38af58d7,3,1,pkg/config/static/static_config.go,v2.9.7,2023-02-14T15:09:19+00:00,traefik-traefik:v2.9.7
traefik-traefik,CVE-2024-28869,1712956116,2024-04-12T21:08:36+00:00,240b83b77351dfd8cadb91c305b84e9d22e0f9c6,1712848683,CVE-2024-28869;GHSA-4VWX-54MW-VQFW;GO-2024-2722,osv_range+osv_ref,reference_plus_range,240b83b77351dfd8cadb91c305b84e9d22e0f9c6;b9b75277620cb6d07c1342aa497323a8fac9cddd;da7bb5fc25ab21d6a8f5ff6ca44eeaddc47ee210,3,osv_published,7.5,HIGH,osv_severity,547cd815997d6b29468dcfc6da7f2fba5655da9a,3,1,pkg/config/static/static_config.go,v2.11.0-rc2,2024-01-24T14:20:09+00:00,traefik-traefik:v2.11.0-rc2
traefik-traefik,CVE-2025-47952,1748576232,2025-05-30T03:37:12+00:00,08d5dfee0164aa54dd44a467870042e18e8d3f00,1748005805,CVE-2025-47952;GHSA-VRCH-868G-9JX5;GO-2025-3719,osv_range+osv_ref,reference_plus_range,08d5dfee0164aa54dd44a467870042e18e8d3f00;5f35c888051a2d33998a5cac3bd945b11b555d93,2,osv_published,,UNKNOWN,osv_severity,547cd815997d6b29468dcfc6da7f2fba5655da9a,2,4,integration/simple_test.go;pkg/muxer/http/mux.go;pkg/server/server_entrypoint_tcp.go;pkg/server/server_entrypoint_tcp_test.go,v2.11.0-rc2,2024-01-24T14:20:09+00:00,traefik-traefik:v2.11.0-rc2
traefik-traefik,CVE-2025-54386,1754091141,2025-08-01T23:32:21+00:00,5ef853a0c53068f69a6c229a5815a0dc6e0a8800,1753187045,CVE-2025-54386;GHSA-Q6GG-9F92-R9WG;GO-2025-3835,osv_range+osv_ref,reference_plus_range,5ef853a0c53068f69a6c229a5815a0dc6e0a8800;77ef7fe490994d83b3d692e6b52f15db4c37e4b4,2,osv_published,,UNKNOWN,osv_severity,547cd815997d6b29468dcfc6da7f2fba5655da9a,2,1,pkg/plugins/client.go,v2.11.0-rc2,2024-01-24T14:20:09+00:00,traefik-traefik:v2.11.0-rc2
traefik-traefik,CVE-2025-66491,1765240719,2025-12-09T00:38:39+00:00,14a1aedf5704673d875d210d7bacf103a43c77e4,1764773164,CVE-2025-66491;GHSA-7VWW-MVCR-X6VJ;GO-2025-4205,osv_range+osv_ref,reference_plus_range,14a1aedf5704673d875d210d7bacf103a43c77e4;8a621274b81cd177ea5f6e07a5d5472af7d213b3,2,osv_published,5.9,MEDIUM,osv_severity,547cd815997d6b29468dcfc6da7f2fba5655da9a,2,0,,v2.11.0-rc2,2024-01-24T14:20:09+00:00,traefik-traefik:v2.11.0-rc2
traefik-traefik,CVE-2026-22045,1768517045,2026-01-15T22:44:05+00:00,e9f3089e9045812bcf1b410a9d40568917b26c3d,1767885365,CVE-2026-22045;GHSA-CWJM-3F7H-9HWQ;GO-2026-4322,osv_range+osv_ref,reference_plus_range,17283643416ef8e830565ce40d3d3d7cc453e68e;9e5d4ba5a1cdcf3465630cef858945f90f6b4279;e9f3089e9045812bcf1b410a9d40568917b26c3d,3,osv_published,5.9,MEDIUM,osv_severity,547cd815997d6b29468dcfc6da7f2fba5655da9a,3,2,pkg/server/router/tcp/router.go;pkg/server/router/tcp/router_test.go,v2.11.0-rc2,2024-01-24T14:20:09+00:00,traefik-traefik:v2.11.0-rc2
