repo,snapshot_tag,snapshot_date,event_id,event_observation_id,event_published,event_date_source,severity_band,severity_score,severity_label,severity_source,ground_truth_source,ground_truth_source_family,ground_truth_aliases,fixed_commit,commit_subject,case_file,control_file,changed_source_files_count,changed_source_files_sample,review_decision,review_notes
django-django,4.0.2,2022-02-01T06:59:05+00:00,CVE-2023-24580,django-django:4.0.2:CVE-2023-24580,2023-02-15T01:15:10+00:00,osv_published,all,7.5,HIGH,osv_severity,explicit_id+osv_range,explicit_plus_range,BIT-DJANGO-2023-24580;CVE-2023-24580;GHSA-2HRW-HX67-34X6;PYSEC-2023-13,83f1ea83e4553e211c1c5a0dfc197b66d4e50432,[4.0.x] Fixed CVE-2023-24580 -- Prevented DoS with too many uploaded files.,django/conf/global_settings.py,django/http/response.py,5,django/conf/global_settings.py;django/core/exceptions.py;django/core/handlers/exception.py;django/http/multipartparser.py;django/http/request.py,,
django-django,4.0.2,2022-02-01T06:59:05+00:00,CVE-2023-24580,django-django:4.0.2:CVE-2023-24580,2023-02-15T01:15:10+00:00,osv_published,all,7.5,HIGH,osv_severity,explicit_id+osv_range,explicit_plus_range,BIT-DJANGO-2023-24580;CVE-2023-24580;GHSA-2HRW-HX67-34X6;PYSEC-2023-13,83f1ea83e4553e211c1c5a0dfc197b66d4e50432,[4.0.x] Fixed CVE-2023-24580 -- Prevented DoS with too many uploaded files.,django/core/exceptions.py,django/views/csrf.py,5,django/conf/global_settings.py;django/core/exceptions.py;django/core/handlers/exception.py;django/http/multipartparser.py;django/http/request.py,,
django-django,4.0.2,2022-02-01T06:59:05+00:00,CVE-2023-24580,django-django:4.0.2:CVE-2023-24580,2023-02-15T01:15:10+00:00,osv_published,all,7.5,HIGH,osv_severity,explicit_id+osv_range,explicit_plus_range,BIT-DJANGO-2023-24580;CVE-2023-24580;GHSA-2HRW-HX67-34X6;PYSEC-2023-13,83f1ea83e4553e211c1c5a0dfc197b66d4e50432,[4.0.x] Fixed CVE-2023-24580 -- Prevented DoS with too many uploaded files.,django/core/handlers/exception.py,django/contrib/auth/middleware.py,5,django/conf/global_settings.py;django/core/exceptions.py;django/core/handlers/exception.py;django/http/multipartparser.py;django/http/request.py,,
django-django,4.0.2,2022-02-01T06:59:05+00:00,CVE-2023-24580,django-django:4.0.2:CVE-2023-24580,2023-02-15T01:15:10+00:00,osv_published,all,7.5,HIGH,osv_severity,explicit_id+osv_range,explicit_plus_range,BIT-DJANGO-2023-24580;CVE-2023-24580;GHSA-2HRW-HX67-34X6;PYSEC-2023-13,83f1ea83e4553e211c1c5a0dfc197b66d4e50432,[4.0.x] Fixed CVE-2023-24580 -- Prevented DoS with too many uploaded files.,django/http/request.py,django/core/validators.py,5,django/conf/global_settings.py;django/core/exceptions.py;django/core/handlers/exception.py;django/http/multipartparser.py;django/http/request.py,,
traefik-traefik,v2.4.9,2021-06-21T15:00:09+00:00,CVE-2022-46153,traefik-traefik:v2.4.9:CVE-2022-46153,2022-12-08T21:46:22+00:00,osv_published,all,8.1,HIGH,osv_severity,osv_range+osv_ref,reference_plus_range,CVE-2022-46153;GHSA-468W-8X39-GJ5V;GO-2022-1152,7e3fe48b80083b41e9ff82a474a36484cabc701a,Handle broken TLS conf better,integration/https_test.go,integration/simple_test.go,9,integration/https_test.go;integration/tcp_test.go;pkg/server/router/router.go;pkg/server/router/router_test.go;pkg/server/router/tcp/manager.go;pkg/server/router/tcp/router.go;pkg/server/routerfactory.go;pkg/tls/tlsmanager.go;pkg/tls/tlsmanager_test.go,,
traefik-traefik,v2.4.9,2021-06-21T15:00:09+00:00,CVE-2022-46153,traefik-traefik:v2.4.9:CVE-2022-46153,2022-12-08T21:46:22+00:00,osv_published,all,8.1,HIGH,osv_severity,osv_range+osv_ref,reference_plus_range,CVE-2022-46153;GHSA-468W-8X39-GJ5V;GO-2022-1152,7e3fe48b80083b41e9ff82a474a36484cabc701a,Handle broken TLS conf better,integration/tcp_test.go,integration/healthcheck_test.go,9,integration/https_test.go;integration/tcp_test.go;pkg/server/router/router.go;pkg/server/router/router_test.go;pkg/server/router/tcp/manager.go;pkg/server/router/tcp/router.go;pkg/server/routerfactory.go;pkg/tls/tlsmanager.go;pkg/tls/tlsmanager_test.go,,
traefik-traefik,v2.4.9,2021-06-21T15:00:09+00:00,CVE-2022-46153,traefik-traefik:v2.4.9:CVE-2022-46153,2022-12-08T21:46:22+00:00,osv_published,all,8.1,HIGH,osv_severity,osv_range+osv_ref,reference_plus_range,CVE-2022-46153;GHSA-468W-8X39-GJ5V;GO-2022-1152,7e3fe48b80083b41e9ff82a474a36484cabc701a,Handle broken TLS conf better,pkg/server/router/router.go,pkg/config/runtime/runtime_http.go,9,integration/https_test.go;integration/tcp_test.go;pkg/server/router/router.go;pkg/server/router/router_test.go;pkg/server/router/tcp/manager.go;pkg/server/router/tcp/router.go;pkg/server/routerfactory.go;pkg/tls/tlsmanager.go;pkg/tls/tlsmanager_test.go,,
traefik-traefik,v2.4.9,2021-06-21T15:00:09+00:00,CVE-2022-46153,traefik-traefik:v2.4.9:CVE-2022-46153,2022-12-08T21:46:22+00:00,osv_published,all,8.1,HIGH,osv_severity,osv_range+osv_ref,reference_plus_range,CVE-2022-46153;GHSA-468W-8X39-GJ5V;GO-2022-1152,7e3fe48b80083b41e9ff82a474a36484cabc701a,Handle broken TLS conf better,pkg/server/router/router_test.go,pkg/middlewares/accesslog/logger_test.go,9,integration/https_test.go;integration/tcp_test.go;pkg/server/router/router.go;pkg/server/router/router_test.go;pkg/server/router/tcp/manager.go;pkg/server/router/tcp/router.go;pkg/server/routerfactory.go;pkg/tls/tlsmanager.go;pkg/tls/tlsmanager_test.go,,
traefik-traefik,v2.4.9,2021-06-21T15:00:09+00:00,CVE-2022-46153,traefik-traefik:v2.4.9:CVE-2022-46153,2022-12-08T21:46:22+00:00,osv_published,all,8.1,HIGH,osv_severity,osv_range+osv_ref,reference_plus_range,CVE-2022-46153;GHSA-468W-8X39-GJ5V;GO-2022-1152,7e3fe48b80083b41e9ff82a474a36484cabc701a,Handle broken TLS conf better,pkg/server/router/tcp/router.go,pkg/provider/kubernetes/ingress/annotations_test.go,9,integration/https_test.go;integration/tcp_test.go;pkg/server/router/router.go;pkg/server/router/router_test.go;pkg/server/router/tcp/manager.go;pkg/server/router/tcp/router.go;pkg/server/routerfactory.go;pkg/tls/tlsmanager.go;pkg/tls/tlsmanager_test.go,,
traefik-traefik,v2.4.9,2021-06-21T15:00:09+00:00,CVE-2022-46153,traefik-traefik:v2.4.9:CVE-2022-46153,2022-12-08T21:46:22+00:00,osv_published,all,8.1,HIGH,osv_severity,osv_range+osv_ref,reference_plus_range,CVE-2022-46153;GHSA-468W-8X39-GJ5V;GO-2022-1152,7e3fe48b80083b41e9ff82a474a36484cabc701a,Handle broken TLS conf better,pkg/server/routerfactory.go,pkg/safe/routine_test.go,9,integration/https_test.go;integration/tcp_test.go;pkg/server/router/router.go;pkg/server/router/router_test.go;pkg/server/router/tcp/manager.go;pkg/server/router/tcp/router.go;pkg/server/routerfactory.go;pkg/tls/tlsmanager.go;pkg/tls/tlsmanager_test.go,,
traefik-traefik,v2.4.9,2021-06-21T15:00:09+00:00,CVE-2022-46153,traefik-traefik:v2.4.9:CVE-2022-46153,2022-12-08T21:46:22+00:00,osv_published,all,8.1,HIGH,osv_severity,osv_range+osv_ref,reference_plus_range,CVE-2022-46153;GHSA-468W-8X39-GJ5V;GO-2022-1152,7e3fe48b80083b41e9ff82a474a36484cabc701a,Handle broken TLS conf better,pkg/tls/tlsmanager.go,pkg/metrics/pilot.go,9,integration/https_test.go;integration/tcp_test.go;pkg/server/router/router.go;pkg/server/router/router_test.go;pkg/server/router/tcp/manager.go;pkg/server/router/tcp/router.go;pkg/server/routerfactory.go;pkg/tls/tlsmanager.go;pkg/tls/tlsmanager_test.go,,
traefik-traefik,v2.4.9,2021-06-21T15:00:09+00:00,CVE-2022-46153,traefik-traefik:v2.4.9:CVE-2022-46153,2022-12-08T21:46:22+00:00,osv_published,all,8.1,HIGH,osv_severity,osv_range+osv_ref,reference_plus_range,CVE-2022-46153;GHSA-468W-8X39-GJ5V;GO-2022-1152,7e3fe48b80083b41e9ff82a474a36484cabc701a,Handle broken TLS conf better,pkg/tls/tlsmanager_test.go,pkg/healthcheck/healthcheck.go,9,integration/https_test.go;integration/tcp_test.go;pkg/server/router/router.go;pkg/server/router/router_test.go;pkg/server/router/tcp/manager.go;pkg/server/router/tcp/router.go;pkg/server/routerfactory.go;pkg/tls/tlsmanager.go;pkg/tls/tlsmanager_test.go,,
traefik-traefik,v2.6.2,2022-03-24T16:14:57+00:00,CVE-2022-46153,traefik-traefik:v2.6.2:CVE-2022-46153,2022-12-08T21:46:22+00:00,osv_published,all,8.1,HIGH,osv_severity,osv_range+osv_ref,reference_plus_range,CVE-2022-46153;GHSA-468W-8X39-GJ5V;GO-2022-1152,7e3fe48b80083b41e9ff82a474a36484cabc701a,Handle broken TLS conf better,pkg/server/router/router.go,pkg/config/kv/kv_node_test.go,9,integration/https_test.go;integration/tcp_test.go;pkg/server/router/router.go;pkg/server/router/router_test.go;pkg/server/router/tcp/manager.go;pkg/server/router/tcp/router.go;pkg/server/routerfactory.go;pkg/tls/tlsmanager.go;pkg/tls/tlsmanager_test.go,,
traefik-traefik,v2.6.2,2022-03-24T16:14:57+00:00,CVE-2022-46153,traefik-traefik:v2.6.2:CVE-2022-46153,2022-12-08T21:46:22+00:00,osv_published,all,8.1,HIGH,osv_severity,osv_range+osv_ref,reference_plus_range,CVE-2022-46153;GHSA-468W-8X39-GJ5V;GO-2022-1152,7e3fe48b80083b41e9ff82a474a36484cabc701a,Handle broken TLS conf better,pkg/server/router/router_test.go,pkg/middlewares/accesslog/logger_test.go,9,integration/https_test.go;integration/tcp_test.go;pkg/server/router/router.go;pkg/server/router/router_test.go;pkg/server/router/tcp/manager.go;pkg/server/router/tcp/router.go;pkg/server/routerfactory.go;pkg/tls/tlsmanager.go;pkg/tls/tlsmanager_test.go,,
traefik-traefik,v2.6.2,2022-03-24T16:14:57+00:00,CVE-2022-46153,traefik-traefik:v2.6.2:CVE-2022-46153,2022-12-08T21:46:22+00:00,osv_published,all,8.1,HIGH,osv_severity,osv_range+osv_ref,reference_plus_range,CVE-2022-46153;GHSA-468W-8X39-GJ5V;GO-2022-1152,7e3fe48b80083b41e9ff82a474a36484cabc701a,Handle broken TLS conf better,pkg/tls/tlsmanager.go,pkg/metrics/pilot_test.go,9,integration/https_test.go;integration/tcp_test.go;pkg/server/router/router.go;pkg/server/router/router_test.go;pkg/server/router/tcp/manager.go;pkg/server/router/tcp/router.go;pkg/server/routerfactory.go;pkg/tls/tlsmanager.go;pkg/tls/tlsmanager_test.go,,
traefik-traefik,v2.11.0-rc2,2024-01-24T14:20:09+00:00,CVE-2025-47952,traefik-traefik:v2.11.0-rc2:CVE-2025-47952,2025-05-30T03:37:12+00:00,osv_published,all,,UNKNOWN,osv_severity,osv_range+osv_ref,reference_plus_range,CVE-2025-47952;GHSA-VRCH-868G-9JX5;GO-2025-3719,08d5dfee0164aa54dd44a467870042e18e8d3f00,Normalize request path,pkg/muxer/http/mux.go,pkg/provider/consulcatalog/config.go,4,integration/simple_test.go;pkg/muxer/http/mux.go;pkg/server/server_entrypoint_tcp.go;pkg/server/server_entrypoint_tcp_test.go,,
traefik-traefik,v2.11.0-rc2,2024-01-24T14:20:09+00:00,CVE-2025-54386,traefik-traefik:v2.11.0-rc2:CVE-2025-54386,2025-08-01T23:32:21+00:00,osv_published,all,,UNKNOWN,osv_severity,osv_range+osv_ref,reference_plus_range,CVE-2025-54386;GHSA-Q6GG-9F92-R9WG;GO-2025-3835,5ef853a0c53068f69a6c229a5815a0dc6e0a8800,Fix client arbitrary file access during archive extraction zipslip,pkg/plugins/client.go,pkg/metrics/influxdb.go,1,pkg/plugins/client.go,,
traefik-traefik,v2.11.0-rc2,2024-01-24T14:20:09+00:00,CVE-2026-22045,traefik-traefik:v2.11.0-rc2:CVE-2026-22045,2026-01-15T22:44:05+00:00,osv_published,all,5.9,MEDIUM,osv_severity,osv_range+osv_ref,reference_plus_range,CVE-2026-22045;GHSA-CWJM-3F7H-9HWQ;GO-2026-4322,e9f3089e9045812bcf1b410a9d40568917b26c3d,Add timeout to ACME-TLS/1 challenge handshake,pkg/server/router/tcp/router.go,pkg/provider/kubernetes/crd/client-containous.go,2,pkg/server/router/tcp/router.go;pkg/server/router/tcp/router_test.go,,
traefik-traefik,v2.11.0-rc2,2024-01-24T14:20:09+00:00,CVE-2026-22045,traefik-traefik:v2.11.0-rc2:CVE-2026-22045,2026-01-15T22:44:05+00:00,osv_published,all,5.9,MEDIUM,osv_severity,osv_range+osv_ref,reference_plus_range,CVE-2026-22045;GHSA-CWJM-3F7H-9HWQ;GO-2026-4322,e9f3089e9045812bcf1b410a9d40568917b26c3d,Add timeout to ACME-TLS/1 challenge handshake,pkg/server/router/tcp/router_test.go,pkg/provider/kubernetes/ingress/kubernetes.go,2,pkg/server/router/tcp/router.go;pkg/server/router/tcp/router_test.go,,
