repo,n_pairs,n_events,n_snapshots,mean_delta_composite,median_delta_composite,positive_share
django-django,16,10,4,-0.00963292541185531,0.004158018120585583,0.5625
traefik-traefik,15,5,3,0.010137820363995187,-0.008349272787895046,0.4666666666666667
