pair_id,repo,snapshot_tag,snapshot_commit,snapshot_date,snapshot_key,event_id,event_observation_id,ground_truth_policy,ground_truth_source,ground_truth_source_family,ground_truth_aliases,event_published,event_date_source,severity_band,severity_score,severity_label,severity_source,fixed_commit,case_file,control_file,case_file_path,case_suffix,case_size_bytes,case_loc,case_ci_gzip,case_shannon_entropy,case_cyclomatic_density,case_halstead_volume,case_composite_score,case_directory_depth,case_prior_touches_total,case_prior_touches_365d,case_total_churn,case_churn_365d,case_author_count_total,case_author_count_365d,case_file_age_days,case_latest_touch_days,control_file_path,control_suffix,control_size_bytes,control_loc,control_ci_gzip,control_shannon_entropy,control_cyclomatic_density,control_halstead_volume,control_composite_score,control_directory_depth,control_prior_touches_total,control_prior_touches_365d,control_total_churn,control_churn_365d,control_author_count_total,control_author_count_365d,control_file_age_days,control_latest_touch_days,delta_composite,delta_ci_gzip,delta_entropy,delta_cc_density,delta_halstead,delta_log_prior_touches_365d,delta_log_churn_365d
10,django-django,1.11.6,5d5ae260f83a530a03d08235fda9e0d575fd61d1,2017-10-05T18:16:31+00:00,django-django:1.11.6,CVE-2018-14574,django-django:1.11.6:CVE-2018-14574,supported_advisory_plus_explicit,explicit_id,explicit_only,CVE-2018-14574,2018-07-25T16:13:03+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,d6eaee092709aad477a9894598496c6deec532ff,django/urls/resolvers.py,django/http/request.py,django/urls/resolvers.py,.py,21589.0,469.0,0.2591597572838019,0.7676075064682125,0.15991471215351813,0.0,0.32073290230161045,2,161,3,2787,148,44,3,4467.701782407407,266.650150462963,django/http/request.py,.py,21383.0,495.0,0.2939718467941823,0.7573679897455052,0.1292929292929293,0.05235619560570122,0.33022093037515243,2,55,3,992,22,30,3,1810.0024537037036,309.7912152777778,-0.009488028073541988,-0.034812089510380395,0.010239516722707287,0.030621782860588836,-0.05235619560570122,0.0,1.8684520900163095
11,django-django,1.11.6,5d5ae260f83a530a03d08235fda9e0d575fd61d1,2017-10-05T18:16:31+00:00,django-django:1.11.6,CVE-2018-14574,django-django:1.11.6:CVE-2018-14574,supported_advisory_plus_explicit,explicit_id,explicit_only,CVE-2018-14574,2018-07-25T16:13:03+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,d6eaee092709aad477a9894598496c6deec532ff,django/utils/http.py,django/utils/cache.py,django/utils/http.py,.py,16403.0,401.0,0.33810888252148996,0.8032484160127836,0.05486284289276808,0.01799090900149345,0.3336655171011196,2,68,3,849,74,33,2,3746.253784722222,148.18980324074073,django/utils/cache.py,.py,16498.0,350.0,0.3060977088131895,0.79688089646582,0.1,0.0,0.32943095673050926,2,69,2,983,30,24,2,4379.789699074074,357.98131944444447,0.0042345603706103185,0.03201117370830048,0.006367519546963574,-0.04513715710723193,0.01799090900149345,0.2876820724517808,0.8835009090511639
12,django-django,4.0.2,b12be7ad6b83ffc512252953ef28d0d099f96ad7,2022-02-01T06:59:05+00:00,django-django:4.0.2,CVE-2023-24580,django-django:4.0.2:CVE-2023-24580,supported_advisory_plus_explicit,explicit_id+osv_range,explicit_plus_range,BIT-DJANGO-2023-24580;CVE-2023-24580;GHSA-2HRW-HX67-34X6;PYSEC-2023-13,2023-02-15T01:15:10+00:00,osv_published,all,7.5,HIGH,osv_severity,83f1ea83e4553e211c1c5a0dfc197b66d4e50432,django/conf/global_settings.py,django/http/response.py,django/conf/global_settings.py,.py,22681.0,535.0,0.3471187337418985,0.7167693593066756,0.06355140186915888,0.10306671362469419,0.32855454120845035,2,339,7,1958,13,69,7,6047.231342592592,74.41224537037037,django/http/response.py,.py,21362.0,489.0,0.27502106544331056,0.7589958235901607,0.049079754601226995,0.005528243550118894,0.29719947146672054,2,92,4,1609,25,49,3,3389.5320138888887,182.9821412037037,0.0313550697417298,0.07209766829858794,-0.04222646428348509,0.014471647267931882,0.09753847007457529,0.47000362924573547,-0.6190392084062237
13,django-django,4.0.2,b12be7ad6b83ffc512252953ef28d0d099f96ad7,2022-02-01T06:59:05+00:00,django-django:4.0.2,CVE-2023-24580,django-django:4.0.2:CVE-2023-24580,supported_advisory_plus_explicit,explicit_id+osv_range,explicit_plus_range,BIT-DJANGO-2023-24580;CVE-2023-24580;GHSA-2HRW-HX67-34X6;PYSEC-2023-13,2023-02-15T01:15:10+00:00,osv_published,all,7.5,HIGH,osv_severity,83f1ea83e4553e211c1c5a0dfc197b66d4e50432,django/core/exceptions.py,django/views/csrf.py,django/core/exceptions.py,.py,6231.0,159.0,0.2935323383084577,0.7956048603489909,0.1320754716981132,0.0,0.33491853162890545,2,39,0,465,0,22,0,6047.231342592592,483.51133101851855,django/views/csrf.py,.py,6282.0,141.0,0.4060808659662528,0.8368738750878791,0.06382978723404255,0.0,0.3670999312867311,2,29,1,296,2,14,1,4480.3166435185185,187.10755787037036,-0.03218139965782563,-0.1125485276577951,-0.04126901473888822,0.06824568446407066,0.0,-0.6931471805599453,-1.0986122886681098
14,django-django,4.0.2,b12be7ad6b83ffc512252953ef28d0d099f96ad7,2022-02-01T06:59:05+00:00,django-django:4.0.2,CVE-2023-24580,django-django:4.0.2:CVE-2023-24580,supported_advisory_plus_explicit,explicit_id+osv_range,explicit_plus_range,BIT-DJANGO-2023-24580;CVE-2023-24580;GHSA-2HRW-HX67-34X6;PYSEC-2023-13,2023-02-15T01:15:10+00:00,osv_published,all,7.5,HIGH,osv_severity,83f1ea83e4553e211c1c5a0dfc197b66d4e50432,django/core/handlers/exception.py,django/contrib/auth/middleware.py,django/core/handlers/exception.py,.py,5520.0,127.0,0.26521739130434785,0.7901725515005823,0.09448818897637795,0.0,0.31528052328349127,3,18,0,275,0,11,0,2054.5822453703704,378.03763888888886,django/contrib/auth/middleware.py,.py,5387.0,108.0,0.3148320029701132,0.8357732873151638,0.09259259259259259,0.0,0.3433222106489272,3,31,2,354,18,19,2,5754.2271875,187.10755787037036,-0.02804168736543594,-0.04961461166576536,-0.04560073581458146,0.001895596383785364,0.0,-1.0986122886681098,-2.9444389791664403
15,django-django,4.0.2,b12be7ad6b83ffc512252953ef28d0d099f96ad7,2022-02-01T06:59:05+00:00,django-django:4.0.2,CVE-2023-24580,django-django:4.0.2:CVE-2023-24580,supported_advisory_plus_explicit,explicit_id+osv_range,explicit_plus_range,BIT-DJANGO-2023-24580;CVE-2023-24580;GHSA-2HRW-HX67-34X6;PYSEC-2023-13,2023-02-15T01:15:10+00:00,osv_published,all,7.5,HIGH,osv_severity,83f1ea83e4553e211c1c5a0dfc197b66d4e50432,django/http/request.py,django/core/validators.py,django/http/request.py,.py,24109.0,558.0,0.2949935708656518,0.751600431111061,0.025089605734767026,0.0,0.2949329444569393,2,97,2,1427,20,46,2,3389.5320138888887,277.0370717592593,django/core/validators.py,.py,20667.0,485.0,0.23839938065515073,0.7557378262699164,0.12577319587628866,0.04387918525782606,0.3089655687133641,2,192,4,3333,24,69,3,6047.231342592592,178.83344907407408,-0.01403262425642482,0.05659419021050108,-0.0041373951588553615,-0.10068359014152163,-0.04387918525782606,-0.5108256237659905,-0.17435338714477755
16,traefik-traefik,v2.4.9,5841c9a7a5f6bc7de0f0c15daaafb35d02c7d330,2021-06-21T15:00:09+00:00,traefik-traefik:v2.4.9,CVE-2022-46153,traefik-traefik:v2.4.9:CVE-2022-46153,supported_advisory_plus_explicit,osv_range+osv_ref,reference_plus_range,CVE-2022-46153;GHSA-468W-8X39-GJ5V;GO-2022-1152,2022-12-08T21:46:22+00:00,osv_published,all,8.1,HIGH,osv_severity,7e3fe48b80083b41e9ff82a474a36484cabc701a,integration/https_test.go,integration/simple_test.go,integration/https_test.go,.go,44340.0,950.0,0.10737483085250338,0.6976051827770368,0.003157894736842105,0.0,0.21161687071661436,1,50,5,2132,197,14,3,2028.7318518518518,255.31118055555555,integration/simple_test.go,.go,36468.0,833.0,0.13546122628057475,0.6595386327028855,0.027611044417767107,0.010852445677816824,0.2199661435045094,1,68,4,1996,109,19,4,2092.854560185185,108.82784722222222,-0.008349272787895046,-0.02808639542807137,0.03806655007415127,-0.024453149680925,-0.010852445677816824,0.18232155679395468,0.5877866649021186
17,traefik-traefik,v2.4.9,5841c9a7a5f6bc7de0f0c15daaafb35d02c7d330,2021-06-21T15:00:09+00:00,traefik-traefik:v2.4.9,CVE-2022-46153,traefik-traefik:v2.4.9:CVE-2022-46153,supported_advisory_plus_explicit,osv_range+osv_ref,reference_plus_range,CVE-2022-46153;GHSA-468W-8X39-GJ5V;GO-2022-1152,2022-12-08T21:46:22+00:00,osv_published,all,8.1,HIGH,osv_severity,7e3fe48b80083b41e9ff82a474a36484cabc701a,integration/tcp_test.go,integration/healthcheck_test.go,integration/tcp_test.go,.go,9017.0,225.0,0.18221137850726404,0.7500774496812191,0.02666666666666667,0.0,0.2583999213645212,1,10,2,364,16,5,2,830.2708912037037,255.31118055555555,integration/healthcheck_test.go,.go,10184.0,187.0,0.15956402199528671,0.7293601288109813,0.0106951871657754,0.0,0.240884148449544,1,21,2,471,10,11,2,1567.9265162037036,255.31118055555555,0.017515772914977218,0.02264735651197733,0.02071732087023781,0.01597147950089127,0.0,0.0,0.4353180712578455
18,traefik-traefik,v2.4.9,5841c9a7a5f6bc7de0f0c15daaafb35d02c7d330,2021-06-21T15:00:09+00:00,traefik-traefik:v2.4.9,CVE-2022-46153,traefik-traefik:v2.4.9:CVE-2022-46153,supported_advisory_plus_explicit,osv_range+osv_ref,reference_plus_range,CVE-2022-46153;GHSA-468W-8X39-GJ5V;GO-2022-1152,2022-12-08T21:46:22+00:00,osv_published,all,8.1,HIGH,osv_severity,7e3fe48b80083b41e9ff82a474a36484cabc701a,pkg/server/router/router.go,pkg/config/runtime/runtime_http.go,pkg/server/router/router.go,.go,5711.0,148.0,0.2559971983890737,0.8146784291484697,0.12837837837837837,0.0,0.32646635562011156,3,24,3,596,40,7,2,950.2375694444445,151.2472800925926,pkg/config/runtime/runtime_http.go,.go,5656.0,136.0,0.27457567185289955,0.8565031894546482,0.19852941176470587,0.0,0.36070534502431045,3,7,2,236,6,4,2,676.980613425926,278.05144675925925,-0.034238989404198894,-0.01857847346382585,-0.04182476030617854,-0.0701510333863275,0.0,0.2876820724517808,1.7676619176489947
19,traefik-traefik,v2.4.9,5841c9a7a5f6bc7de0f0c15daaafb35d02c7d330,2021-06-21T15:00:09+00:00,traefik-traefik:v2.4.9,CVE-2022-46153,traefik-traefik:v2.4.9:CVE-2022-46153,supported_advisory_plus_explicit,osv_range+osv_ref,reference_plus_range,CVE-2022-46153;GHSA-468W-8X39-GJ5V;GO-2022-1152,2022-12-08T21:46:22+00:00,osv_published,all,8.1,HIGH,osv_severity,7e3fe48b80083b41e9ff82a474a36484cabc701a,pkg/server/router/router_test.go,pkg/middlewares/accesslog/logger_test.go,pkg/server/router/router_test.go,.go,24089.0,846.0,0.1213001785047117,0.7157526702415233,0.01182033096926714,0.0,0.22395601754085612,3,31,8,2152,555,10,5,950.2375694444445,108.82784722222222,pkg/middlewares/accesslog/logger_test.go,.go,23757.0,717.0,0.17089699877930714,0.7306809086649358,0.023709902370990237,0.004984854945056227,0.2480839080811794,3,38,6,1762,178,18,4,1888.634837962963,108.82784722222222,-0.02412789054032327,-0.04959682027459544,-0.01492823842341251,-0.011889571401723097,-0.004984854945056227,0.25131442828090633,1.1333824884098274
