roc_auc,average_precision,brier_score,log_loss,pairwise_accuracy,model,held_out_repo,n_files,n_pairs
0.54296875,0.6016476026740495,0.24949055843087342,0.6921239604806534,0.8125,baseline_size,django-django,32,16
0.4765625,0.5184387970283832,0.37738490667885183,1.30355886047553,0.4375,baseline_history,django-django,32,16
0.5234375,0.5774031671232283,0.34218293932358745,1.509733924419245,0.5,baseline_history_plus_structure,django-django,32,16
0.453125,0.4989711119356982,0.3770702308934478,1.2555822518947766,0.4375,baseline_plus_composite,django-django,32,16
0.528888888888889,0.5902278976920471,0.25036109810714324,0.6938707463440159,0.6666666666666666,baseline_size,traefik-traefik,30,15
0.5822222222222222,0.6177515155409892,0.29224561168366203,0.8050672803530418,0.4666666666666667,baseline_history,traefik-traefik,30,15
0.5688888888888889,0.5691060834590246,0.2883144436886725,0.7772084300631068,0.4666666666666667,baseline_history_plus_structure,traefik-traefik,30,15
0.5688888888888889,0.6047789325684062,0.28923637672550523,0.7910112558209483,0.4666666666666667,baseline_plus_composite,traefik-traefik,30,15
