repo,event_id,published_epoch,published,fixed_commit,fixed_epoch,aliases,source,event_date_source,severity_score,severity_label,severity_source,snapshot_commit,changed_source_files_count,changed_source_files,snapshot_tag,snapshot_date,snapshot_key
curl,CVE-2014-3620,1410336000,2014-09-10T08:00:00+00:00,a76825a5efa6b41d3a1d4f275dada2f017f6f566,1410327156,CURL-CVE-2014-3620;CVE-2014-3620,explicit_id+osv_range,osv_published,,HIGH,osv_severity,3fed9acaef45ac8b99ceecc38afbed3494e2d3ef,1,lib/cookie.c,curl-7_37_0,2014-05-20T21:42:47+00:00,curl:curl-7_37_0
curl,CVE-2014-8150,1420704000,2015-01-08T08:00:00+00:00,178bd7db34f77e020fb8562890c5625ccbd67093,1420667756,CURL-CVE-2014-8150;CVE-2014-8150,osv_range,osv_published,,HIGH,osv_severity,3fed9acaef45ac8b99ceecc38afbed3494e2d3ef,1,lib/url.c,curl-7_37_0,2014-05-20T21:42:47+00:00,curl:curl-7_37_0
curl,CVE-2015-3153,1430294400,2015-04-29T08:00:00+00:00,6ba2e88a642434bd0ffa95465e4a7d034d03ea10,1430247757,CURL-CVE-2015-3153;CVE-2015-3153,osv_range,osv_published,,HIGH,osv_severity,3fed9acaef45ac8b99ceecc38afbed3494e2d3ef,1,lib/url.c,curl-7_37_0,2014-05-20T21:42:47+00:00,curl:curl-7_37_0
curl,CVE-2015-3237,1434528000,2015-06-17T08:00:00+00:00,50c7f17e503fbab5081b69c97f9d4645389b9270,1434519793,CURL-CVE-2015-3237;CVE-2015-3237,explicit_id+osv_range,osv_published,,HIGH,osv_severity,3fed9acaef45ac8b99ceecc38afbed3494e2d3ef,0,,curl-7_37_0,2014-05-20T21:42:47+00:00,curl:curl-7_37_0
curl,CVE-2016-3739,1463558400,2016-05-18T08:00:00+00:00,6efd2fa529a189bf41736a610f6184cd8ad94b4d,1463489297,CURL-CVE-2016-3739;CVE-2016-3739,explicit_id+osv_range,osv_published,5.3,HIGH,osv_severity,3fed9acaef45ac8b99ceecc38afbed3494e2d3ef,1,lib/vtls/polarssl.c,curl-7_37_0,2014-05-20T21:42:47+00:00,curl:curl-7_37_0
curl,CVE-2016-5419,1470211200,2016-08-03T08:00:00+00:00,247d890da88f9ee817079e246c59f3d7d12fde5f,1470177267,CURL-CVE-2016-5419;CVE-2016-5419,explicit_id+osv_range,osv_published,7.5,HIGH,osv_severity,79e63a53bb9598af863b0afe49ad662795faeef4,3,lib/url.c;lib/urldata.h;lib/vtls/vtls.c,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
curl,CVE-2016-8615,1478073600,2016-11-02T08:00:00+00:00,cff89bc088b7884098ea0c5378bbda3d49c437bc,1477899995,CURL-CVE-2016-8615;CVE-2016-8615,explicit_id+osv_range,osv_published,7.5,HIGH,osv_severity,79e63a53bb9598af863b0afe49ad662795faeef4,1,lib/cookie.c,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
curl,CVE-2016-8617,1478073600,2016-11-02T08:00:00+00:00,efd24d57426bd77c9b5860e6b297904703750412,1477899995,CURL-CVE-2016-8617;CVE-2016-8617,explicit_id+osv_range,osv_published,7.0,HIGH,osv_severity,79e63a53bb9598af863b0afe49ad662795faeef4,1,lib/base64.c,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
curl,CVE-2016-8618,1478073600,2016-11-02T08:00:00+00:00,8732ec40db652c53fa58cd13e2acb8eab6e40874,1477899995,CURL-CVE-2016-8618;CVE-2016-8618,explicit_id+osv_range,osv_published,9.8,CRITICAL,osv_severity,79e63a53bb9598af863b0afe49ad662795faeef4,1,lib/mprintf.c,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
curl,CVE-2016-8619,1478073600,2016-11-02T08:00:00+00:00,3d6460edeee21d7d790ec570d0887bed1f4366dd,1477899995,CURL-CVE-2016-8619;CVE-2016-8619,explicit_id+osv_range,osv_published,9.8,CRITICAL,osv_severity,79e63a53bb9598af863b0afe49ad662795faeef4,1,lib/security.c,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
