repo,commit,cve_ids,n_pairs,event_id,ground_truth_policy,mean_delta_composite,median_delta_composite,positive_share
openssh,d4697fe9a28dab7255c60433e4dd23cf7fce8a8b,CVE-2015-6563,2,CVE-2015-6563,strict_nvd_event,0.0011992027201304378,0.0011992027201304378,0.5
openssh,6010c0303a422a9c5fa8860c061bf7105eb7f8b2,CVE-2018-20685,1,CVE-2018-20685,strict_nvd_event,-0.003741914007087954,-0.003741914007087954,0.0
openssh,e04fd6dde16de1cdc5a4d9946397ff60d96568db,CVE-2021-28041,1,CVE-2021-28041,strict_nvd_event,-0.006158233293266369,-0.006158233293266369,0.0
openssh,fc86875e6acb36401dfc1dfb6b628a9d1460f367,CVE-2025-32728,1,CVE-2025-32728,strict_nvd_event,-0.006329631638453459,-0.006329631638453459,0.0
openssh,ec165c392ca54317dbe3064a8c200de6531e89ad,CVE-2016-8858,1,CVE-2016-8858,strict_nvd_event,-0.016494991565665806,-0.016494991565665806,0.0
openssh,486c4dc3b83b4b67d663fb0fa62bc24138ec3946,CVE-2023-25136,1,CVE-2023-25136,strict_nvd_event,-0.04934977626387105,-0.04934977626387105,0.0
openssl,068b963bb7afc57f5bdd723de0dd15e7795d5822,CVE-2017-3735,1,CVE-2017-3735,strict_nvd_event,0.07017237518087341,0.07017237518087341,1.0
openssl,a99349ebfc519999edc50620abe24d599b9eb085,CVE-2025-69420,1,CVE-2025-69420,strict_nvd_event,0.06597635072395563,0.06597635072395563,1.0
openssl,f48b83b4fb7d6689584cf25f61ca63a4891f5b11,CVE-2015-1789,1,CVE-2015-1789,strict_nvd_event,0.05978181513092046,0.05978181513092046,1.0
openssl,e96d22446e633d117e6c9904cb15b4693e956eaa,CVE-2025-4575,1,CVE-2025-4575,strict_nvd_event,0.0554018456127251,0.0554018456127251,1.0
openssl,b15f8769644b00ef7283521593360b7b2135cb63,CVE-2014-3572,1,CVE-2014-3572,strict_nvd_event,0.04849279044341881,0.04849279044341881,1.0
openssl,103b171d8fc282ef435f8de9afbf7782e312961f,CVE-2015-0206,1,CVE-2015-0206,strict_nvd_event,0.047938704263990606,0.047938704263990606,1.0
openssl,41be0f216404f14457bbf3b9cc488dba60b49296,CVE-2025-69419,2,CVE-2025-69419,strict_nvd_event,0.038009107764135186,0.038009107764135186,1.0
openssl,4924b37ee01f71ae19c94a8934b80eeb2f677932,CVE-2015-1788,1,CVE-2015-1788,strict_nvd_event,0.0360464226896825,0.0360464226896825,1.0
openssl,4ad93618d26a3ea23d36ad5498ff4f59eff3a4d2,CVE-2017-3733,6,CVE-2017-3733,strict_nvd_event,0.03476083292608804,0.021246858176051264,1.0
