repo,n_pairs,n_security_events,median_delta_composite,mean_delta_composite
libxml2,59,44,0.00012065831671992377,0.0014066036793712053
openssh,29,19,0.009217759593412589,0.011402790617159469
sqlite,20,14,-0.011075592118345912,-0.008289399919723115
jq,10,8,-0.00048794399540177946,-0.002386334889876424
zlib,9,7,-0.0003560398924685182,-0.009223671983974082
nginx,8,4,0.002185253044634572,-0.00266538929906969
