repo,security_event_id,security_commit,security_parent,security_file,security_suffix,security_subsystem_key,security_top_level_key,security_directory_depth,security_loc,security_size_bytes,security_prior_touches_total,security_prior_touches_365d,security_total_churn,security_churn_365d,security_file_age_days,security_composite,security_ci_gzip,security_entropy,security_cc_density,security_halstead,security_source_family
libxml2,CVE-2008-3281,4bf899bf1b719d692be407b89f6610103f13bd5d,117baa074d9d4e883f9aaceca3f90d3ce6e17b26,parser.c,.c,<root>,<root>,0.0,12865.0,395758.0,495.0,22.0,66040.0,1382.0,3660.558738425926,0.2932087935754918,0.18957797441871044,0.602581923391461,0.21274776525456665,0.20901124196642887,explicit_only
libxml2,CVE-2008-4225,1dc9feb00fd3bce5967304dcb388ea3ba7e964e6,6b09901479303d1df1500d70194e39e74e6eb131,SAX2.c,.c,<root>,<root>,0.0,2566.0,81461.0,180.0,4.0,10141.0,16.0,3749.5134953703705,0.2736896727223384,0.18707111378451038,0.6631040095781269,0.142244738893219,0.06474584264549196,explicit_only
libxml2,CVE-2008-4226,1dc9feb00fd3bce5967304dcb388ea3ba7e964e6,6b09901479303d1df1500d70194e39e74e6eb131,SAX2.c,.c,<root>,<root>,0.0,2566.0,81461.0,180.0,4.0,10141.0,16.0,3749.5134953703705,0.2736896727223384,0.18707111378451038,0.6631040095781269,0.142244738893219,0.06474584264549196,explicit_only
libxml2,CVE-2008-4225,1dc9feb00fd3bce5967304dcb388ea3ba7e964e6,6b09901479303d1df1500d70194e39e74e6eb131,tree.c,.c,<root>,<root>,0.0,8543.0,248133.0,391.0,9.0,38525.0,791.0,3749.5134953703705,0.2938223508952583,0.18079014077127992,0.620185233984475,0.2503804284209294,0.12431739834729516,explicit_only
libxml2,CVE-2008-4226,1dc9feb00fd3bce5967304dcb388ea3ba7e964e6,6b09901479303d1df1500d70194e39e74e6eb131,tree.c,.c,<root>,<root>,0.0,8543.0,248133.0,391.0,9.0,38525.0,791.0,3749.5134953703705,0.2938223508952583,0.18079014077127992,0.620185233984475,0.2503804284209294,0.12431739834729516,explicit_only
libxml2,CVE-2008-4225,1dc9feb00fd3bce5967304dcb388ea3ba7e964e6,6b09901479303d1df1500d70194e39e74e6eb131,parser.c,.c,<root>,<root>,0.0,13069.0,400849.0,506.0,33.0,68028.0,3370.0,3749.5134953703705,0.29328914511984844,0.18953770621855112,0.6018554621282491,0.21302318463539674,0.21072170755913824,explicit_only
libxml2,CVE-2008-4226,1dc9feb00fd3bce5967304dcb388ea3ba7e964e6,6b09901479303d1df1500d70194e39e74e6eb131,parser.c,.c,<root>,<root>,0.0,13069.0,400849.0,506.0,33.0,68028.0,3370.0,3749.5134953703705,0.29328914511984844,0.18953770621855112,0.6018554621282491,0.21302318463539674,0.21072170755913824,explicit_only
libxml2,CVE-2009-2414,489f9671e71cc44a97b23111b3126ac8a1e21a59,c2e9d005088cac762f4d86c256474e6805662a72,parser.c,.c,<root>,<root>,0.0,13122.0,402962.0,517.0,22.0,68181.0,2141.0,4015.464988425926,0.29332902343240375,0.18976479171733315,0.601898595405682,0.2126962353299802,0.2112439506781552,explicit_only
libxml2,CVE-2009-2416,489f9671e71cc44a97b23111b3126ac8a1e21a59,c2e9d005088cac762f4d86c256474e6805662a72,parser.c,.c,<root>,<root>,0.0,13122.0,402962.0,517.0,22.0,68181.0,2141.0,4015.464988425926,0.29332902343240375,0.18976479171733315,0.601898595405682,0.2126962353299802,0.2112439506781552,explicit_only
libxml2,CVE-2014-0191,dd8367da17c2948981a51e52c8a6beb445edf825,a16eb968075a82ec33b2c1e77db8909a35b44620,parser.c,.c,<root>,<root>,0.0,13955.0,434485.0,599.0,6.0,70309.0,39.0,5781.222731481482,0.2942781448101354,0.18859339217694512,0.5989423965167537,0.217484772482981,0.2184875342908283,explicit_only
libxml2,CVE-2014-3660,be2a7edaf289c5da74a4f9ed3a0b6c733e775230,500c54ef326b62b8126e2d98d3a50f1a30dc5292,parser.c,.c,<root>,<root>,0.0,14005.0,435857.0,608.0,15.0,70381.0,111.0,5908.097129629629,0.2941379008325233,0.18840583035261566,0.5987243673827283,0.2174223491610139,0.2184875342908283,explicit_only
libxml2,CVE-2015-1819,213f1fe0d76d30eaed6e5853057defc43e6df2c9,8985cde70901c62d3f0f04da225e73b7344a52d7,buf.c,.c,<root>,<root>,0.0,1142.0,32834.0,10.0,1.0,1402.0,4.0,995.1370601851852,0.2870338086012455,0.21093987939331182,0.6968515974676182,0.1646234676007005,0.0,explicit_only
libxml2,CVE-2015-1819,213f1fe0d76d30eaed6e5853057defc43e6df2c9,8985cde70901c62d3f0f04da225e73b7344a52d7,include/libxml/tree.h,.h,include/libxml,include,2.0,1147.0,38034.0,171.0,2.0,5254.0,78.0,6088.2513078703705,0.2609334635386723,0.20208234737340275,0.6919048131192059,0.036617262423714034,0.07004397181410926,explicit_only
libxml2,CVE-2015-1819,213f1fe0d76d30eaed6e5853057defc43e6df2c9,8985cde70901c62d3f0f04da225e73b7344a52d7,xmlreader.c,.c,<root>,<root>,0.0,5258.0,167404.0,163.0,2.0,9286.0,22.0,4508.811168981481,0.2577542545994595,0.16617882487873648,0.6148137914226409,0.14492202358311146,0.09628960053372601,explicit_only
libxml2,CVE-2015-8035,f0709e3ca8f8947f2d91ed34e92e38a4c23eae63,e724879d964d774df9b7969fc846605aa1bac54c,xzlib.c,.c,<root>,<root>,0.0,651.0,24032.0,8.0,0.0,1306.0,0.0,1375.7163541666666,0.3152597924243088,0.25719873501997337,0.7154477692910179,0.1966205837173579,0.0,explicit_only
