maintenance_id,repo,maintenance_anchor_tag,maintenance_anchor_commit,maintenance_commit,maintenance_parent,maintenance_epoch,maintenance_date,maintenance_anchor_epoch,maintenance_anchor_date,maintenance_subject,file_path,suffix,maintenance_depth_bucket,maintenance_type,maintenance_keyword_basis,pre_loc,pre_size_bytes,pre_ci_gzip,pre_shannon_entropy,pre_cyclomatic_density,pre_halstead_volume,pre_composite_score,pre_directory_depth,pre_prior_touches_total,pre_prior_touches_365d,pre_total_churn,pre_churn_365d,pre_author_count_total,pre_author_count_365d,pre_file_age_days,pre_latest_touch_days,post_loc,post_size_bytes,post_ci_gzip,post_shannon_entropy,post_cyclomatic_density,post_halstead_volume,post_composite_score,post_directory_depth,post_prior_touches_total,post_prior_touches_365d,post_total_churn,post_churn_365d,post_author_count_total,post_author_count_365d,post_file_age_days,post_latest_touch_days,pre_log_loc,pre_log_prior_touches_total
traefik-traefik:6d2f4a0813fd66064a098c12ec35c04dfb2afd0a:autogen/gentemplates/gen.go,traefik-traefik,v1.4.3,4b91204686d9d10a82b6b7dc47d349d40367f00a,6d2f4a0813fd66064a098c12ec35c04dfb2afd0a,4b91204686d9d10a82b6b7dc47d349d40367f00a,1511258763,2017-11-21T10:06:03+00:00,1511257684,2017-11-21T09:48:04+00:00,Add health check label to ECS,autogen/gentemplates/gen.go,.go,2,,,343.0,31112.0,0.32421573669323733,0.9101952105869578,0.09620991253644315,0.0,0.357681999903161,2.0,1.0,1.0,444.0,444.0,1.0,1.0,0.8069560185185185,0.8069560185185185,343.0,31186.0,0.3257872122106073,0.9107856652590653,0.09620991253644315,0.0,0.35810537919630653,2.0,2.0,2.0,486.0,486.0,2.0,2.0,0.8194444444444444,0.0,5.840641657373398,0.6931471805599453
traefik-traefik:df11e67bb4877f8323e048ef5a3399847ad33286:autogen/gentemplates/gen.go,traefik-traefik,v1.6.0,b7d20496f3ad5a425215a2b08a13f8296b877905,df11e67bb4877f8323e048ef5a3399847ad33286,b7d20496f3ad5a425215a2b08a13f8296b877905,1526292483,2018-05-14T10:08:03+00:00,1526291043,2018-05-14T09:44:03+00:00,Override health check scheme,autogen/gentemplates/gen.go,.go,2,,,2056.0,82463.0,0.10203363932915369,0.5815914557733567,0.04036964980544747,0.055074678538324304,0.19704964422163607,2.0,52.0,52.0,5960.0,5960.0,11.0,11.0,174.80416666666667,0.0,2063.0,82752.0,0.1018223124516628,0.5813954901341283,0.04023267086766844,0.05584207132686636,0.19702162112220406,2.0,53.0,53.0,5967.0,5967.0,11.0,11.0,174.82083333333333,0.0,7.6290038896529575,3.970291913552122
traefik-traefik:9c8e5184230551499c9e4950b8c4cef5d496d735:autogen/gentemplates/gen.go,traefik-traefik,v1.7.0-rc3,bd3b787fd5904739478914e9b9a993ac758a792c,9c8e5184230551499c9e4950b8c4cef5d496d735,bd3b787fd5904739478914e9b9a993ac758a792c,1534864323,2018-08-21T15:12:03+00:00,1534844614,2018-08-21T09:43:34+00:00,Auth Forward with certificates in templates.,autogen/gentemplates/gen.go,.go,2,,,2338.0,93659.0,0.09680863558227186,0.5738610981503199,0.04448246364414029,0.06865005271832185,0.19627760499961172,2.0,58.0,58.0,6327.0,6327.0,14.0,14.0,273.8038310185185,35.91077546296296,2338.0,93723.0,0.09677453773353392,0.5738610981503199,0.04448246364414029,0.06865005271832185,0.1962549222441319,2.0,59.0,59.0,6359.0,6359.0,14.0,14.0,274.03194444444443,0.0,7.757478766584179,4.07753744390572
traefik-traefik:04958c6951c0740b0b596cd6c31cc485749b257e:cmd/configuration.go,traefik-traefik,v1.7.4,b54c956c5e0e5b6d6e4369d253103532e197f5af,04958c6951c0740b0b596cd6c31cc485749b257e,b54c956c5e0e5b6d6e4369d253103532e197f5af,1548093962,2019-01-21T18:06:02+00:00,1547821084,2019-01-18T14:18:04+00:00,Adds default rule system on Docker provider.,cmd/configuration.go,.go,1,,,221.0,8105.0,0.2742751388032079,0.7472341795030293,0.004524886877828055,0.0,0.2834034721267792,1.0,20.0,20.0,820.0,820.0,14.0,14.0,323.2972222222222,0.0,222.0,8161.0,0.2749663031491239,0.7469150694007657,0.0045045045045045045,0.0,0.28349268296290003,1.0,21.0,21.0,821.0,821.0,14.0,14.0,326.4555324074074,0.0,5.402677381872279,3.044522437723423
traefik-traefik:6e8138e19b31646b65b9ed5310bd11d22831b899:integration/https_test.go,traefik-traefik,v2.0.0-rc2,fb8edd86d5aab0749be21a0576e20a9e55a4293e,6e8138e19b31646b65b9ed5310bd11d22831b899,fb8edd86d5aab0749be21a0576e20a9e55a4293e,1568130724,2019-09-10T15:52:04+00:00,1568129043,2019-09-10T15:24:03+00:00,Update golangci-lint,integration/https_test.go,.go,1,,,842.0,40304.0,0.1067635966653434,0.7019605955351869,0.0023752969121140144,0.0,0.2123454690758321,1.0,41.0,18.0,1913.0,529.0,14.0,7.0,1378.7484490740742,15.095810185185185,842.0,40332.0,0.1067886541703858,0.7020531405958401,0.0023752969121140144,0.0,0.21239260641821303,1.0,42.0,19.0,1921.0,537.0,14.0,7.0,1378.7679050925926,0.0,6.736966958001855,3.7376696182833684
traefik-traefik:4329d393e60ca35f20c85c9ecf3c3fbfc5775589:pkg/config/dynamic/zz_generated.deepcopy.go,traefik-traefik,v2.1.2,c132d71684b4b7497ce6eda511f5b084b67f5031,4329d393e60ca35f20c85c9ecf3c3fbfc5775589,c132d71684b4b7497ce6eda511f5b084b67f5031,1579011725,2020-01-14T14:22:05+00:00,1578927246,2020-01-13T14:54:06+00:00,Update license date,pkg/config/dynamic/zz_generated.deepcopy.go,.go,3,,,1222.0,39028.0,0.1068207440811725,0.679959405072607,0.13829787234042554,0.0,0.24038219369988106,3.0,11.0,11.0,1687.0,1687.0,4.0,4.0,187.31113425925926,74.17917824074074,1222.0,39028.0,0.10684636671107922,0.679959405072607,0.13829787234042554,0.0,0.24035230063165655,3.0,12.0,12.0,1689.0,1689.0,4.0,4.0,188.28890046296297,0.0,7.109062135687172,2.4849066497880004
traefik-traefik:2e8156bfaa90291cb60b5f521bdda668aebbe411:pkg/config/dynamic/zz_generated.deepcopy.go,traefik-traefik,v2.5.6,5e2c9293227ce352123351084cd453e98c0eb14a,2e8156bfaa90291cb60b5f521bdda668aebbe411,5e2c9293227ce352123351084cd453e98c0eb14a,1641465245,2022-01-06T10:34:05+00:00,1640786764,2021-12-29T14:06:04+00:00,Update copyright for 2022,pkg/config/dynamic/zz_generated.deepcopy.go,.go,3,,,1567.0,49890.0,0.09811585488073762,0.6690354050793971,0.1410338225909381,0.0,0.23498239678195207,3.0,28.0,5.0,2229.0,147.0,12.0,3.0,903.2777777777778,64.21658564814815,1567.0,49890.0,0.09809581078372419,0.6690354050793971,0.1410338225909381,0.0,0.23498005830396718,3.0,29.0,6.0,2231.0,149.0,12.0,3.0,911.1305671296296,0.0,7.357556200910353,3.367295829986474
traefik-traefik:240b83b77351dfd8cadb91c305b84e9d22e0f9c6:pkg/config/static/static_config.go,traefik-traefik,v2.11.1,584839e00b05eea5a891d8f929678d1e63a60c7b,240b83b77351dfd8cadb91c305b84e9d22e0f9c6,584839e00b05eea5a891d8f929678d1e63a60c7b,1712848683,2024-04-11T15:18:03+00:00,1712844484,2024-04-11T14:08:04+00:00,Set default ReadTimeout value to 60s,pkg/config/static/static_config.go,.go,3,,,253.0,22684.0,0.22319696702521602,0.7612968387960063,0.08300395256916997,0.0,0.28652999711243965,3.0,72.0,6.0,1802.0,243.0,25.0,5.0,1854.226400462963,0.013888888888888888,253.0,22685.0,0.22318712805818822,0.7612968387960063,0.08300395256916997,0.0,0.28653695671279505,3.0,73.0,7.0,1804.0,245.0,25.0,5.0,1854.275,0.0,5.537334267018537,4.290459441148391
prometheus-prometheus:b382e8b7bdf8dcc664587ee9dc5e37454e04baa0:retrieval/target_provider.go,prometheus-prometheus,,0378c2ca1fe31adc909e7a1879888f3e6d369d83,b382e8b7bdf8dcc664587ee9dc5e37454e04baa0,0378c2ca1fe31adc909e7a1879888f3e6d369d83,1390576181,2014-01-24T15:09:41+00:00,1390575930,2014-01-24T15:05:30+00:00,Remove overly verbose DNS-SD logging line.,retrieval/target_provider.go,.go,1,,,129.0,4575.0,0.4207650273224044,0.7995503761819367,0.15503875968992248,0.0,0.386909579049932,1.0,11.0,11.0,367.0,367.0,4.0,4.0,225.95395833333333,39.0531712962963,128.0,4530.0,0.42251655629139073,0.8002225068412153,0.15625,0.0,0.38815786180964157,1.0,12.0,12.0,368.0,368.0,4.0,4.0,225.95686342592592,0.0,4.867534450455582,2.4849066497880004
prometheus-prometheus:191c728152d2b10c3c9415a8b99918464e5d508c:Godeps/_workspace/src/github.com/golang/protobuf/proto/all_test.go,prometheus-prometheus,0.13.0rc2,7991b4be51f4af89f7524c3889e651a4f3663cd6,191c728152d2b10c3c9415a8b99918464e5d508c,7991b4be51f4af89f7524c3889e651a4f3663cd6,1428510263,2015-04-08T16:24:23+00:00,1428493827,2015-04-08T11:50:27+00:00,Update vendoring.,Godeps/_workspace/src/github.com/golang/protobuf/proto/all_test.go,.go,4,,,1696.0,60445.0,0.22413764579369674,0.6667854283494603,0.1214622641509434,0.11873520732004969,0.2892053445435098,7.0,1.0,1.0,2059.0,2059.0,1.0,1.0,50.44549768518519,50.44549768518519,1707.0,60762.0,0.22369243935354333,0.6667505625566973,0.12185120093731693,0.11873520732004969,0.2891575884341028,7.0,2.0,2.0,2075.0,2075.0,2.0,2.0,50.635729166666664,0.0,7.436617265234227,0.6931471805599453
