repo,event_id,published,published_epoch,fixed_commit,fixed_epoch,aliases,source
django-django,CVE-2021-23336,2021-02-15T13:15:12.433000+00:00,1613394912,56f2cccc01f91918a227a2611331e4ea7e183286,1613723963,BIT-DJANGO-2021-23336;BIT-LIBPYTHON-2021-23336;BIT-PYTHON-2021-23336;BIT-PYTHON-MIN-2021-23336;CVE-2021-23336;PSF-2021-1,osv_range
django-django,CVE-2021-28658,2021-04-06T15:15:13.437000+00:00,1617722113,c4928c9115104d3d88a0ccb57e030f0b5f445ed8,1617690457,BIT-DJANGO-2021-28658;CVE-2021-28658;GHSA-XGXC-V2QG-CHMH;PYSEC-2021-6,osv_range
django-django,CVE-2021-31542,2021-05-05T15:15:08.483000+00:00,1620227708,c238ec5e90fa2053a24c9c860abeaf35eadb68d6,1613723745,BIT-DJANGO-2021-31542;CVE-2021-31542;GHSA-RXJP-MFM9-W4WR;PYSEC-2021-7,osv_range+osv_ref
django-django,CVE-2021-32052,2021-05-06T16:15:07.520000+00:00,1620317707,26e033b1b7dd54aa8b55bc49d49d611bf6d09f85,1620284370,BIT-DJANGO-2021-32052;CVE-2021-32052;GHSA-QM57-VHQ3-3FWF;PYSEC-2021-8,osv_range
django-django,CVE-2021-3281,2021-02-02T07:15:14.020000+00:00,1612250114,3235a7b80710e5c90bbb1d25a147c8d0eddc8198,1612168402,BIT-DJANGO-2021-3281;CVE-2021-3281;GHSA-FVGF-6H6H-3322;PYSEC-2021-9,osv_range
django-django,CVE-2021-33203,2021-06-08T18:15:08.480000+00:00,1623176108,2da029d8540ab0b2e9edcba25c4d46c52853197f,1622622500,BIT-DJANGO-2021-33203;CVE-2021-33203;GHSA-68W8-QJQ3-2GFM;PYSEC-2021-98,osv_range
django-django,CVE-2021-33571,2021-06-08T18:15:08.517000+00:00,1623176108,f27c38ab5d90f68c9dd60cabef248a570c0be8fc,1622622382,BIT-DJANGO-2021-33571;CVE-2021-33571;GHSA-P99V-5W3C-JQQ9;PYSEC-2021-99,osv_range+osv_ref
django-django,CVE-2021-35042,2021-07-02T10:15:07.653000+00:00,1625220907,0eca7a66239ef646f59fe2af643199275dae7a35,1625121045,BIT-DJANGO-2021-35042;CVE-2021-35042;GHSA-XPFP-F569-Q3P2;PYSEC-2021-109,osv_range
django-django,CVE-2021-45115,2022-01-05T00:15:07.907000+00:00,1641341707,27a64da8213f27787ae1c48041a70f197cdcfd6f,1635152723,BIT-DJANGO-2021-45115;CVE-2021-45115;GHSA-53QW-Q765-4FWW;PYSEC-2022-1,osv_range
django-django,CVE-2021-45116,2022-01-05T00:15:07.953000+00:00,1641341707,27a64da8213f27787ae1c48041a70f197cdcfd6f,1635152723,BIT-DJANGO-2021-45116;CVE-2021-45116;GHSA-8C5J-9R9F-C6W8;PYSEC-2022-2,osv_range
django-django,CVE-2022-22818,2022-02-03T02:15:07.580000+00:00,1643854507,b12be7ad6b83ffc512252953ef28d0d099f96ad7,1643698745,BIT-DJANGO-2022-22818;CVE-2022-22818;GHSA-95RW-FX8R-36V6;PYSEC-2022-19,osv_range
django-django,CVE-2022-23833,2022-02-03T02:15:07.623000+00:00,1643854507,f9c7d48fdd6f198a6494a9202f90242f176e4fc9,1643697889,BIT-DJANGO-2022-23833;CVE-2022-23833;GHSA-6CW3-G6WV-C2XV;PYSEC-2022-20,osv_range+osv_ref
django-django,CVE-2022-28346,2022-04-12T05:15:06.927000+00:00,1649740506,89807fbde8b7b17d00434bc4695535855e96fe77,1649660703,BIT-DJANGO-2022-28346;CVE-2022-28346;GHSA-2GWJ-7JMV-H26R;PYSEC-2022-190,osv_range
django-django,CVE-2022-28347,2022-04-12T05:15:07.357000+00:00,1649740507,89807fbde8b7b17d00434bc4695535855e96fe77,1649660703,BIT-DJANGO-2022-28347;CVE-2022-28347;GHSA-W24H-V9QH-8GXJ;PYSEC-2022-191,osv_range
django-django,CVE-2022-41323,2022-10-16T06:15:00+00:00,1665900900,5b6b257fa7ec37ff27965358800c67e2dd11c924,1664266654,BIT-DJANGO-2022-41323;CVE-2022-41323;GHSA-QRW5-5H28-6CMG;PYSEC-2022-304,osv_range+osv_ref
django-django,CVE-2023-23969,2023-02-01T19:15:08.763000+00:00,1675278908,f4909f7f7e5220e5a7eb9119beb959577263c63d,1675241423,BIT-DJANGO-2023-23969;CVE-2023-23969;GHSA-Q2JF-H9JM-M7P4;PYSEC-2023-12,osv_range
django-django,CVE-2023-24580,2023-02-15T01:15:10.687000+00:00,1676423710,722e9f8a38f5b34f2423059a75f8a59bb8eb931a,1676361862,BIT-DJANGO-2023-24580;CVE-2023-24580;GHSA-2HRW-HX67-34X6;PYSEC-2023-13,osv_range
