repo,snapshot_tag,snapshot_key,event_observation_id,file_path,opacity_stratum,composite_score,loc,log_loc,directory_depth,suffix,model,score,snapshot_file_count,rank_desc,rank_pct,top10_miss,top25_miss,underprediction_loss,opacity_band
prometheus-prometheus,v2.6.0-rc.0,prometheus-prometheus:v2.6.0-rc.0,prometheus-prometheus:v2.6.0-rc.0:CVE-2019-10215:web/ui/assets_vfsdata.go,web/ui/assets_vfsdata.go,Q4,0.3395436345297234,643.0,6.467698726104354,2.0,.go,baseline_history_plus_structure,0.21653869443867627,167.0,3.0,0.017964071856287425,0,0,0.7834613055613238,low
psf-requests,v2.26.0,psf-requests:v2.26.0,psf-requests:v2.26.0:CVE-2023-32681:requests/__version__.py,requests/__version__.py,Q9,0.46636754101951616,13.0,2.6390573296152584,1.0,.py,baseline_history_plus_structure,0.00506521021018492,19.0,14.0,0.7368421052631579,1,1,0.9949347897898151,high
psf-requests,v2.26.0,psf-requests:v2.26.0,psf-requests:v2.26.0:CVE-2023-32681:requests/sessions.py,requests/sessions.py,Q3,0.330953577558422,619.0,6.429719478039138,1.0,.py,baseline_history_plus_structure,0.029306956038636974,19.0,4.0,0.21052631578947367,1,0,0.970693043961363,low
psf-requests,v2.28.2,psf-requests:v2.28.2,psf-requests:v2.28.2:CVE-2023-32681:requests/sessions.py,requests/sessions.py,Q2,0.30990316152867087,678.0,6.520621127558696,1.0,.py,baseline_history_plus_structure,0.042674420099812656,19.0,1.0,0.05263157894736842,0,0,0.9573255799001873,low
scrapy-scrapy,2.4.0,scrapy-scrapy:2.4.0,scrapy-scrapy:2.4.0:GHSA-9X8M-2XPF-CRP3:scrapy/downloadermiddlewares/httpproxy.py,scrapy/downloadermiddlewares/httpproxy.py,Q7,0.39574266401311936,61.0,4.127134385045092,2.0,.py,baseline_history_plus_structure,0.012209922040866083,151.0,63.0,0.41721854304635764,1,1,0.9877900779591339,high
traefik-traefik,v2.4.9,traefik-traefik:v2.4.9,traefik-traefik:v2.4.9:CVE-2022-46153:integration/https_test.go,integration/https_test.go,Q1,0.21161687071661436,950.0,6.85751406254539,1.0,.go,baseline_history_plus_structure,0.0644256298470215,459.0,9.0,0.0196078431372549,0,0,0.9355743701529785,low
traefik-traefik,v2.4.9,traefik-traefik:v2.4.9,traefik-traefik:v2.4.9:CVE-2022-46153:integration/tcp_test.go,integration/tcp_test.go,Q1,0.2583999213645212,225.0,5.420534999272286,1.0,.go,baseline_history_plus_structure,0.012035644005781462,459.0,109.0,0.2374727668845316,1,0,0.9879643559942185,low
traefik-traefik,v2.4.9,traefik-traefik:v2.4.9,traefik-traefik:v2.4.9:CVE-2022-46153:pkg/server/router/router.go,pkg/server/router/router.go,Q3,0.32646635562011156,148.0,5.003946305945459,3.0,.go,baseline_history_plus_structure,0.013203730464077652,459.0,96.0,0.20915032679738563,1,0,0.9867962695359224,low
traefik-traefik,v2.4.9,traefik-traefik:v2.4.9,traefik-traefik:v2.4.9:CVE-2022-46153:pkg/server/router/router_test.go,pkg/server/router/router_test.go,Q1,0.22395601754085612,846.0,6.741700694652055,3.0,.go,baseline_history_plus_structure,0.05567500097230734,459.0,12.0,0.026143790849673203,0,0,0.9443249990276926,low
traefik-traefik,v2.4.9,traefik-traefik:v2.4.9,traefik-traefik:v2.4.9:CVE-2022-46153:pkg/server/router/tcp/router.go,pkg/server/router/tcp/router.go,Q4,0.3382552984389795,253.0,5.537334267018537,4.0,.go,baseline_history_plus_structure,0.027057252272911718,459.0,30.0,0.06535947712418301,0,0,0.9729427477270883,low
traefik-traefik,v2.4.9,traefik-traefik:v2.4.9,traefik-traefik:v2.4.9:CVE-2022-46153:pkg/server/routerfactory.go,pkg/server/routerfactory.go,Q3,0.33011243214759367,64.0,4.174387269895637,2.0,.go,baseline_history_plus_structure,0.009755424475680572,459.0,132.0,0.2875816993464052,1,1,0.9902445755243194,low
traefik-traefik,v2.4.9,traefik-traefik:v2.4.9,traefik-traefik:v2.4.9:CVE-2022-46153:pkg/tls/tlsmanager_test.go,pkg/tls/tlsmanager_test.go,Q2,0.3078289858184102,268.0,5.594711379601839,2.0,.go,baseline_history_plus_structure,0.0047788714529291365,459.0,275.0,0.599128540305011,1,1,0.9952211285470709,low
traefik-traefik,v2.9.7,traefik-traefik:v2.9.7,traefik-traefik:v2.9.7:CVE-2024-28869:pkg/config/static/static_config.go,pkg/config/static/static_config.go,Q1,0.28537151445177256,266.0,5.58724865840025,3.0,.go,baseline_history_plus_structure,0.054357303939821924,512.0,6.0,0.01171875,0,0,0.945642696060178,low
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:CVE-2018-14574:django/urls/resolvers.py,django/urls/resolvers.py,Q2,0.32073290230161045,469.0,6.152732694704104,2.0,.py,baseline_plus_composite,0.02391655672970023,674.0,55.0,0.08160237388724036,0,0,0.9760834432702997,low
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:CVE-2018-14574:django/utils/http.py,django/utils/http.py,Q3,0.3336655171011196,401.0,5.996452088619021,2.0,.py,baseline_plus_composite,0.02683171702766028,674.0,42.0,0.06231454005934718,0,0,0.9731682829723397,low
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:CVE-2018-7536:django/__init__.py,django/__init__.py,Q8,0.443920844892849,21.0,3.091042453358316,1.0,.py,baseline_plus_composite,0.019358998231063303,674.0,75.0,0.11127596439169139,1,0,0.9806410017689366,high
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:CVE-2018-7536:django/utils/html.py,django/utils/html.py,Q4,0.33872798219473427,323.0,5.780743515792329,2.0,.py,baseline_plus_composite,0.016647411636148773,674.0,101.0,0.14985163204747776,1,0,0.9833525883638512,low
