model,opacity_band,n_positive_files,n_repos,mean_score,mean_rank_desc,mean_rank_pct,top10_miss_rate,top25_miss_rate,underprediction_loss_mean
baseline_history_plus_structure,low,33,4,0.04245783607924466,65.06060606060606,0.12243816445559136,0.3939393939393939,0.12121212121212122,0.9575421639207554
baseline_history_plus_structure,high,4,3,0.008931886807952243,103.5,0.41132967011486576,1.0,0.75,0.9910681131920478
baseline_plus_composite,low,33,4,0.04155533580564129,72.93939393939394,0.1347915952105286,0.48484848484848486,0.15151515151515152,0.9584446641943586
baseline_plus_composite,high,4,3,0.014621541835655862,65.75,0.28967946437841313,1.0,0.5,0.9853784581643441
