repo,event_id,published_epoch,published,fixed_commit,fixed_epoch,aliases,source,event_date_source,snapshot_commit,changed_source_files_count,changed_source_files,snapshot_tag,snapshot_date,snapshot_key
curl,CVE-2016-5419,1470211200,2016-08-03T08:00:00+00:00,247d890da88f9ee817079e246c59f3d7d12fde5f,1470177267,CURL-CVE-2016-5419;CVE-2016-5419,explicit_id+osv_range,osv_published,79e63a53bb9598af863b0afe49ad662795faeef4,3,lib/url.c;lib/urldata.h;lib/vtls/vtls.c,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
curl,CVE-2016-7167,1473832183,2016-09-14T05:49:43+00:00,01cf1308ee2e792c77bb1d2c9218c56a30fd40ae,1473832183,CVE-2016-7167,explicit_id,fixed_commit_epoch,79e63a53bb9598af863b0afe49ad662795faeef4,1,lib/escape.c,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
curl,CVE-2016-8615,1478073600,2016-11-02T08:00:00+00:00,cff89bc088b7884098ea0c5378bbda3d49c437bc,1477899995,CURL-CVE-2016-8615;CVE-2016-8615,explicit_id+osv_range,osv_published,79e63a53bb9598af863b0afe49ad662795faeef4,1,lib/cookie.c,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
curl,CVE-2016-8617,1478073600,2016-11-02T08:00:00+00:00,efd24d57426bd77c9b5860e6b297904703750412,1477899995,CURL-CVE-2016-8617;CVE-2016-8617,explicit_id+osv_range,osv_published,79e63a53bb9598af863b0afe49ad662795faeef4,1,lib/base64.c,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
curl,CVE-2016-8618,1478073600,2016-11-02T08:00:00+00:00,8732ec40db652c53fa58cd13e2acb8eab6e40874,1477899995,CURL-CVE-2016-8618;CVE-2016-8618,explicit_id+osv_range,osv_published,79e63a53bb9598af863b0afe49ad662795faeef4,1,lib/mprintf.c,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
curl,CVE-2016-8619,1478073600,2016-11-02T08:00:00+00:00,3d6460edeee21d7d790ec570d0887bed1f4366dd,1477899995,CURL-CVE-2016-8619;CVE-2016-8619,explicit_id+osv_range,osv_published,79e63a53bb9598af863b0afe49ad662795faeef4,1,lib/security.c,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
curl,CVE-2016-8621,1478073600,2016-11-02T08:00:00+00:00,96a80b5a262fb6dd2ddcea7987296f3b9a405618,1477899995,CURL-CVE-2016-8621;CVE-2016-8621,explicit_id+osv_range,osv_published,79e63a53bb9598af863b0afe49ad662795faeef4,1,lib/parsedate.c,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
curl,CVE-2016-8622,1478073600,2016-11-02T08:00:00+00:00,53e71e47d6b81650d26ec33a58d0dca24c7ffb2c,1477899995,CURL-CVE-2016-8622;CVE-2016-8622,explicit_id+osv_range,osv_published,79e63a53bb9598af863b0afe49ad662795faeef4,2,lib/dict.c;lib/escape.c,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
curl,CVE-2016-8623,1478073600,2016-11-02T08:00:00+00:00,c5be3d7267c725dbd093ff3a883e07ee8cf2a1d5,1477899995,CURL-CVE-2016-8623;CVE-2016-8623,explicit_id+osv_range,osv_published,79e63a53bb9598af863b0afe49ad662795faeef4,3,lib/cookie.c;lib/cookie.h;lib/http.c,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
curl,CVE-2016-8624,1478073600,2016-11-02T08:00:00+00:00,3bb273db7e40ebc284cff45f3ce3f0475c8339c2,1477899995,CURL-CVE-2016-8624;CVE-2016-8624,explicit_id+osv_range,osv_published,79e63a53bb9598af863b0afe49ad662795faeef4,1,lib/url.c,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
