pair_id,repo,snapshot_tag,snapshot_commit,snapshot_date,snapshot_key,event_id,event_observation_id,ground_truth_policy,ground_truth_source,ground_truth_source_family,ground_truth_aliases,event_published,event_date_source,severity_band,severity_score,severity_label,severity_source,fixed_commit,case_file,control_file,case_file_path,case_suffix,case_size_bytes,case_loc,case_ci_gzip,case_shannon_entropy,case_cyclomatic_density,case_halstead_volume,case_composite_score,case_directory_depth,case_prior_touches_total,case_prior_touches_365d,case_total_churn,case_churn_365d,case_author_count_total,case_author_count_365d,case_file_age_days,case_latest_touch_days,control_file_path,control_suffix,control_size_bytes,control_loc,control_ci_gzip,control_shannon_entropy,control_cyclomatic_density,control_halstead_volume,control_composite_score,control_directory_depth,control_prior_touches_total,control_prior_touches_365d,control_total_churn,control_churn_365d,control_author_count_total,control_author_count_365d,control_file_age_days,control_latest_touch_days,delta_composite,delta_ci_gzip,delta_entropy,delta_cc_density,delta_halstead,delta_log_prior_touches_365d,delta_log_churn_365d
0,fastapi-fastapi,0.75.1,26f725d259c5dbe3654f221e608b14412c6b40da,2022-04-01T23:05:52+00:00,fastapi-fastapi:0.75.1,CVE-2024-24762,fastapi-fastapi:0.75.1:CVE-2024-24762,supported_advisory_plus_explicit,explicit_id+osv_range,explicit_plus_range,CVE-2024-24762;GHSA-2JV5-9R88-3W3P;GHSA-QF9M-VFGH-M389;PYSEC-2024-38,2024-02-05T14:33:06+00:00,osv_published,all,7.5,HIGH,osv_severity,7633d1571cc0c2792b766f67172edb9427c66899,fastapi/__init__.py,fastapi/exception_handlers.py,fastapi/__init__.py,.py,1015.0,21.0,0.3783251231527094,0.8242913113302361,0.047619047619047616,0.0,0.3578626472085853,1,146,21,354,42,2,1,1213.6729398148148,0.0,fastapi/exception_handlers.py,.py,912.0,21.0,0.3892543859649123,0.9202285436461467,0.09523809523809523,0.0,0.3965018936391892,1,2,0,27,0,2,0,1038.4430208333333,854.7109027777777,-0.0386392464306039,-0.010929262812202911,-0.09593723231591056,-0.047619047619047616,0.0,3.091042453358316,3.7612001156935624
1,psf-requests,v2.26.0,a1a6a549a0143d9b32717dbe3d75cd543ae5a4f6,2021-07-13T14:52:02+00:00,psf-requests:v2.26.0,CVE-2023-32681,psf-requests:v2.26.0:CVE-2023-32681,supported_advisory_plus_explicit,explicit_id+osv_range+osv_ref,explicit_plus_reference_plus_range,CVE-2023-32681;GHSA-J8R2-6X86-Q33Q;PYSEC-2023-74,2023-05-26T17:02:52+00:00,osv_published,all,6.1,MEDIUM,osv_severity,74ea7cf7a6a27a4eeb2ae24e162bcc942a6706d5,requests/__version__.py,requests/certs.py,requests/__version__.py,.py,441.0,13.0,0.6349206349206349,0.772999671607572,0.15384615384615385,0.0,0.46636754101951616,1,35,3,142,12,5,1,1509.9725,0.0,requests/certs.py,.py,453.0,14.0,0.6909492273730684,0.9267694470935609,0.14285714285714285,0.0,0.5270092964942984,1,8,0,92,0,5,0,3301.662523148148,1508.4924421296296,-0.06064175547478223,-0.05602859245243352,-0.1537697754859889,0.010989010989011005,0.0,1.3862943611198906,2.5649493574615367
2,psf-requests,v2.26.0,a1a6a549a0143d9b32717dbe3d75cd543ae5a4f6,2021-07-13T14:52:02+00:00,psf-requests:v2.26.0,CVE-2023-32681,psf-requests:v2.26.0:CVE-2023-32681,supported_advisory_plus_explicit,explicit_id+osv_range+osv_ref,explicit_plus_reference_plus_range,CVE-2023-32681;GHSA-J8R2-6X86-Q33Q;PYSEC-2023-74,2023-05-26T17:02:52+00:00,osv_published,all,6.1,MEDIUM,osv_severity,74ea7cf7a6a27a4eeb2ae24e162bcc942a6706d5,requests/sessions.py,requests/utils.py,requests/sessions.py,.py,30168.0,619.0,0.2819543887562981,0.7597746654512622,0.12924071082390953,0.08579809951275727,0.330953577558422,1,328,5,3987,190,106,4,3619.785138888889,210.62653935185185,requests/utils.py,.py,31382.0,789.0,0.31839908227646424,0.7732637772936208,0.13561470215462612,0.10714623625566233,0.3517199537453795,1,256,4,3535,43,98,4,3618.3945949074073,6.066365740740741,-0.020766376186957536,-0.03644469352016616,-0.013489111842358681,-0.0063739913307165885,-0.02134813674290506,0.18232155679395468,1.4680837941283689
3,psf-requests,v2.28.0,da9996fe4dc63356e9467d0a5e10df3d89a8528e,2022-06-09T14:42:10+00:00,psf-requests:v2.28.0,CVE-2023-32681,psf-requests:v2.28.0:CVE-2023-32681,supported_advisory_plus_explicit,explicit_id+osv_range+osv_ref,explicit_plus_reference_plus_range,CVE-2023-32681;GHSA-J8R2-6X86-Q33Q;PYSEC-2023-74,2023-05-26T17:02:52+00:00,osv_published,all,6.1,MEDIUM,osv_severity,74ea7cf7a6a27a4eeb2ae24e162bcc942a6706d5,requests/__version__.py,requests/certs.py,requests/__version__.py,.py,440.0,13.0,0.634090909090909,0.771094090760929,0.07692307692307693,0.0,0.4463982313149409,1,39,5,174,36,5,1,1840.9656481481481,0.0,requests/certs.py,.py,429.0,13.0,0.682983682983683,0.9227249789535154,0.15384615384615385,0.0,0.5283113923685264,1,9,1,95,3,5,1,3632.655671296296,40.80916666666667,-0.08191316105358554,-0.04889277389277391,-0.1516308881925863,-0.07692307692307693,0.0,1.0986122886681096,2.224623551524334
4,psf-requests,v2.28.0,da9996fe4dc63356e9467d0a5e10df3d89a8528e,2022-06-09T14:42:10+00:00,psf-requests:v2.28.0,CVE-2023-32681,psf-requests:v2.28.0:CVE-2023-32681,supported_advisory_plus_explicit,explicit_id+osv_range+osv_ref,explicit_plus_reference_plus_range,CVE-2023-32681;GHSA-J8R2-6X86-Q33Q;PYSEC-2023-74,2023-05-26T17:02:52+00:00,osv_published,all,6.1,MEDIUM,osv_severity,74ea7cf7a6a27a4eeb2ae24e162bcc942a6706d5,requests/sessions.py,requests/utils.py,requests/sessions.py,.py,30180.0,678.0,0.28015241882041086,0.7603314787284446,0.06489675516224189,0.05584207132686636,0.30990316152867087,1,332,4,4305,318,106,1,3950.778287037037,40.80916666666667,requests/utils.py,.py,33228.0,852.0,0.3172926447574335,0.7720119899564342,0.13615023474178403,0.10306671362469419,0.3503824700438275,1,268,14,4004,498,102,7,3949.3877430555553,0.8598842592592593,-0.04047930851515663,-0.03714022593702265,-0.01168051122798952,-0.07125347957954214,-0.04722464229782783,-1.0986122886681098,-0.4474149929666744
5,psf-requests,v2.29.0,87d63de8739263bbe17034fba2285c79780da7e8,2023-04-26T15:19:11+00:00,psf-requests:v2.29.0,CVE-2023-32681,psf-requests:v2.29.0:CVE-2023-32681,supported_advisory_plus_explicit,explicit_id+osv_range+osv_ref,explicit_plus_reference_plus_range,CVE-2023-32681;GHSA-J8R2-6X86-Q33Q;PYSEC-2023-74,2023-05-26T17:02:52+00:00,osv_published,all,6.1,MEDIUM,osv_severity,74ea7cf7a6a27a4eeb2ae24e162bcc942a6706d5,requests/sessions.py,requests/models.py,requests/sessions.py,.py,30180.0,678.0,0.28015241882041086,0.7603314787284446,0.06489675516224189,0.05584207132686636,0.30990316152867087,1,332,1,4305,265,106,1,4271.803993055555,361.8348726851852,requests/models.py,.py,35223.0,851.0,0.27981716492064845,0.7631353250793773,0.08225616921269095,0.06899979714194462,0.31679858224470714,1,813,3,13865,321,205,3,4454.851226851852,300.8592824074074,-0.006895420716036271,0.00033525389976241105,-0.0028038463509326705,-0.017359414050449065,-0.013157725815078264,-0.6931471805599453,-0.1910552367627094
6,scrapy-scrapy,2.4.0,c340e72988fc6ec615b7b9851c3d28c16c26a839,2020-10-11T20:12:45+00:00,scrapy-scrapy:2.4.0,GHSA-9X8M-2XPF-CRP3,scrapy-scrapy:2.4.0:GHSA-9X8M-2XPF-CRP3,supported_advisory_plus_explicit,explicit_id,explicit_only,GHSA-9X8M-2XPF-CRP3,2022-07-25T11:15:17+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,af7dd16d8ded3e6cb2946603688f4f4a5212e80f,scrapy/downloadermiddlewares/httpproxy.py,scrapy/extensions/closespider.py,scrapy/downloadermiddlewares/httpproxy.py,.py,2645.0,61.0,0.36332703213610584,0.8650647194983029,0.19672131147540983,0.0,0.39574266401311936,2,20,7,153,29,15,6,4024.584988425926,36.17407407407408,scrapy/extensions/closespider.py,.py,2626.0,52.0,0.29207920792079206,0.7971903000276305,0.19230769230769232,0.0,0.3520013069185603,2,36,4,351,13,10,4,4487.8578356481485,158.19908564814816,0.043741357094559064,0.07124782421531378,0.06787441947067241,0.004413619167717514,0.0,0.47000362924573547,0.762140052046897
