policy,policy_label,policy_description,e06_subdir,e07_subdir,pair_n_pairs,pair_n_commits,pair_n_repos,pair_n_events,pair_mean_delta,pair_median_delta,pair_positive_share,pair_wilcoxon_pvalue,commit_n_rows,commit_n_unique_commits,commit_n_repos,commit_n_events,commit_mean_delta,commit_median_delta,commit_positive_share,commit_wilcoxon_pvalue,predictive_n_files,predictive_n_pairs,predictive_n_commits,predictive_n_repos,pred_auc_baseline,pred_auc_plus_composite,pred_auc_lift,pred_macro_auc_baseline,pred_macro_auc_plus_composite,pred_macro_auc_lift,pred_pairacc_baseline,pred_pairacc_plus_composite,pred_pairacc_lift,pred_macro_pairacc_baseline,pred_macro_pairacc_plus_composite,pred_macro_pairacc_lift,pair_primary_bootstrap_cluster_col,pair_primary_bootstrap_n_clusters,pair_primary_bootstrap_n_boot,pair_primary_bootstrap_confidence_level,pair_primary_bootstrap_mean_delta_composite_ci_lo,pair_primary_bootstrap_mean_delta_composite_ci_hi,pair_primary_bootstrap_median_delta_composite_ci_lo,pair_primary_bootstrap_median_delta_composite_ci_hi,pair_primary_bootstrap_positive_share_ci_lo,pair_primary_bootstrap_positive_share_ci_hi,pair_repo_bootstrap_cluster_col,pair_repo_bootstrap_n_clusters,pair_repo_bootstrap_n_boot,pair_repo_bootstrap_confidence_level,pair_repo_bootstrap_mean_delta_composite_ci_lo,pair_repo_bootstrap_mean_delta_composite_ci_hi,pair_repo_bootstrap_median_delta_composite_ci_lo,pair_repo_bootstrap_median_delta_composite_ci_hi,pair_repo_bootstrap_positive_share_ci_lo,pair_repo_bootstrap_positive_share_ci_hi,commit_primary_bootstrap_cluster_col,commit_primary_bootstrap_n_clusters,commit_primary_bootstrap_n_boot,commit_primary_bootstrap_confidence_level,commit_primary_bootstrap_mean_delta_composite_ci_lo,commit_primary_bootstrap_mean_delta_composite_ci_hi,commit_primary_bootstrap_median_delta_composite_ci_lo,commit_primary_bootstrap_median_delta_composite_ci_hi,commit_primary_bootstrap_positive_share_ci_lo,commit_primary_bootstrap_positive_share_ci_hi,commit_repo_bootstrap_cluster_col,commit_repo_bootstrap_n_clusters,commit_repo_bootstrap_n_boot,commit_repo_bootstrap_confidence_level,commit_repo_bootstrap_mean_delta_composite_ci_lo,commit_repo_bootstrap_mean_delta_composite_ci_hi,commit_repo_bootstrap_median_delta_composite_ci_lo,commit_repo_bootstrap_median_delta_composite_ci_hi,commit_repo_bootstrap_positive_share_ci_lo,commit_repo_bootstrap_positive_share_ci_hi
nvd_commit_refs,NVD commit-reference observations,Each locally accessible NVD-linked fixing commit is treated as one observation.,e06_file_case_control,e07_predictive_validation,348,227,11,176,0.005745204310823839,0.002258603639983009,0.5344827586206896,0.0025619214708719473,227,227,11,176,0.0064170181470904935,0.0038863367847585817,0.5550660792951542,0.002366474376953845,696,348,227,11,0.529759545514599,0.5563069758224336,0.026547430307834574,0.5502210754330794,0.5958778456178341,0.04565677018475467,0.5545977011494253,0.5603448275862069,0.005747126436781547,0.5560223375751259,0.6008682025125617,0.04484586493743581,event_id,176,2000,0.95,0.0016928252631690326,0.009853607193314216,-0.0017380875520858958,0.006071376795680594,0.4738255763375381,0.6012579332137213,repo,11,2000,0.95,0.002957351864998743,0.009079645933578495,0.0003138541239693926,0.008480655589739539,0.5099601593625498,0.5921071008526904,event_id,176,2000,0.95,0.0019373951897659857,0.011003946105523214,-0.0015555076641529109,0.008579344339767703,0.47450050709939146,0.6347154447645363,repo,11,2000,0.95,0.0034653108430381025,0.00846991009149215,0.001867100389627785,0.008579344339767703,0.5236708957172702,0.6241356382978722
strict_nvd_event,NVD event-collapsed observations,Each NVD-linked vulnerability is mapped to one primary single-parent source-touching fixing commit.,e06_file_case_control__strict_nvd_event,e07_predictive_validation__e06_file_case_control__strict_nvd_event,293,176,11,181,0.005306774479085803,0.002189924321213732,0.5324232081911263,0.005502801696382783,181,176,11,181,0.006439293626402956,0.005279723275613546,0.569060773480663,0.002412259690189633,586,293,176,11,0.5343044182226933,0.5535242111148645,0.01921979289217124,0.546582236319134,0.5874058821043971,0.040823645785263096,0.5631399317406144,0.5699658703071673,0.0068259385665528916,0.5528556736494321,0.5946875791177013,0.041831905468269204,event_id,181,2000,0.95,0.0016202905612778468,0.009261606994408825,-0.0017052263613191454,0.006373310978788238,0.47498686186186184,0.59375,repo,11,2000,0.95,0.0018105108058523312,0.00902303285629541,-0.00041768209849396554,0.007407271400490911,0.48988555770470665,0.5915631949592289,event_id,181,2000,0.95,0.002258407195624131,0.01073055254567653,-0.00012370736573902308,0.011507185816299503,0.4972375690607735,0.6408839779005525,repo,11,2000,0.95,0.002694727655182456,0.009590084164236868,0.0017921392126066804,0.009507313578415116,0.5203091991549837,0.6300394736842103
balanced_explicit_id_event,Expanded explicit-ID observations,"The event-collapsed NVD set is augmented with locally explicit CVE/GHSA-tagged security-fix commits, with one primary fixing commit retained per event.",e06_file_case_control__balanced_explicit_id_event,e07_predictive_validation__e06_file_case_control__balanced_explicit_id_event,1082,571,11,606,0.007486818608700875,0.0036407201686723123,0.5526802218114603,2.8197872364871308e-08,608,571,11,606,0.008283733262637889,0.0049044685892289715,0.5970394736842105,8.663114668790038e-10,2164,1082,571,11,0.523159600384036,0.5569758542577072,0.033816253873671265,0.5663819752363454,0.5787267167472863,0.012344741510940893,0.5351201478743068,0.5831792975970426,0.04805914972273573,0.5692835827382557,0.5861030042627294,0.016819421524473688,event_id,606,2000,0.95,0.004836832674103549,0.010390840655181583,0.0017921392126066804,0.005757038872478526,0.5180635789426362,0.5865050707355567,repo,11,2000,0.95,0.0032261999569347245,0.01023901879542574,0.0012621199964091296,0.0048922050217887255,0.5093555716320395,0.607984033058843,event_id,606,2000,0.95,0.00568421731871208,0.010879399182510378,0.0033757367348064005,0.0079783333090694,0.5592105263157895,0.6353323324135691,repo,11,2000,0.95,0.0034108141942459317,0.012553191845719874,0.003010050710041181,0.00878625677678424,0.5559761039462259,0.633955300127714
