n_pairs,n_security_commits,n_bugfix_commits,n_repos,n_security_events,mean_delta_composite,median_delta_composite,positive_share,mean_security_loc,mean_bugfix_loc,median_loc_ratio,security_ground_truth_policy,sign_test_positive_count,sign_test_negative_count,sign_test_pvalue_greater,rank_biserial_effect,wilcoxon_statistic,wilcoxon_pvalue_greater,bootstrap_primary_cluster,bootstrap_repo_cluster,repo
67,60,65,1,63,0.0007171585322743785,0.006463639625759521,0.582089552238806,2012.55223880597,1767.955223880597,1.0862068965517242,strict_nvd_event,39,28,0.11077436482240552,0.16417910447761194,1230.0,0.2848665006987866,"{'cluster_col': 'security_event_id', 'n_clusters': 63, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.006602165285443689, 0.007975837276162969], 'median_delta_composite_ci': [-0.010370768082680004, 0.015105126736144336], 'positive_share_ci': [0.46153846153846156, 0.7014925373134329]}",{},php-src
22,9,22,1,9,0.0028427815862188373,0.0019479038752155675,0.5909090909090909,1349.409090909091,1363.909090909091,0.9795300237059541,strict_nvd_event,13,9,0.2617335319519043,0.18181818181818182,147.0,0.26175546646118164,"{'cluster_col': 'security_event_id', 'n_clusters': 9, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.013774403500774924, 0.00825784755351901], 'median_delta_composite_ci': [-0.025241054257783946, 0.00786780072685428], 'positive_share_ci': [0.1111111111111111, 0.7292708333333328]}",{},curl
4,3,4,1,3,0.0020249679659835873,0.0018521429516568932,0.5,1412.0,1276.5,1.0945971641223449,strict_nvd_event,2,2,0.6875,0.0,7.0,0.3125,"{'cluster_col': 'security_event_id', 'n_clusters': 3, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.000338241202265277, 0.0038166740426988643], 'median_delta_composite_ci': [-0.000338241202265277, 0.0038166740426988643], 'positive_share_ci': [0.0, 1.0]}",{},jq
4,3,4,1,3,0.00022957196000164548,7.78810109393624e-05,1.0,9586.0,9533.25,1.0001062774550094,strict_nvd_event,4,0,0.0625,1.0,10.0,0.0625,"{'cluster_col': 'security_event_id', 'n_clusters': 3, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [5.867328513792236e-06, 0.0007603774788058071], 'median_delta_composite_ci': [5.867328513792236e-06, 0.0007603774788058071], 'positive_share_ci': [1.0, 1.0]}",{},libxml2
8,6,8,1,6,-0.005350057708615193,5.1153623744915055e-05,0.625,833.125,826.75,1.0005296610169492,strict_nvd_event,5,3,0.36328125,0.25,20.0,0.421875,"{'cluster_col': 'security_event_id', 'n_clusters': 6, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.02206181098222676, 0.001336669697015865], 'median_delta_composite_ci': [-0.02275517213593059, 0.002003045476530574], 'positive_share_ci': [0.3333333333333333, 0.875]}",{},zlib
26,10,26,1,10,8.577840237058133e-05,-4.2435909086729895e-05,0.46153846153846156,1104.2692307692307,1066.2692307692307,1.0388063500879385,strict_nvd_event,12,13,0.6549810171127319,-0.04,161.0,0.5160970867356623,"{'cluster_col': 'security_event_id', 'n_clusters': 10, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.009471101514955648, 0.008693343442170246], 'median_delta_composite_ci': [-0.014907568178868236, 0.011528503004873125], 'positive_share_ci': [0.26666666666666666, 0.6666666666666666]}",{},git
63,24,60,1,25,-0.002071638655474077,-5.146498992880666e-05,0.4444444444444444,1657.3650793650793,1611.952380952381,1.0134952766531713,strict_nvd_event,28,33,0.7786869975267643,-0.08196721311475409,831.0,0.7945832726662891,"{'cluster_col': 'security_event_id', 'n_clusters': 25, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.005559306739583268, 0.004648835624047876], 'median_delta_composite_ci': [-0.0008698434073991512, 0.0005371726222442308], 'positive_share_ci': [0.3472222222222222, 0.6216216216216216]}",{},redis
20,14,20,1,14,0.005198276790126299,-0.0011164160717680727,0.45,3899.05,4196.8,0.9266415547629661,strict_nvd_event,9,11,0.7482776641845703,-0.1,116.0,0.35059070587158203,"{'cluster_col': 'security_event_id', 'n_clusters': 14, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.007152032064235342, 0.016256150860196095], 'median_delta_composite_ci': [-0.004193788614950511, 0.013998903633740511], 'positive_share_ci': [0.25, 0.6429621848739491]}",{},sqlite
12,11,12,1,11,-0.010592774479301015,-0.003383299298982373,0.3333333333333333,1334.0833333333333,1240.8333333333333,1.0334490134450847,strict_nvd_event,4,8,0.927001953125,-0.3333333333333333,25.0,0.866943359375,"{'cluster_col': 'security_event_id', 'n_clusters': 11, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.02949138330077258, 0.008907472038769187], 'median_delta_composite_ci': [-0.03234002236576122, 0.014231281275698893], 'positive_share_ci': [0.07692307692307693, 0.6363636363636364]}",{},openssh
65,34,63,1,35,-0.006931799584246811,-0.005296914883980486,0.36923076923076925,1312.6923076923076,1280.8307692307692,1.032471264367816,strict_nvd_event,24,41,0.987594012714224,-0.26153846153846155,764.0,0.9781014604093718,"{'cluster_col': 'security_event_id', 'n_clusters': 35, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.015321684189043148, 0.0008505670718532412], 'median_delta_composite_ci': [-0.012639255739345323, 0.00026241669132132106], 'positive_share_ci': [0.24675324675324675, 0.5076984126984126]}",{},openssl
2,2,2,1,2,-0.005347668874809419,-0.005347668874809419,0.5,463.0,459.5,1.0056089743589745,strict_nvd_event,1,1,0.75,0.0,,,"{'cluster_col': 'security_event_id', 'n_clusters': 2, 'n_boot': 2000, 'confidence_level': 0.95, 'mean_delta_composite_ci': [-0.010725501974767349, 3.0164225148510138e-05], 'median_delta_composite_ci': [-0.010725501974767349, 3.0164225148510138e-05], 'positive_share_ci': [0.0, 1.0]}",{},nginx
