roc_auc,average_precision,brier_score,log_loss,pairwise_accuracy,model,held_out_repo,n_files,n_pairs
0.44000000000000006,0.6000000000000001,0.49147805396857436,5.38480306312848,0.2,baseline_size,django-django,10,5
0.44000000000000006,0.6000000000000001,0.49147805396857436,5.38480306312848,0.2,baseline_history,django-django,10,5
0.48,0.62,0.48778803346883226,4.285461613055374,0.4,baseline_history_plus_structure,django-django,10,5
0.44000000000000006,0.6000000000000001,0.48246139463551224,4.439236429377415,0.2,baseline_plus_composite,django-django,10,5
0.0,0.5,0.2578034305789358,0.708874891621909,0.0,baseline_size,psf-requests,2,1
0.0,0.5,0.2578034305789358,0.708874891621909,0.0,baseline_history,psf-requests,2,1
1.0,1.0,0.12606463180687688,0.4349643425023686,1.0,baseline_history_plus_structure,psf-requests,2,1
1.0,1.0,0.2318963635949229,0.6567614749305019,1.0,baseline_plus_composite,psf-requests,2,1
