repo,snapshot_tag,snapshot_date,event_id,event_observation_id,event_published,event_date_source,severity_band,severity_score,severity_label,severity_source,ground_truth_source,ground_truth_source_family,ground_truth_aliases,fixed_commit,commit_subject,case_file,control_file,changed_source_files_count,changed_source_files_sample,review_decision,review_notes
django-django,4.2.4,2023-08-01T16:59:48+00:00,CVE-2024-41991,django-django:4.2.4:CVE-2024-41991,2024-08-07T15:15:56+00:00,osv_published,all,7.5,HIGH,osv_severity,explicit_id+osv_range,explicit_plus_range,BIT-DJANGO-2024-41991;CVE-2024-41991;GHSA-R836-HH6V-RG5G;PYSEC-2024-69,efea1ef7e2190e3f77ca0651b5458297bc0f6a9f,[4.2.x] Fixed CVE-2024-41991 -- Prevented potential ReDoS in django.utils.html.urlize() and AdminURLFieldWidget.,django/contrib/admin/widgets.py,django/db/migrations/executor.py,2,django/contrib/admin/widgets.py;django/utils/html.py,,
django-django,4.2.4,2023-08-01T16:59:48+00:00,CVE-2024-42005,django-django:4.2.4:CVE-2024-42005,2024-08-07T15:15:56+00:00,osv_published,all,7.3,HIGH,osv_severity,explicit_id+osv_range,explicit_plus_range,BIT-DJANGO-2024-42005;CVE-2024-42005;GHSA-PV4P-CWWG-4RPH;PYSEC-2024-70,f4af67b9b41e0f4c117a8741da3abbd1c869ab28,[4.2.x] Fixed CVE-2024-42005 -- Mitigated QuerySet.values() SQL injection attacks against JSON fields.,django/db/models/sql/query.py,django/db/models/fields/__init__.py,1,django/db/models/sql/query.py,,
django-django,4.2.4,2023-08-01T16:59:48+00:00,CVE-2024-41989,django-django:4.2.4:CVE-2024-41989,2024-08-07T15:15:56+00:00,osv_published,all,7.5,HIGH,osv_severity,explicit_id+osv_range,explicit_plus_range,BIT-DJANGO-2024-41989;CVE-2024-41989;GHSA-JH75-99HH-QVX9;PYSEC-2024-67,fc76660f589ac07e45e9cd34ccb8087aeb11904b,[4.2.x] Fixed CVE-2024-41989 -- Prevented excessive memory consumption in floatformat.,django/template/defaultfilters.py,django/http/multipartparser.py,1,django/template/defaultfilters.py,,
django-django,4.2.4,2023-08-01T16:59:48+00:00,CVE-2024-41990,django-django:4.2.4:CVE-2024-41990,2024-08-07T15:15:56+00:00,osv_published,all,7.5,HIGH,osv_severity,explicit_id+osv_range,explicit_plus_range,BIT-DJANGO-2024-41990;CVE-2024-41990;GHSA-795C-9XPC-XW6G;PYSEC-2024-68,d0a82e26a74940bf0c78204933c3bdd6a283eb88,[4.2.x] Fixed CVE-2024-41990 -- Mitigated potential DoS in urlize and urlizetrunc template filters.,django/utils/html.py,django/utils/text.py,1,django/utils/html.py,,
django-django,4.2.4,2023-08-01T16:59:48+00:00,CVE-2024-11168,django-django:4.2.4:CVE-2024-11168,2024-12-03T08:50:11+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,explicit_id,explicit_only,CVE-2024-11168,f663277a4c22ef96cbdebfd0ed76155b9d37b4f8,[4.2.x] Refs CVE-2024-11168 -- Updated vendored _urlsplit() to properly validate IPv6 and IPvFuture addresses.,django/utils/http.py,django/utils/functional.py,1,django/utils/http.py,,
psf-requests,v2.28.2,2023-01-12T16:16:09+00:00,CVE-2023-32681,psf-requests:v2.28.2:CVE-2023-32681,2023-05-26T17:02:52+00:00,osv_published,all,6.1,MEDIUM,osv_severity,explicit_id+osv_range+osv_ref,explicit_plus_reference_plus_range,CVE-2023-32681;GHSA-J8R2-6X86-Q33Q;PYSEC-2023-74,74ea7cf7a6a27a4eeb2ae24e162bcc942a6706d5,Merge pull request from GHSA-j8r2-6x86-q33q,requests/sessions.py,requests/utils.py,1,requests/sessions.py,,
