repo,n_pairs,n_events,n_snapshots,mean_delta_composite,median_delta_composite,positive_share
django-django,5,5,1,-0.003606321428778536,-0.012153170821788739,0.4
psf-requests,1,1,1,-0.04047930851515663,-0.04047930851515663,0.0
