pair_id,repo,snapshot_tag,snapshot_commit,snapshot_date,snapshot_key,event_id,event_observation_id,ground_truth_policy,ground_truth_source,ground_truth_source_family,ground_truth_aliases,event_published,event_date_source,severity_band,severity_score,severity_label,severity_source,fixed_commit,case_file,control_file,case_file_path,case_suffix,case_size_bytes,case_loc,case_ci_gzip,case_shannon_entropy,case_cyclomatic_density,case_halstead_volume,case_composite_score,case_directory_depth,case_prior_touches_total,case_prior_touches_365d,case_total_churn,case_churn_365d,case_author_count_total,case_author_count_365d,case_file_age_days,case_latest_touch_days,control_file_path,control_suffix,control_size_bytes,control_loc,control_ci_gzip,control_shannon_entropy,control_cyclomatic_density,control_halstead_volume,control_composite_score,control_directory_depth,control_prior_touches_total,control_prior_touches_365d,control_total_churn,control_churn_365d,control_author_count_total,control_author_count_365d,control_file_age_days,control_latest_touch_days,delta_composite,delta_ci_gzip,delta_entropy,delta_cc_density,delta_halstead,delta_log_prior_touches_365d,delta_log_churn_365d
0,django-django,4.2.4,6f4c7c124a03f7b01d868cb7d1fa55564b5f2bf8,2023-08-01T16:59:48+00:00,django-django:4.2.4,CVE-2024-41991,django-django:4.2.4:CVE-2024-41991,supported_advisory_plus_explicit,explicit_id+osv_range,explicit_plus_range,BIT-DJANGO-2024-41991;CVE-2024-41991;GHSA-R836-HH6V-RG5G;PYSEC-2024-69,2024-08-07T15:15:56+00:00,osv_published,all,7.5,HIGH,osv_severity,efea1ef7e2190e3f77ca0651b5458297bc0f6a9f,django/contrib/admin/widgets.py,django/db/migrations/executor.py,django/contrib/admin/widgets.py,.py,19395.0,499.0,0.2510440835266821,0.7425921286969158,0.08016032064128256,0.0,0.29177301394149296,3,0,0,0,0,0,0,,,django/db/migrations/executor.py,.py,18923.0,379.0,0.22105374412091106,0.7851840342508458,0.25065963060686014,0.0,0.3347144084372946,3,0,0,0,0,0,0,,,-0.042941394495801644,0.02999033940577106,-0.04259190555393,-0.17049930996557758,0.0,0.0,0.0
1,django-django,4.2.4,6f4c7c124a03f7b01d868cb7d1fa55564b5f2bf8,2023-08-01T16:59:48+00:00,django-django:4.2.4,CVE-2024-42005,django-django:4.2.4:CVE-2024-42005,supported_advisory_plus_explicit,explicit_id+osv_range,explicit_plus_range,BIT-DJANGO-2024-42005;CVE-2024-42005;GHSA-PV4P-CWWG-4RPH;PYSEC-2024-70,2024-08-07T15:15:56+00:00,osv_published,all,7.3,HIGH,osv_severity,f4af67b9b41e0f4c117a8741da3abbd1c869ab28,django/db/models/sql/query.py,django/db/models/fields/__init__.py,django/db/models/sql/query.py,.py,115124.0,2466.0,0.25448212362322364,0.7247318644156342,0.11273317112733171,0.19439799143437392,0.3215903056082635,4,0,0,0,0,0,0,,,django/db/models/fields/__init__.py,.py,95674.0,2454.0,0.1943892802642306,0.6791679935036491,0.10472697636511817,0.08734441125153758,0.2724254261044594,4,0,0,0,0,0,0,,,0.049164879503804104,0.06009284335899304,0.045563870911985105,0.008006194762213537,0.10705358018283634,0.0,0.0
2,django-django,4.2.4,6f4c7c124a03f7b01d868cb7d1fa55564b5f2bf8,2023-08-01T16:59:48+00:00,django-django:4.2.4,CVE-2024-41989,django-django:4.2.4:CVE-2024-41989,supported_advisory_plus_explicit,explicit_id+osv_range,explicit_plus_range,BIT-DJANGO-2024-41989;CVE-2024-41989;GHSA-JH75-99HH-QVX9;PYSEC-2024-67,2024-08-07T15:15:56+00:00,osv_published,all,7.5,HIGH,osv_severity,fc76660f589ac07e45e9cd34ccb8087aeb11904b,django/template/defaultfilters.py,django/http/multipartparser.py,django/template/defaultfilters.py,.py,28012.0,798.0,0.2613522775953163,0.7283594437755752,0.06766917293233082,0.01344263202209266,0.29008121474258275,2,0,0,0,0,0,0,,,django/http/multipartparser.py,.py,27333.0,624.0,0.2778326564958109,0.786143681039976,0.1346153846153846,0.0005624549193878892,0.3251679748205309,2,0,0,0,0,0,0,,,-0.03508676007794814,-0.016480378900494586,-0.05778423726440085,-0.06694621168305379,0.012880177102704771,0.0,0.0
3,django-django,4.2.4,6f4c7c124a03f7b01d868cb7d1fa55564b5f2bf8,2023-08-01T16:59:48+00:00,django-django:4.2.4,CVE-2024-41990,django-django:4.2.4:CVE-2024-41990,supported_advisory_plus_explicit,explicit_id+osv_range,explicit_plus_range,BIT-DJANGO-2024-41990;CVE-2024-41990;GHSA-795C-9XPC-XW6G;PYSEC-2024-68,2024-08-07T15:15:56+00:00,osv_published,all,7.5,HIGH,osv_severity,d0a82e26a74940bf0c78204933c3bdd6a283eb88,django/utils/html.py,django/utils/text.py,django/utils/html.py,.py,14213.0,353.0,0.33476394849785407,0.7945395493010415,0.059490084985835696,0.0,0.32923831220454375,2,0,0,0,0,0,0,,,django/utils/text.py,.py,14302.0,389.0,0.32366102642986994,0.7910530203208354,0.12339331619537275,0.006608919045777206,0.3413914830263325,2,0,0,0,0,0,0,,,-0.012153170821788739,0.011102922067984133,0.0034865289802061827,-0.06390323120953706,-0.006608919045777206,0.0,0.0
4,django-django,4.2.4,6f4c7c124a03f7b01d868cb7d1fa55564b5f2bf8,2023-08-01T16:59:48+00:00,django-django:4.2.4,CVE-2024-11168,django-django:4.2.4:CVE-2024-11168,supported_advisory_plus_explicit,explicit_id,explicit_only,CVE-2024-11168,2024-12-03T08:50:11+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,f663277a4c22ef96cbdebfd0ed76155b9d37b4f8,django/utils/http.py,django/utils/functional.py,django/utils/http.py,.py,15368.0,391.0,0.3508589276418532,0.7997655086512362,0.056265984654731455,0.01799090900149345,0.3374574206605785,2,0,0,0,0,0,0,,,django/utils/functional.py,.py,15162.0,375.0,0.2799762564305501,0.7738435440252159,0.09866666666666667,0.0,0.31447258191273675,2,0,0,0,0,0,0,,,0.02298483874784174,0.07088267121130315,0.025921964626020255,-0.04240068201193521,0.01799090900149345,0.0,0.0
5,psf-requests,v2.28.2,61c324da43dd8b775d3930d76265538b3ca27bc1,2023-01-12T16:16:09+00:00,psf-requests:v2.28.2,CVE-2023-32681,psf-requests:v2.28.2:CVE-2023-32681,supported_advisory_plus_explicit,explicit_id+osv_range+osv_ref,explicit_plus_reference_plus_range,CVE-2023-32681;GHSA-J8R2-6X86-Q33Q;PYSEC-2023-74,2023-05-26T17:02:52+00:00,osv_published,all,6.1,MEDIUM,osv_severity,74ea7cf7a6a27a4eeb2ae24e162bcc942a6706d5,requests/sessions.py,requests/utils.py,requests/sessions.py,.py,30180.0,678.0,0.28015241882041086,0.7603314787284446,0.06489675516224189,0.05584207132686636,0.30990316152867087,1,0,0,0,0,0,0,,,requests/utils.py,.py,33228.0,852.0,0.3172926447574335,0.7720119899564342,0.13615023474178403,0.10306671362469419,0.3503824700438275,1,0,0,0,0,0,0,,,-0.04047930851515663,-0.03714022593702265,-0.01168051122798952,-0.07125347957954214,-0.04722464229782783,0.0,0.0
