model,metric,cluster_col,observed_gap,ci_lo,ci_hi,n_bootstrap
baseline_history_plus_structure,underprediction_loss,event_observation_id,0.037397373085870544,0.02434631227873587,0.053589402624507634,2000
baseline_history_plus_structure,underprediction_loss,repo,0.037397373085870544,0.022720039008210662,0.09702853662091984,2000
baseline_history_plus_structure,rank_pct,event_observation_id,0.39028139112146576,0.2343767382682208,0.5451880556358328,2000
baseline_history_plus_structure,rank_pct,repo,0.39028139112146576,0.17096391482848305,0.5375714473284701,2000
baseline_history_plus_structure,top10_miss,event_observation_id,0.6176470588235294,0.4411764705882353,0.7647058823529411,2000
baseline_history_plus_structure,top10_miss,repo,0.6176470588235294,0.5,0.6923076923076923,2000
baseline_history_plus_structure,top25_miss,event_observation_id,0.7712418300653594,0.49673202614379086,0.9705882352941176,2000
baseline_history_plus_structure,top25_miss,repo,0.7712418300653594,0.45977011494252873,0.9411764705882353,2000
baseline_plus_composite,underprediction_loss,event_observation_id,0.03255106797626828,0.01711145948130483,0.0526442330954599,2000
baseline_plus_composite,underprediction_loss,repo,0.03255106797626828,0.014743118413755082,0.09869638594042487,2000
baseline_plus_composite,rank_pct,event_observation_id,0.28870969788042045,0.13118289350571072,0.44863628599970184,2000
baseline_plus_composite,rank_pct,repo,0.28870969788042045,0.0586739331137571,0.4062433977019005,2000
baseline_plus_composite,top10_miss,event_observation_id,0.5294117647058824,0.3529411764705882,0.7058823529411764,2000
baseline_plus_composite,top10_miss,repo,0.5294117647058824,0.33333333333333337,0.6,2000
baseline_plus_composite,top25_miss,event_observation_id,0.630718954248366,0.2973856209150326,0.9117647058823529,2000
baseline_plus_composite,top25_miss,repo,0.630718954248366,0.011820362473347511,0.9393939393939394,2000
