model,opacity_band,n_positive_files,n_repos,mean_score,mean_rank_desc,mean_rank_pct,top10_miss_rate,top25_miss_rate,underprediction_loss_mean
baseline_history_plus_structure,low,34,5,0.043922559091187585,63.61764705882353,0.11919875468128373,0.38235294117647056,0.11764705882352941,0.9560774409088125
baseline_history_plus_structure,high,9,4,0.006525186005317087,566.2222222222222,0.5094801458027495,1.0,0.8888888888888888,0.9934748139946831
baseline_plus_composite,low,34,5,0.043098307972459865,71.23529411764706,0.13116624219319134,0.47058823529411764,0.14705882352941177,0.9569016920275402
baseline_plus_composite,high,9,4,0.010547239996191702,496.77777777777777,0.4198759400736118,1.0,0.7777777777777778,0.9894527600038084
