repo,snapshot_tag,snapshot_key,event_observation_id,label,file_path,opacity_stratum,composite_score,loc,log_loc,directory_depth,suffix,advisory_ids,source_families,mapping_bases,baseline_history,baseline_history_plus_structure,baseline_plus_composite,baseline_size,score_mean,score_std,score_range,history_vs_composite_gap,structure_vs_composite_gap
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:CVE-2018-14574:django/middleware/common.py,1,django/middleware/common.py,Q5,0.36182179762881495,174.0,5.1647859739235145,2.0,.py,CVE-2018-14574,explicit_only,explicit_id,0.01595417140296261,0.016494112976107585,0.018155898248795158,0.013293372829716526,0.01597438886439547,0.0017476664491881204,0.004862525419078632,0.0022017268458325474,0.0016617852726875729
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:CVE-2018-14574:django/urls/resolvers.py,1,django/urls/resolvers.py,Q2,0.32073290230161045,469.0,6.152732694704104,2.0,.py,CVE-2018-14574,explicit_only,explicit_id,0.022494944987395286,0.024635071061276034,0.02391655672970023,0.027706581050464935,0.02468828845720912,0.0019052065311634628,0.005211636063069649,0.001421611742304943,0.000718514331575805
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:CVE-2018-14574:django/utils/http.py,1,django/utils/http.py,Q3,0.3336655171011196,401.0,5.996452088619021,2.0,.py,CVE-2018-14574,explicit_only,explicit_id,0.025164698842678003,0.028965096571540994,0.02683171702766028,0.02316862493185687,0.026032534343434038,0.002132705427302341,0.005796471639684123,0.0016670181849822753,0.002133379543880716
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:CVE-2018-7536:django/__init__.py,1,django/__init__.py,Q8,0.443920844892849,21.0,3.091042453358316,1.0,.py,CVE-2018-7536,explicit_plus_reference_plus_range,explicit_id+osv_range+osv_ref,0.015152147194696517,0.011035022815920652,0.019358998231063303,0.0027104403047538968,0.012064152136608592,0.006150234247828182,0.016648557926309406,0.004206851036366786,0.00832397541514265
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:CVE-2018-7536:django/utils/html.py,1,django/utils/html.py,Q4,0.33872798219473427,323.0,5.780743515792329,2.0,.py,CVE-2018-7536,explicit_plus_reference_plus_range,explicit_id+osv_range+osv_ref,0.015155445645860457,0.017890421533251752,0.016647411636148773,0.020116056444958806,0.017452333815054948,0.0018173424329070108,0.004960610799098349,0.0014919659902883162,0.0012430098971029785
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:CVE-2018-7537:django/utils/text.py,1,django/utils/text.py,Q3,0.3365916250795484,381.0,5.945420608606575,2.0,.py,CVE-2018-7537,explicit_only,explicit_id,0.01983985574170833,0.02356721542097582,0.021396789307592878,0.021812052824181437,0.021653978323614615,0.0013268996449047241,0.003727359679267489,0.0015569335658845475,0.0021704261133829415
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/__main__.py,0,django/__main__.py,Q10,0.6224721935443189,7.0,2.0794415416798357,1.0,.py,,,,0.0010723789518001336,0.0006186127164323184,0.0019228413258605655,0.0009732040237897342,0.001146759254470688,0.00047877343146231503,0.0013042286094282472,0.0008504623740604319,0.0013042286094282472
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/apps/config.py,0,django/apps/config.py,Q5,0.3562823187871112,173.0,5.159055299214529,2.0,.py,,,,0.015308690275145493,0.015007267939133909,0.017413768310842216,0.012838337651302665,0.01514201604410607,0.0016212441094708926,0.004575430659539552,0.002105078035696723,0.002406500371708307
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/apps/registry.py,0,django/apps/registry.py,Q4,0.3388156102823316,348.0,5.855071922202427,2.0,.py,,,,0.031222729400728424,0.030757198352047467,0.034960432694887286,0.022737258778242276,0.029919404806476365,0.0044552142699762,0.01222317391664501,0.0037377032941588624,0.004203234342839819
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/conf/__init__.py,0,django/conf/__init__.py,Q4,0.3475529172796895,167.0,5.123963979403259,2.0,.py,,,,0.020546720884119598,0.02132769589442711,0.022079797153662595,0.011976891190422475,0.018982776280657945,0.004081008910280223,0.01010290596324012,0.0015330762695429968,0.0007521012592354853
