model,opacity_stratum,n_files,n_events,n_repos,event_rate,mean_score,calibration_gap,absolute_error_mean,brier_score,brier_reliability,ece,roc_auc,average_precision
baseline_history,overall,5980,5980,6,0.0071906354515050164,0.009923805945426618,0.0027331704939216016,0.016635137415102724,0.0071872115056361985,2.5026985193933087e-05,0.003479706767843908,0.8749466295325726,0.03658883837086485
baseline_history,Q1,598,598,6,0.01839464882943144,0.022734749765878706,0.0043401009364472665,0.03990248476388582,0.018726957110113563,0.000609999672801047,0.014817449027228792,0.7825615610964844,0.04666914171137793
baseline_history,Q2,598,598,6,0.011705685618729096,0.02059294810151554,0.008887262482786443,0.030952658989523384,0.011766982245537346,0.00037413858405892285,0.014615870677712351,0.719361856417694,0.05939990362773884
baseline_history,Q3,598,598,6,0.016722408026755852,0.019352525952521706,0.002630117925765854,0.035358083441458035,0.017125254557075684,0.0008957862101449449,0.01828906551018541,0.6761904761904761,0.028522026684684423
baseline_history,Q4,598,598,6,0.008361204013377926,0.011355387738028723,0.002994183724650797,0.01881094511000884,0.00785661264494461,3.05249763690818e-05,0.0049602409766473,0.9025295109612143,0.14285209586896877
baseline_history,Q5,598,598,6,0.006688963210702341,0.008647830259746383,0.001958867049044042,0.014986869575530243,0.006502947935249687,6.0353005622346253e-05,0.005994804421444232,0.9318181818181819,0.06989743764481396
baseline_history,Q6,598,598,5,0.0033444816053511705,0.005810107937841836,0.002465626332490666,0.009063921719375844,0.003311290937693365,1.936172016828223e-05,0.0038742711949758617,0.901006711409396,0.034900990099009904
baseline_history,Q7,598,598,6,0.0016722408026755853,0.004268101808221464,0.0025958610055458794,0.005893696239553348,0.001655069462757243,1.4173869677175249e-05,0.003452384249599388,0.9731993299832495,0.058823529411764705
baseline_history,Q8,598,598,6,0.0016722408026755853,0.0026952745461829132,0.001023033743507328,0.004316839271284263,0.0016321944829695326,1.4459791654469868e-05,0.0029720518182734575,0.9983249581239532,0.5
baseline_history,Q9,598,598,6,0.0033444816053511705,0.002273432792760359,-0.0010710488125908117,0.005558174488838958,0.003292208419734863,8.200565036237056e-05,0.004535083903432987,0.9899328859060402,0.19444444444444442
baseline_history,Q10,598,598,6,0.0,0.001507700551568534,0.001507700551568534,0.001507700551568534,2.5972602860837587e-06,2.5602690225099337e-06,0.001507700551568534,,
baseline_history_plus_structure,overall,5980,5980,6,0.0071906354515050164,0.010144873110616926,0.0029542376591119093,0.01681671637082694,0.007215562335400562,3.6264773655648934e-05,0.003280675295006975,0.8714682460407926,0.036561879250961396
baseline_history_plus_structure,Q1,598,598,6,0.01839464882943144,0.025884620626807776,0.007489971797376337,0.04277891173845714,0.018864205716335687,0.0011852557993447502,0.019889310163953344,0.7935573795880441,0.048388576056971354
baseline_history_plus_structure,Q2,598,598,6,0.011705685618729096,0.02213761035082981,0.010431924732100716,0.03249388350406036,0.011964058578784706,0.0004669498801990406,0.016183056285484314,0.7174280879864637,0.056668204899952584
baseline_history_plus_structure,Q3,598,598,6,0.016722408026755852,0.020055898806521526,0.0033334907797656736,0.036014820682081256,0.017124387333153714,0.000938372800806544,0.019683254312682894,0.6785714285714286,0.02887922455217851
baseline_history_plus_structure,Q4,598,598,6,0.008361204013377926,0.01149666214925616,0.0031354581358782347,0.018785140588699213,0.007728349627533068,6.228037680280424e-05,0.006759760708065843,0.9200674536256325,0.15183008179384402
