pair_id,repo,security_event_id,security_ground_truth_policy,commit,label,kind,file_path,suffix,loc,size_bytes,ci_gzip,shannon_entropy,cyclomatic_density,halstead_volume,composite_score,log_loc,log_size_bytes
0,curl,CVE-2018-1000120,expanded_advisory_event,61c434273654048462873c031eda027dd4acd549,1,security,include/curl/curl.h,.h,449.0,18672.0,0.3569515852613539,0.7240965500077555,0.011135857461024499,0.023840473932507857,0.30879323465372926,6.1092475827643655,9.83483390921908
0,curl,CVE-2018-1000120,expanded_advisory_event,52cd332b954eda192815bb950d3937aa3f10050f,0,bugfix,ares/ares.h,.h,395.0,17728.0,0.24402075812274368,0.748224516743329,0.05822784810126582,0.031288295528435484,0.2893839528689339,5.981414211254481,9.782956995898381
1,curl,CVE-2018-1000121,expanded_advisory_event,61c434273654048462873c031eda027dd4acd549,1,security,include/curl/curl.h,.h,449.0,18672.0,0.3569515852613539,0.7240965500077555,0.011135857461024499,0.023840473932507857,0.30879323465372926,6.1092475827643655,9.83483390921908
1,curl,CVE-2018-1000121,expanded_advisory_event,01a49a7626ee4a226cd0b50d70591ab147d60ee0,0,bugfix,lib/curl_setup.h,.h,554.0,19688.0,0.3123730190979277,0.6927212134450966,0.18592057761732853,0.020945336562894924,0.3293536162576255,6.318968113746434,9.887815383141833
2,curl,CVE-2018-1000122,expanded_advisory_event,61c434273654048462873c031eda027dd4acd549,1,security,include/curl/curl.h,.h,449.0,18672.0,0.3569515852613539,0.7240965500077555,0.011135857461024499,0.023840473932507857,0.30879323465372926,6.1092475827643655,9.83483390921908
2,curl,CVE-2018-1000122,expanded_advisory_event,57d3477e77629430889a4159d2bf803892caf7c7,0,bugfix,lib/config-win32.h,.h,361.0,20432.0,0.22283672670321064,0.5756811527515129,0.2659279778393352,0.0,0.2861511080196776,5.8916442118257715,9.924906519909428
3,curl,CVE-2018-1000301,expanded_advisory_event,61c434273654048462873c031eda027dd4acd549,1,security,include/curl/curl.h,.h,449.0,18672.0,0.3569515852613539,0.7240965500077555,0.011135857461024499,0.023840473932507857,0.30879323465372926,6.1092475827643655,9.83483390921908
3,curl,CVE-2018-1000301,expanded_advisory_event,658ec97055456f739222aa2a5719a4d403ced99a,0,bugfix,lib/config-win32.h,.h,324.0,20553.0,0.21807035469274558,0.5694418881992468,0.20679012345679013,0.0,0.2683902171892975,5.783825182329737,9.930810848185018
4,curl,CVE-2018-1000120,expanded_advisory_event,61c434273654048462873c031eda027dd4acd549,1,security,src/hugehelp.c,.c,1440.0,60939.0,0.330740576642216,0.7331016630438233,0.018055555555555554,0.09454438363779119,0.3124978825584993,7.273092595999522,11.0176450525397
4,curl,CVE-2018-1000120,expanded_advisory_event,eda099889438813bcddac3718a231ee86bbbb028,0,bugfix,lib/transfer.c,.c,1410.0,60801.0,0.28790644890709033,0.7059390442459964,0.21631205673758866,0.08423503434138073,0.3396709502503953,7.252053951852814,11.015377962150081
5,curl,CVE-2018-1000121,expanded_advisory_event,61c434273654048462873c031eda027dd4acd549,1,security,src/hugehelp.c,.c,1440.0,60939.0,0.330740576642216,0.7331016630438233,0.018055555555555554,0.09454438363779119,0.3124978825584993,7.273092595999522,11.0176450525397
5,curl,CVE-2018-1000121,expanded_advisory_event,ef695fc30144c8b92700c0161cdafd141c70ae60,0,bugfix,lib/transfer.c,.c,1404.0,60752.0,0.287875296286542,0.706197414248965,0.21652421652421652,0.08423503434138073,0.3397780564008189,7.247792581767846,11.014571742699559
6,curl,CVE-2018-1000122,expanded_advisory_event,61c434273654048462873c031eda027dd4acd549,1,security,src/hugehelp.c,.c,1440.0,60939.0,0.330740576642216,0.7331016630438233,0.018055555555555554,0.09454438363779119,0.3124978825584993,7.273092595999522,11.0176450525397
6,curl,CVE-2018-1000122,expanded_advisory_event,b27dc009cfb887eddbcf3f2d8b80f79852cb3ef1,0,bugfix,lib/smtp.c,.c,1575.0,61357.0,0.1985103574164317,0.6454483268868342,0.1746031746031746,0.06183855022586062,0.2804492698441662,7.362645270417825,11.024480840985804
7,curl,CVE-2018-1000301,expanded_advisory_event,61c434273654048462873c031eda027dd4acd549,1,security,src/hugehelp.c,.c,1440.0,60939.0,0.330740576642216,0.7331016630438233,0.018055555555555554,0.09454438363779119,0.3124978825584993,7.273092595999522,11.0176450525397
7,curl,CVE-2018-1000301,expanded_advisory_event,128517649c73cc767a1bbe4e3f5d256797c7a80b,0,bugfix,src/tool_operate.c,.c,1366.0,60314.0,0.2652949563948669,0.683569236410779,0.11932650073206442,0.042206476617281295,0.2953102583222122,7.220373836723949,11.007336107999484
8,curl,CVE-2000-0973,expanded_advisory_event,751d503f54596d6d86f969683fec2fe296d9d1f0,1,security,lib/sendf.c,.c,222.0,6434.0,0.32934410941871306,0.7369357613032937,0.10810810810810811,0.0,0.3262231474378157,5.407171771460119,8.769507120030227
8,curl,CVE-2000-0973,expanded_advisory_event,c382c550e7d8ad54d2c35b0fea9d0eef09ff3a25,0,bugfix,lib/netrc.c,.c,200.0,6418.0,0.36849485821128075,0.7793854678012808,0.175,0.0,0.3667333774416467,5.303304908059076,8.767017621311778
9,curl,CVE-2000-0973,expanded_advisory_event,751d503f54596d6d86f969683fec2fe296d9d1f0,1,security,lib/url.c,.c,1252.0,42572.0,0.28600958376397634,0.6874145273182578,0.16293929712460065,0.09158793788357737,0.3229770273250562,7.133295954896068,10.658975528502648
9,curl,CVE-2000-0973,expanded_advisory_event,2c26cea5ecb168c1e3c980725071828c9b0482b8,0,bugfix,lib/socks.c,.c,1231.0,42664.0,0.2197402962685168,0.6940942636558607,0.20471161657189277,0.0451211111832329,0.30568521270792165,7.116394144093465,10.661134190970685
10,curl,CVE-2003-1605,expanded_advisory_event,5c2df3e1a4da7b17ae053ee8c4ecef5eb2d30464,1,security,include/curl/curl.h,.h,781.0,40102.0,0.3178644456635579,0.6911546305370607,0.0076824583866837385,0.12479275134435852,0.3005408808912287,6.661854740545311,10.59920642346389
10,curl,CVE-2003-1605,expanded_advisory_event,b8085f493a7066fe6990c15e8e30d8b20c736062,0,bugfix,include/curl/typecheck-gcc.h,.h,559.0,41477.0,0.1390891337367698,0.6435823817827366,0.44543828264758495,0.03442959079158161,0.3233808201790585,6.327936783729195,10.63291844517332
11,curl,CVE-2005-3185,expanded_advisory_event,943aea62679fb9f2d6d7abe59b5edcba21490c52,1,security,lib/http_ntlm.c,.c,609.0,22524.0,0.27894690108328896,0.7365866359394129,0.08374384236453201,0.0,0.2998030659147064,6.413458957167357,10.022381082476539
11,curl,CVE-2005-3185,expanded_advisory_event,b77d0db59e989d68db6ae856cb225afdb882a3e3,0,bugfix,lib/rtsp.c,.c,573.0,22534.0,0.28534658737907165,0.7355535428083032,0.21465968586387435,0.0,0.3348255772192263,6.352629396319567,10.02282493512475
12,curl,CVE-2009-0037,expanded_advisory_event,042cc1f69ec0878f542667cb684378869f859911,1,security,lib/urldata.h,.h,1307.0,65859.0,0.31063332270456584,0.6726597647611926,0.020657995409334353,0.19008668079807478,0.30523200673716694,7.176254532017144,11.095286555930356
12,curl,CVE-2009-0037,expanded_advisory_event,235c0077b8648a3b941090991a0ce6ac24d681ab,0,bugfix,lib/urldata.h,.h,1312.0,66196.0,0.3105474651036316,0.6730283433845112,0.020579268292682928,0.19113919878434588,0.30548059186942567,7.180069874302796,11.1003904236777
13,curl,CVE-2009-0037,expanded_advisory_event,042cc1f69ec0878f542667cb684378869f859911,1,security,include/curl/curl.h,.h,1274.0,68741.0,0.2938275556072795,0.6857792818509385,0.026687598116169546,0.19233274854191915,0.30498625181113775,7.150701457592526,11.138115645121681
13,curl,CVE-2009-0037,expanded_advisory_event,52cd5ac21cdfdc0a6c016de97fe70d3a50baa526,0,bugfix,lib/urldata.h,.h,1365.0,68193.0,0.3134632586922411,0.699419312290566,0.014652014652014652,0.19815672819030147,0.3126841234589723,7.2196420401307355,11.130111863421801
14,curl,CVE-2009-0037,expanded_advisory_event,042cc1f69ec0878f542667cb684378869f859911,1,security,lib/url.c,.c,3805.0,154067.0,0.2623274289757054,0.6360615780621345,0.14822601839684627,0.19173720794768415,0.3099537803473564,8.244334047856094,11.945149342379084
14,curl,CVE-2009-0037,expanded_advisory_event,df07537ccf98fd7984563dda89218f0d3bd0d6f6,0,bugfix,lib/url.c,.c,3805.0,154035.0,0.26236245009251147,0.6361442930639646,0.14822601839684627,0.19173720794768415,0.30998759819997446,8.244334047856094,11.944941620310464
