roc_auc,average_precision,brier_score,log_loss,model,held_out_repo,n_files,n_positive_files
0.8381592526207159,0.28155362072276147,0.05100817254614824,0.2220872414944851,baseline_size,curl,1907,102
0.8350008147303243,0.23631521854804452,0.050012372951764264,0.21015264042451884,baseline_history,curl,1907,102
0.8315354950844603,0.22576297678133664,0.0499060060609714,0.2092311057204716,baseline_history_plus_structure,curl,1907,102
0.8343327358644289,0.2332233343826885,0.05004117770349586,0.21050352033009545,baseline_plus_composite,curl,1907,102
0.8124328678839958,0.06170202306844065,0.012765360085097028,0.06367005080697823,baseline_size,git,2156,28
0.7462238184747583,0.034769982070017136,0.016267140230382313,0.07796407284862622,baseline_history,git,2156,28
0.7496475563909775,0.034555945166633364,0.01754188329973337,0.08168877080601884,baseline_history_plus_structure,git,2156,28
0.7409203813104189,0.03455906475530978,0.016280731493775947,0.07830799173030532,baseline_plus_composite,git,2156,28
0.8787878787878788,0.22852564102564102,0.05292779026334641,0.1928443524785581,baseline_size,jq,70,4
0.9621212121212122,0.5700757575757576,0.052332215935303204,0.1953980496075765,baseline_history,jq,70,4
0.9696969696969697,0.75,0.05220740218730066,0.19311672128553917,baseline_history_plus_structure,jq,70,4
0.9545454545454546,0.5560897435897436,0.052621670774371444,0.19895401501216387,baseline_plus_composite,jq,70,4
0.910619398842097,0.047622489063971804,0.006779126211609447,0.04065070894077446,baseline_size,openssh,1410,9
0.9352843207232929,0.05231304716951729,0.007066687567956574,0.036255653174442654,baseline_history,openssh,1410,9
0.9335395352525974,0.05121713646225658,0.006834867122005948,0.03520549220268149,baseline_history_plus_structure,openssh,1410,9
0.9330636846696804,0.05274465052327,0.007179294822809834,0.03730310462436984,baseline_plus_composite,openssh,1410,9
0.7131445262890526,0.03140237697353139,0.012013739896854999,0.06295188866852569,baseline_size,openssl,2571,31
0.8079248158496317,0.05904013705935162,0.012440543112228879,0.0617357535291656,baseline_history,openssl,2571,31
0.8074803149606299,0.06416428212193523,0.012279026987313925,0.06125805893970545,baseline_history_plus_structure,openssl,2571,31
0.8111252222504445,0.058206682312038134,0.012414396352857723,0.06150828338628892,baseline_plus_composite,openssl,2571,31
0.744311377245509,0.002336448598130841,0.0048534289830761326,0.03438596833700781,baseline_size,php-src,1671,1
0.7640718562874251,0.002531645569620253,0.0033807546482500337,0.029151740630294732,baseline_history,php-src,1671,1
0.7389221556886227,0.002288329519450801,0.0030733997408252294,0.028689258936219205,baseline_history_plus_structure,php-src,1671,1
0.7592814371257485,0.0024813895781637717,0.0032968188255116373,0.02877237376907286,baseline_plus_composite,php-src,1671,1
,0.0,0.0029131523167811417,0.03427793137182961,baseline_size,redis,283,0
,0.0,0.0012415660291609514,0.017608483716725826,baseline_history,redis,283,0
,0.0,0.0009504880839890205,0.016195192526982507,baseline_history_plus_structure,redis,283,0
,0.0,0.0015430869137088494,0.01957026196953823,baseline_plus_composite,redis,283,0
0.9372485921158487,0.21467180840702646,0.02737791702806331,0.10496768297213302,baseline_size,sqlite,350,11
0.9710378117457764,0.3786897729043591,0.024741698410435845,0.08509046843534078,baseline_history,sqlite,350,11
0.9672834540091177,0.3726511417312509,0.02556293822885482,0.0893271598934177,baseline_history_plus_structure,sqlite,350,11
0.970769643336015,0.3765959619974598,0.024508567541405835,0.08418562324358891,baseline_plus_composite,sqlite,350,11
0.8005698005698005,0.09559884559884559,0.025266945406869728,0.10895615630093142,baseline_size,zlib,120,3
0.7549857549857549,0.08203996753905457,0.024401808624940773,0.11375084650255489,baseline_history,zlib,120,3
0.7663817663817664,0.08944911297852474,0.024407769567505493,0.11279789173168328,baseline_history_plus_structure,zlib,120,3
0.7663817663817665,0.07966742252456538,0.024404403430768204,0.11313447897769206,baseline_plus_composite,zlib,120,3
