repo,n_files,n_positive_files,n_snapshots,positive_rate
curl,1907,102,5,0.053487152595700055
openssl,2571,31,2,0.012057565149747181
git,2156,28,4,0.012987012987012988
sqlite,350,11,1,0.03142857142857143
openssh,1410,9,4,0.006382978723404255
jq,70,4,1,0.05714285714285714
zlib,120,3,2,0.025
php-src,1671,1,1,0.0005984440454817474
redis,283,0,2,0.0
