repo,n_interventions,mean_did_composite,mean_did_score_range,mean_did_absolute_error,mean_did_underprediction_loss,mean_did_positive_log_loss
psf-requests,25,0.0005850627016722609,-0.0016251881734268597,-0.001591933628257431,-0.0007398241385499693,-0.01877465987194471
pallets-flask,17,0.0009462911904067731,0.0017435824953130608,0.0017333137335980428,0.0,0.0
scrapy-scrapy,17,-0.0015690825338610496,9.06776218673731e-05,-0.0005203164226575533,-0.00012163829905254651,-0.017959282898566815
fastapi-fastapi,10,0.0032624598056479465,-1.4634644726057265e-05,-0.0004424940608641718,-5.396210791032141e-05,-0.0011915849115410105
django-django,3,-0.0003411267009837589,0.0021202465684325533,-0.0022457498458616273,-0.0016565567031273283,-0.019350723773574757
prometheus-prometheus,1,-0.000980750765159466,0.003961777174544949,0.00157560147145017,0.0,0.0
traefik-traefik,1,0.010775490563435297,1.4208371914289225e-05,0.00015504063834297435,0.0,0.0
