intervention_id,repo,absolute_error_control_post,absolute_error_control_pre,absolute_error_intervention_post,absolute_error_intervention_pre,composite_score_control_post,composite_score_control_pre,composite_score_intervention_post,composite_score_intervention_pre,positive_log_loss_control_post,positive_log_loss_control_pre,positive_log_loss_intervention_post,positive_log_loss_intervention_pre,score_range_control_post,score_range_control_pre,score_range_intervention_post,score_range_intervention_pre,underprediction_loss_control_post,underprediction_loss_control_pre,underprediction_loss_intervention_post,underprediction_loss_intervention_pre,delta_composite_score_intervention,delta_composite_score_control,did_composite_score,delta_score_range_intervention,delta_score_range_control,did_score_range,delta_absolute_error_intervention,delta_absolute_error_control,did_absolute_error,delta_underprediction_loss_intervention,delta_underprediction_loss_control,did_underprediction_loss,delta_positive_log_loss_intervention,delta_positive_log_loss_control,did_positive_log_loss
django-django::1557778121e5d04a80f1f7c81eeb4b47400939e4::django/core/management/commands/loaddata.py,django-django,0.0669406937543026,0.06353305883173788,0.02759943058797728,0.025872321179744133,0.272560065407979,0.2725666587666301,0.34654114979295997,0.34520154517731466,0.0,0.0,0.0,0.0,0.027523213304872646,0.025262692715580834,0.01313277738416366,0.011522563391957898,0.0,0.0,0.0,0.0,0.0013396046156453068,-6.5933586511079945e-06,0.0013461979742964147,0.0016102139922057612,0.0022605205892918118,-0.0006503065970860505,0.0017271094082331462,0.0034076349225647257,-0.0016805255143315795,0.0,0.0,0.0,0.0,0.0,0.0
django-django::23984cf907168d2a26579e54bf53d5d222431f01::django/utils/html.py,django-django,0.06112332527626319,0.059868764607802244,0.9118841611510624,0.9168538312604444,0.3400446766525695,0.3379265917508213,0.32239509191237925,0.32160690509003775,0.0,0.0,2.4291029795776495,2.487155150898374,0.04685492479728393,0.04574660300961835,0.0931402664959962,0.08602135076763576,0.0,0.0,0.9118841611510624,0.9168538312604444,0.0007881868223414967,0.002118084901748196,-0.0013298980794066995,0.007118915728360445,0.001108321787665581,0.006010593940694864,-0.004969670109381985,0.001254560668460948,-0.006224230777842933,-0.004969670109381985,0.0,-0.004969670109381985,-0.058052171320724266,0.0,-0.058052171320724266
django-django::3f76d1402dac9c2993d588f996dc1c331edbc9a7::django/db/backends/base/schema.py,django-django,0.014957146210960476,0.013153144343347583,0.07238351524428525,0.06941200662208273,0.31164706157612804,0.3112321291525853,0.3079304145808899,0.30855516215518813,0.0,0.0,0.0,0.0,0.007632570932599951,0.005798410004159863,0.03654166856500902,0.033707055274880084,0.0,0.0,0.0,0.0,-0.0006247475742982567,0.0004149324235427354,-0.001039679997840992,0.0028346132901289345,0.0018341609284400883,0.0010004523616888462,0.0029715086222025233,0.0018040018676128925,0.0011675067545896308,0.0,0.0,0.0,0.0,0.0,0.0
fastapi-fastapi::0ac9b3ee5ce85b9ebc23698f8515e07017d9b9aa::fastapi/__init__.py,fastapi-fastapi,0.02559507207176605,0.023494045943159673,0.9544436589905005,0.9549832800696038,0.30714072390322744,0.30775037219574314,0.43512712548392085,0.46864076141024325,0.0,0.0,3.0888054550967,3.1007213042121102,0.004235832435021191,0.0021664348919611873,0.04337931397462612,0.043184639792623096,0.0,0.0,0.9544436589905005,0.9549832800696038,-0.033513635926322394,-0.0006096482925156965,-0.0329039876338067,0.0001946741820030226,0.002069397543060004,-0.0018747233610569812,-0.0005396210791032141,0.002101026128606378,-0.002640647207709592,-0.0005396210791032141,0.0,-0.0005396210791032141,-0.011915849115410104,0.0,-0.011915849115410104
fastapi-fastapi::1f01ce9615fe83ea5235820266e3a78ae8768847::docs_src/additional_responses/tutorial002.py,fastapi-fastapi,0.10206671526902744,0.0967365483179784,0.0047169508715685215,0.003471819334692099,0.30311423175681756,0.3031172532556619,0.46211848088736546,0.4667786448948081,0.0,0.0,0.0,0.0,0.06936066608337915,0.06265781780051956,0.0027276263818444943,0.0015692237734084348,0.0,0.0,0.0,0.0,-0.004660164007442624,-3.0214988443466595e-06,-0.004657142508598278,0.0011584026084360596,0.006702848282859594,-0.005544445674423535,0.0012451315368764227,0.005330166951049042,-0.00408503541417262,0.0,0.0,0.0,0.0,0.0,0.0
fastapi-fastapi::3063ad83ec006a41f2ed8f4168d5d6efbddbee6b::fastapi/encoders.py,fastapi-fastapi,0.038911627142473315,0.036387379241572294,0.034836164052253475,0.03372525385594542,0.3055646996220514,0.304161507667026,0.32800732302416086,0.3288255218510383,0.0,0.0,0.0,0.0,0.014966816277304305,0.013461840874843804,0.022943327591361307,0.02149830783739029,0.0,0.0,0.0,0.0,-0.0008181988268774476,0.001403191955025418,-0.0022213907819028655,0.0014450197539710163,0.001504975402460501,-5.995564848948476e-05,0.0011109101963080528,0.0025242479009010207,-0.001413337704592968,0.0,0.0,0.0,0.0,0.0,0.0
fastapi-fastapi::35d93d59d82f2b2073d492ac335553f1d7c3cc55::.github/actions/people/app/main.py,fastapi-fastapi,0.0034179234806587817,0.0018373485739535912,0.023878204970457367,0.022077728702782816,0.37291882237684354,0.3720966755407726,0.26235869575648885,0.26208464326967573,0.0,0.0,0.0,0.0,0.000864812164225094,0.002103939607941239,0.00992539008760629,0.00779819011881893,0.0,0.0,0.0,0.0,0.00027405248681311445,0.0008221468360709583,-0.0005480943492578438,0.002127199968787359,-0.001239127443716145,0.003366327412503504,0.0018004762676745514,0.0015805749067051905,0.00021990136096936095,0.0,0.0,0.0,0.0,0.0,0.0
fastapi-fastapi::510fec9bee23a9c31157090a2081f2038f7ae5cf::fastapi/encoders.py,fastapi-fastapi,0.01660668196616027,0.014606401468226926,0.008908722551741218,0.007779253777662837,0.22747200410910576,0.22751985054646,0.367833594534613,0.319588898376948,0.0,0.0,0.0,0.0,0.008215577074305699,0.010216719837656518,0.00380948004061452,0.0013407448582385068,0.0,0.0,0.0,0.0,0.048244696157665024,-4.78464373542542e-05,0.04829254259501928,0.0024687351823760133,-0.002001142763350819,0.0044698779457268325,0.001129468774078381,0.0020002804979333457,-0.0008708117238549647,0.0,0.0,0.0,0.0,0.0,0.0
fastapi-fastapi::83d04df8a6f87abe2b849a510b4c0e36170e653e::fastapi/encoders.py,fastapi-fastapi,0.09278049212359059,0.09097465541381754,0.028147606629510095,0.025665472737008012,0.21823170550522553,0.21832493244370219,0.3210988969455106,0.3037709094884632,0.0,0.0,0.0,0.0,0.09823583391508256,0.0956625574783448,0.018505450070660685,0.01717504655037237,0.0,0.0,0.0,0.0,0.01732798745704739,-9.32269384766593e-05,0.01742121439552405,0.0013304035202883167,0.0025732764367377564,-0.0012428729164494397,0.0024821338925020836,0.001805836709773051,0.0006762971827290326,0.0,0.0,0.0,0.0,0.0,0.0
fastapi-fastapi::addfa89b0f750abc193f62be8e457fc487b842ee::fastapi/applications.py,fastapi-fastapi,0.01126741967649781,0.01012913951426025,0.011974738852863147,0.00969396041756046,0.4726476352868563,0.47252312887238485,0.22338346922048724,0.22230094744150894,0.0,0.0,0.0,0.0,0.008131340368896393,0.006978961037476809,0.011879785795572528,0.013964143842667868,0.0,0.0,0.0,0.0,0.0010825217789783015,0.00012450641447148136,0.0009580153645068201,-0.0020843580470953395,0.0011523793314195847,-0.003236737378514924,0.002280778435302687,0.0011382801622375604,0.0011424982730651265,0.0,0.0,0.0,0.0,0.0,0.0
