roc_auc,average_precision,brier_score,log_loss,repo,model,n_files,n_positive_files,ece
0.8430617283950617,0.04409933190541696,0.0069097954962705245,0.0365867884914781,django-django,baseline_size,3399,24,0.0037125292531997953
0.8665977249224406,0.011375661375661376,0.002081178747605373,0.014511793865708946,fastapi-fastapi,baseline_size,969,2,0.003971601633872597
0.9810267857142857,0.4326923076923077,0.007677428591448969,0.03753225909905604,prometheus-prometheus,baseline_size,452,4,0.013388190422133435
0.6095238095238095,0.20555555555555555,0.0749497446034668,0.3494236392440383,psf-requests,baseline_size,38,3,0.08664498232570952
0.4666666666666667,0.012345679012345678,0.006618584747353582,0.04122440072786366,scrapy-scrapy,baseline_size,151,1,0.012223872193507273
0.8167013167013167,0.03531216295908598,0.009128089174712313,0.04760620472916363,traefik-traefik,baseline_size,971,9,0.006390202832529342
0.8594691358024692,0.029105725003103697,0.0071389614901541725,0.0375331820745885,django-django,baseline_history,3399,24,0.004971938563613191
0.9922440537745605,0.1625,0.001968778715467135,0.009718230577358163,fastapi-fastapi,baseline_history,969,2,0.0024561058449316976
0.9162946428571428,0.0863219246031746,0.00928211402121385,0.04825814983477977,prometheus-prometheus,baseline_history,452,4,0.01751332102542886
0.7142857142857142,0.28846153846153844,0.07540015566450071,0.3210250676025678,psf-requests,baseline_history,38,3,0.0787008853737939
0.5933333333333333,0.016129032258064516,0.006855218586015257,0.0433134613917587,scrapy-scrapy,baseline_history,151,1,0.01894530693630403
0.8625548625548625,0.07097274354057251,0.008970740127759818,0.044604553757081576,traefik-traefik,baseline_history,971,9,0.005497090430967218
0.8594074074074074,0.02958504473299528,0.007165472823975553,0.037383012843598344,django-django,baseline_history_plus_structure,3399,24,0.0044513481031732815
0.9886246122026888,0.11858974358974358,0.002011408802323421,0.00981490878862179,fastapi-fastapi,baseline_history_plus_structure,969,2,0.0019350042567446738
0.9229910714285715,0.09884631818829226,0.009361020143283261,0.048140138294920115,prometheus-prometheus,baseline_history_plus_structure,452,4,0.018603484378847263
0.6666666666666666,0.4284221525600836,0.07532905800049493,0.32917052178097544,psf-requests,baseline_history_plus_structure,38,3,0.07903000111510056
0.5866666666666667,0.015873015873015872,0.006938952656889584,0.0439268582645391,scrapy-scrapy,baseline_history_plus_structure,151,1,0.018926121692623823
0.8598983598983598,0.07020905796960675,0.008963026104611641,0.04440185490409583,traefik-traefik,baseline_history_plus_structure,971,9,0.0045182181353668575
0.8584197530864197,0.029099903427597777,0.007171608120739997,0.03793720110823982,django-django,baseline_plus_composite,3399,24,0.006089978829662079
0.9927611168562565,0.17142857142857143,0.001959304034863394,0.010153093864399129,fastapi-fastapi,baseline_plus_composite,969,2,0.0030557025825532565
0.9084821428571428,0.31023472141893194,0.008904980230185879,0.04785219562956176,prometheus-prometheus,baseline_plus_composite,452,4,0.01790598813743302
0.7523809523809525,0.2657004830917874,0.07521606753848682,0.31378731488293654,psf-requests,baseline_plus_composite,38,3,0.07791510561376024
0.6,0.01639344262295082,0.0068671479679453026,0.04350532434055999,scrapy-scrapy,baseline_plus_composite,151,1,0.019894972188374962
0.853892353892354,0.0700032536184199,0.008987630935508471,0.04505615638057012,traefik-traefik,baseline_plus_composite,971,9,0.0067449371512631655
