repo,snapshot_tag,snapshot_date,event_id,event_observation_id,event_published,event_date_source,severity_band,severity_score,severity_label,severity_source,ground_truth_source,ground_truth_source_family,ground_truth_aliases,fixed_commit,commit_subject,case_file,control_file,changed_source_files_count,changed_source_files_sample,review_decision,review_notes
go-gitea-gitea,v1.20.0-rc0,2023-06-07T15:49:58+00:00,CVE-2023-48795,go-gitea-gitea:v1.20.0-rc0:CVE-2023-48795,2023-12-19T01:18:42+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,explicit_id,explicit_only,CVE-2023-48795,11f0519ad852809d842e3382595579d8f3ffbc87,Update go dependencies (#28518),modules/git/repo_commitgraph_gogit.go,routers/install/routes_test.go,2,modules/git/repo_commitgraph_gogit.go;services/cron/tasks_test.go,,
prometheus-prometheus,v2.13.0,2019-10-04T10:32:24+00:00,CVE-2021-3121,prometheus-prometheus:v2.13.0:CVE-2021-3121,2021-02-08T16:30:46+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,explicit_id,explicit_only,CVE-2021-3121,cf269b7dddc3704d9fe6715dab09068f3c16e04e,Update github.com/gogo/protobuf to v1.3.2,prompb/remote.pb.go,scrape/scrape_test.go,2,prompb/remote.pb.go;prompb/types.pb.go,,
prometheus-prometheus,v2.13.0,2019-10-04T10:32:24+00:00,GHSA-VX57-7F4Q-FPC7,prometheus-prometheus:v2.13.0:GHSA-VX57-7F4Q-FPC7,2021-05-18T12:47:45+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,explicit_id,explicit_only,GHSA-VX57-7F4Q-FPC7,6eeded0fdf760e81af75d9c44ce539ab77da4505,Merge pull request from GHSA-vx57-7f4q-fpc7,web/web.go,tsdb/compact.go,1,web/web.go,,
prometheus-prometheus,v2.20.0-rc.1,2020-07-20T17:07:16+00:00,CVE-2021-3121,prometheus-prometheus:v2.20.0-rc.1:CVE-2021-3121,2021-02-08T16:30:46+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,explicit_id,explicit_only,CVE-2021-3121,cf269b7dddc3704d9fe6715dab09068f3c16e04e,Update github.com/gogo/protobuf to v1.3.2,prompb/remote.pb.go,tsdb/db.go,2,prompb/remote.pb.go;prompb/types.pb.go,,
prometheus-prometheus,v2.20.0-rc.1,2020-07-20T17:07:16+00:00,GHSA-VX57-7F4Q-FPC7,prometheus-prometheus:v2.20.0-rc.1:GHSA-VX57-7F4Q-FPC7,2021-05-18T12:47:45+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,explicit_id,explicit_only,GHSA-VX57-7F4Q-FPC7,6eeded0fdf760e81af75d9c44ce539ab77da4505,Merge pull request from GHSA-vx57-7f4q-fpc7,web/web.go,storage/fanout_test.go,1,web/web.go,,
