pair_id,repo,snapshot_tag,snapshot_commit,snapshot_date,snapshot_key,event_id,event_observation_id,ground_truth_policy,ground_truth_source,ground_truth_source_family,ground_truth_aliases,event_published,event_date_source,severity_band,severity_score,severity_label,severity_source,fixed_commit,case_file,control_file,case_file_path,case_suffix,case_size_bytes,case_loc,case_ci_gzip,case_shannon_entropy,case_cyclomatic_density,case_halstead_volume,case_composite_score,case_directory_depth,case_prior_touches_total,case_prior_touches_365d,case_total_churn,case_churn_365d,case_author_count_total,case_author_count_365d,case_file_age_days,case_latest_touch_days,control_file_path,control_suffix,control_size_bytes,control_loc,control_ci_gzip,control_shannon_entropy,control_cyclomatic_density,control_halstead_volume,control_composite_score,control_directory_depth,control_prior_touches_total,control_prior_touches_365d,control_total_churn,control_churn_365d,control_author_count_total,control_author_count_365d,control_file_age_days,control_latest_touch_days,delta_composite,delta_ci_gzip,delta_entropy,delta_cc_density,delta_halstead,delta_log_prior_touches_365d,delta_log_churn_365d
0,prometheus-prometheus,v2.13.0,6ea4252299f542669aca11860abc2192bdc7bede,2019-10-04T10:32:24+00:00,prometheus-prometheus:v2.13.0,CVE-2021-3121,prometheus-prometheus:v2.13.0:CVE-2021-3121,supported_advisory_plus_explicit,explicit_id,explicit_only,CVE-2021-3121,2021-02-08T16:30:46+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,cf269b7dddc3704d9fe6715dab09068f3c16e04e,prompb/remote.pb.go,scrape/scrape_test.go,prompb/remote.pb.go,.go,42643.0,1572.0,0.14604976197734681,0.6989901296662078,0.19783715012722647,0.0,0.2736170396796157,1,14,6,2425,1221,11,5,813.5595949074074,45.594606481481485,scrape/scrape_test.go,.go,40682.0,1344.0,0.2071432082985104,0.708876418185966,0.10788690476190477,0.06110247973073531,0.28388329903730203,1,86,19,3454,525,21,9,1311.9054166666667,52.009108796296296,-0.010266259357686325,-0.06109344632116359,-0.009886288519758257,0.0899502453653217,-0.06110247973073531,-1.0498221244986776,0.8429429269938309
1,prometheus-prometheus,v2.13.0,6ea4252299f542669aca11860abc2192bdc7bede,2019-10-04T10:32:24+00:00,prometheus-prometheus:v2.13.0,CVE-2021-3121,prometheus-prometheus:v2.13.0:CVE-2021-3121,supported_advisory_plus_explicit,explicit_id,explicit_only,CVE-2021-3121,2021-02-08T16:30:46+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,cf269b7dddc3704d9fe6715dab09068f3c16e04e,prompb/types.pb.go,tsdb/querier_test.go,prompb/types.pb.go,.go,52993.0,2128.0,0.12005359198384692,0.6890877933361976,0.1950187969924812,0.0,0.26137002626740485,1,13,6,3190,1570,11,5,816.1376157407408,45.594606481481485,tsdb/querier_test.go,.go,55739.0,1944.0,0.18599185489513625,0.6550702617280607,0.06018518518518518,0.07313190310250643,0.25261607451866036,1,81,27,4719,1809,17,12,1023.823136574074,15.053275462962963,0.008753951748744493,-0.06593826291128933,0.03401753160813692,0.13483361180729603,-0.07313190310250643,-1.3862943611198906,-0.14161448600424986
2,prometheus-prometheus,v2.13.0,6ea4252299f542669aca11860abc2192bdc7bede,2019-10-04T10:32:24+00:00,prometheus-prometheus:v2.13.0,GHSA-VX57-7F4Q-FPC7,prometheus-prometheus:v2.13.0:GHSA-VX57-7F4Q-FPC7,supported_advisory_plus_explicit,explicit_id,explicit_only,GHSA-VX57-7F4Q-FPC7,2021-05-18T12:47:45+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,6eeded0fdf760e81af75d9c44ce539ab77da4505,web/web.go,tsdb/compact.go,web/web.go,.go,27271.0,810.0,0.300319020204613,0.7179706048732223,0.09876543209876543,0.09068905956085178,0.3205118740624974,1,221,26,3718,415,51,13,2504.957523148148,45.594606481481485,tsdb/compact.go,.go,27169.0,800.0,0.30490632706393317,0.734221457497901,0.17625,0.04304525516655318,0.3380608133473124,1,143,33,3892,579,20,10,1005.0399189814815,15.053275462962963,-0.01754893928481499,-0.004587306859320184,-0.016250852624678735,-0.07748456790123456,0.047643804394298606,-0.23052365861183244,-0.3323428432792017
3,prometheus-prometheus,v2.20.0-rc.1,113d1672dcf990452baef67e722a7308508dc57e,2020-07-20T17:07:16+00:00,prometheus-prometheus:v2.20.0-rc.1,CVE-2021-3121,prometheus-prometheus:v2.20.0-rc.1:CVE-2021-3121,supported_advisory_plus_explicit,explicit_id,explicit_only,CVE-2021-3121,2021-02-08T16:30:46+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,cf269b7dddc3704d9fe6715dab09068f3c16e04e,prompb/remote.pb.go,tsdb/db.go,prompb/remote.pb.go,.go,42207.0,1546.0,0.14725045608548346,0.6997759442872995,0.19728331177231564,0.0,0.27405829218993005,1,16,4,2487,741,13,4,1103.8338078703703,146.31498842592592,tsdb/db.go,.go,41660.0,1119.0,0.27467594815170426,0.7191955149773533,0.1671134941912422,0.058496250072115605,0.3235534020769301,1,314,35,12353,1029,47,21,1343.3144791666666,15.51775462962963,-0.049495109887000066,-0.1274254920662208,-0.019419570690053845,0.030169817581073455,-0.058496250072115605,-1.9740810260220096,-0.3279648380563014
4,prometheus-prometheus,v2.20.0-rc.1,113d1672dcf990452baef67e722a7308508dc57e,2020-07-20T17:07:16+00:00,prometheus-prometheus:v2.20.0-rc.1,CVE-2021-3121,prometheus-prometheus:v2.20.0-rc.1:CVE-2021-3121,supported_advisory_plus_explicit,explicit_id,explicit_only,CVE-2021-3121,2021-02-08T16:30:46+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,cf269b7dddc3704d9fe6715dab09068f3c16e04e,prompb/types.pb.go,tsdb/head_test.go,prompb/types.pb.go,.go,55549.0,2233.0,0.12020018362166736,0.6874975624284662,0.19793999104343932,0.0,0.26174715412433563,1,15,4,3448,1171,13,4,1106.4118287037038,146.31498842592592,tsdb/head_test.go,.go,57060.0,1536.0,0.20841219768664562,0.6382211008422325,0.059244791666666664,0.10579917227591765,0.2603120003297527,1,125,40,7266,2264,27,17,1292.0844212962963,9.0,0.0014351537945829218,-0.08821201406497826,0.049276461586233666,0.13869519937677266,-0.10579917227591765,-2.1041341542702074,-0.6588630677801772
5,prometheus-prometheus,v2.20.0-rc.1,113d1672dcf990452baef67e722a7308508dc57e,2020-07-20T17:07:16+00:00,prometheus-prometheus:v2.20.0-rc.1,GHSA-VX57-7F4Q-FPC7,prometheus-prometheus:v2.20.0-rc.1:GHSA-VX57-7F4Q-FPC7,supported_advisory_plus_explicit,explicit_id,explicit_only,GHSA-VX57-7F4Q-FPC7,2021-05-18T12:47:45+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,6eeded0fdf760e81af75d9c44ce539ab77da4505,web/web.go,storage/fanout_test.go,web/web.go,.go,33061.0,964.0,0.28637972233144793,0.711875558835497,0.10684647302904564,0.1038918989292302,0.31782939972908575,1,250,31,4195,481,63,18,2795.2317361111113,10.790659722222221,storage/fanout_test.go,.go,31992.0,812.0,0.14588022005501375,0.6612838311818586,0.04187192118226601,0.0,0.22548677921797955,1,17,9,1405,1051,9,4,1103.292800925926,26.14263888888889,0.0923426205111062,0.14049950227643418,0.050591727653638396,0.06497455184677964,0.1038918989292302,1.1631508098056806,-0.7805042792470553
6,go-gitea-gitea,v1.20.0-rc0,eac1bddb8da2e26a3f6d6678b9888c65418cf318,2023-06-07T15:49:58+00:00,go-gitea-gitea:v1.20.0-rc0,CVE-2023-48795,go-gitea-gitea:v1.20.0-rc0:CVE-2023-48795,supported_advisory_plus_explicit,explicit_id,explicit_only,CVE-2023-48795,2023-12-19T01:18:42+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,11f0519ad852809d842e3382595579d8f3ffbc87,modules/git/repo_commitgraph_gogit.go,routers/install/routes_test.go,modules/git/repo_commitgraph_gogit.go,.go,931.0,23.0,0.5370569280343717,0.8797085389407242,0.17391304347826086,0.0,0.46190163620625,2,7,1,47,3,7,1,1436.5657870370371,191.89547453703705,routers/install/routes_test.go,.go,932.0,30.0,0.5,0.8324033469794557,0.03333333333333333,0.0,0.4010729397491558,2,6,4,83,62,5,3,707.784675925926,15.597719907407408,0.06082869645709421,0.03705692803437166,0.04730519196126848,0.14057971014492754,0.0,-0.916290731874155,-2.756840365271642
