repo,event_id,published_epoch,published,fixed_commit,fixed_epoch,aliases,source,source_family,candidate_commits,candidate_commit_count,event_date_source,severity_score,severity_label,severity_source,snapshot_commit,changed_source_commit_count,changed_source_files_count,changed_source_files,snapshot_tag,snapshot_date,snapshot_key
pallets-flask,CVE-2023-30861,1683047062,2023-05-02T17:04:22+00:00,f3b8f570545200c87465d18386f3fc9f2258307a,1682955310,CVE-2023-30861;GHSA-M2QF-HXJV-5GPQ;PYSEC-2023-62,explicit_id+osv_range+osv_ref,explicit_plus_reference_plus_range,47af817c8fe01045c641b97f8fb784c7ad864eee;70f906c51ce49c485f1d355703e9cc3386b1cc2b;afd63b16170b7c047f5758eb910c416511e9c965;f3b8f570545200c87465d18386f3fc9f2258307a,4,osv_published,7.5,HIGH,osv_severity,41d4f62909bb426c84e9d057151f7d734695320a,4,1,src/flask/__init__.py,2.2.3,2023-02-15T22:33:32+00:00,pallets-flask:2.2.3
go-gitea-gitea,CVE-2022-0905,1646870400,2022-03-10T00:00:00+00:00,1314f38b59748397b3429fb9bc9f9d6bac85d2f2,1646877605,BIT-GITEA-2022-0905;CVE-2022-0905;GHSA-JR9C-H74F-2V28;GO-2022-0609,osv_range+osv_ref,reference_plus_range,1314f38b59748397b3429fb9bc9f9d6bac85d2f2;f460b7543ed500e49c133c2cd85c8c55ee9dbe27,2,osv_published,6.5,MEDIUM,osv_severity,195c9999a1fce5a0f6e796be9a831761400c3003,2,1,modules/auth/pam/pam.go,v1.15.0-rc1,2021-07-15T15:47:57+00:00,go-gitea-gitea:v1.15.0-rc1
go-gitea-gitea,CVE-2022-1058,1648131312,2022-03-24T14:15:12+00:00,e3d8e92bdc67562783de9a76b5b7842b68daeb48,1648065683,BIT-GITEA-2022-1058;CVE-2022-1058;GHSA-4RQQ-RXVC-V2RC;GO-2024-2752,osv_range+osv_ref,reference_plus_range,bab7d885aa675f33573092f9ea0f081473dc517c;e3d8e92bdc67562783de9a76b5b7842b68daeb48,2,osv_published,7.2,HIGH,osv_severity,195c9999a1fce5a0f6e796be9a831761400c3003,2,1,modules/context/context.go,v1.15.0-rc1,2021-07-15T15:47:57+00:00,go-gitea-gitea:v1.15.0-rc1
go-gitea-gitea,CVE-2022-1928,1653782400,2022-05-29T00:00:00+00:00,65e0688a5c9dacad50e71024b7529fdf0e3c2e9c,1653750614,BIT-GITEA-2022-1928;CVE-2022-1928;GHSA-PH3W-2843-72MX;GO-2022-0612,osv_range+osv_ref,reference_plus_range,65e0688a5c9dacad50e71024b7529fdf0e3c2e9c;713bc6c8dca072c3946e5ff1ab6b1c58748f1a1a,2,osv_published,4.4,MEDIUM,osv_severity,195c9999a1fce5a0f6e796be9a831761400c3003,2,2,modules/typesniffer/typesniffer.go;routers/common/repo.go,v1.15.0-rc1,2021-07-15T15:47:57+00:00,go-gitea-gitea:v1.15.0-rc1
go-gitea-gitea,GHSA-VW2C-22J4-2FH2,1655444978,2022-06-17T05:49:38+00:00,a036507204fabd1d7cff3577692bc7d8e4ef7395,1655444978,GHSA-VW2C-22J4-2FH2,explicit_id,explicit_only,a036507204fabd1d7cff3577692bc7d8e4ef7395,1,fixed_commit_epoch,,UNKNOWN,unavailable,195c9999a1fce5a0f6e796be9a831761400c3003,1,1,modules/git/git.go,v1.15.0-rc1,2021-07-15T15:47:57+00:00,go-gitea-gitea:v1.15.0-rc1
go-gitea-gitea,CVE-2023-3515,1688566353,2023-07-05T14:12:33+00:00,9aaaf980f0ba15611f30568bd67bce3ec12954e2,1686233294,BIT-GITEA-2023-3515;CVE-2023-3515;GHSA-CF6V-9J57-V6R6;GO-2023-1894,osv_range+osv_ref,reference_plus_range,9aaaf980f0ba15611f30568bd67bce3ec12954e2;d4243578ddab98d77878a9f0402f1f49f7251d76,2,osv_published,3.0,LOW,osv_severity,195c9999a1fce5a0f6e796be9a831761400c3003,2,0,,v1.15.0-rc1,2021-07-15T15:47:57+00:00,go-gitea-gitea:v1.15.0-rc1
go-gitea-gitea,CVE-2022-0905,1646870400,2022-03-10T00:00:00+00:00,1314f38b59748397b3429fb9bc9f9d6bac85d2f2,1646877605,BIT-GITEA-2022-0905;CVE-2022-0905;GHSA-JR9C-H74F-2V28;GO-2022-0609,osv_range+osv_ref,reference_plus_range,1314f38b59748397b3429fb9bc9f9d6bac85d2f2;f460b7543ed500e49c133c2cd85c8c55ee9dbe27,2,osv_published,6.5,MEDIUM,osv_severity,4563148a61ba892e8f2bb66342f00a950bcd5315,2,1,modules/auth/pam/pam.go,v1.17.0-dev,2022-01-19T21:55:17+00:00,go-gitea-gitea:v1.17.0-dev
go-gitea-gitea,CVE-2022-1928,1653782400,2022-05-29T00:00:00+00:00,65e0688a5c9dacad50e71024b7529fdf0e3c2e9c,1653750614,BIT-GITEA-2022-1928;CVE-2022-1928;GHSA-PH3W-2843-72MX;GO-2022-0612,osv_range+osv_ref,reference_plus_range,65e0688a5c9dacad50e71024b7529fdf0e3c2e9c;713bc6c8dca072c3946e5ff1ab6b1c58748f1a1a,2,osv_published,4.4,MEDIUM,osv_severity,4563148a61ba892e8f2bb66342f00a950bcd5315,2,2,modules/typesniffer/typesniffer.go;routers/common/repo.go,v1.17.0-dev,2022-01-19T21:55:17+00:00,go-gitea-gitea:v1.17.0-dev
go-gitea-gitea,GHSA-VW2C-22J4-2FH2,1655444978,2022-06-17T05:49:38+00:00,a036507204fabd1d7cff3577692bc7d8e4ef7395,1655444978,GHSA-VW2C-22J4-2FH2,explicit_id,explicit_only,a036507204fabd1d7cff3577692bc7d8e4ef7395,1,fixed_commit_epoch,,UNKNOWN,unavailable,4563148a61ba892e8f2bb66342f00a950bcd5315,1,1,modules/git/git.go,v1.17.0-dev,2022-01-19T21:55:17+00:00,go-gitea-gitea:v1.17.0-dev
go-gitea-gitea,CVE-2023-3515,1688566353,2023-07-05T14:12:33+00:00,9aaaf980f0ba15611f30568bd67bce3ec12954e2,1686233294,BIT-GITEA-2023-3515;CVE-2023-3515;GHSA-CF6V-9J57-V6R6;GO-2023-1894,osv_range+osv_ref,reference_plus_range,9aaaf980f0ba15611f30568bd67bce3ec12954e2;d4243578ddab98d77878a9f0402f1f49f7251d76,2,osv_published,3.0,LOW,osv_severity,4563148a61ba892e8f2bb66342f00a950bcd5315,2,0,,v1.17.0-dev,2022-01-19T21:55:17+00:00,go-gitea-gitea:v1.17.0-dev
go-gitea-gitea,CVE-2023-48795,1702948722,2023-12-19T01:18:42+00:00,11f0519ad852809d842e3382595579d8f3ffbc87,1702948722,CVE-2023-48795,explicit_id,explicit_only,11f0519ad852809d842e3382595579d8f3ffbc87;6d002f8e1ee89e459bf18ccf9f4c50bde9b6e552,2,fixed_commit_epoch,,UNKNOWN,unavailable,4563148a61ba892e8f2bb66342f00a950bcd5315,2,1,modules/git/repo_commitgraph_gogit.go,v1.17.0-dev,2022-01-19T21:55:17+00:00,go-gitea-gitea:v1.17.0-dev
go-gitea-gitea,CVE-2023-3515,1688566353,2023-07-05T14:12:33+00:00,9aaaf980f0ba15611f30568bd67bce3ec12954e2,1686233294,BIT-GITEA-2023-3515;CVE-2023-3515;GHSA-CF6V-9J57-V6R6;GO-2023-1894,osv_range+osv_ref,reference_plus_range,9aaaf980f0ba15611f30568bd67bce3ec12954e2;d4243578ddab98d77878a9f0402f1f49f7251d76,2,osv_published,3.0,LOW,osv_severity,eac1bddb8da2e26a3f6d6678b9888c65418cf318,2,1,modules/context/context_response.go,v1.20.0-rc0,2023-06-07T15:49:58+00:00,go-gitea-gitea:v1.20.0-rc0
go-gitea-gitea,CVE-2023-48795,1702948722,2023-12-19T01:18:42+00:00,11f0519ad852809d842e3382595579d8f3ffbc87,1702948722,CVE-2023-48795,explicit_id,explicit_only,11f0519ad852809d842e3382595579d8f3ffbc87;6d002f8e1ee89e459bf18ccf9f4c50bde9b6e552,2,fixed_commit_epoch,,UNKNOWN,unavailable,eac1bddb8da2e26a3f6d6678b9888c65418cf318,2,1,modules/git/repo_commitgraph_gogit.go,v1.20.0-rc0,2023-06-07T15:49:58+00:00,go-gitea-gitea:v1.20.0-rc0
