roc_auc,average_precision,brier_score,log_loss,pairwise_accuracy,model,held_out_repo,n_files,n_pairs
0.56,0.6037876101159436,0.2467973760223436,0.6867298296347009,0.4,baseline_size,jq,30,15
0.5422222222222223,0.5971683151044918,0.24672948726923163,0.6865945889246013,0.4,baseline_plus_composite,jq,30,15
0.6888888888888889,0.752230444810155,0.24327471902287662,0.6796335190886212,0.8,baseline_plus_components,jq,30,15
0.5104058272632674,0.49940006456005026,0.2501474629335826,0.6934436015590736,0.5161290322580645,baseline_size,libxml2,124,62
0.4177939646201873,0.4651316082074617,0.25192975392542954,0.6970149421629388,0.3064516129032258,baseline_plus_composite,libxml2,124,62
0.44745057232049945,0.44618547661211294,0.26279515410780974,0.7194657271621971,0.5483870967741935,baseline_plus_components,libxml2,124,62
0.42999999999999994,0.483229869545659,0.2530850189168854,0.6993302138446887,0.2,baseline_size,nginx,20,10
0.43,0.496052836052836,0.2550376061463464,0.7032839874500528,0.2,baseline_plus_composite,nginx,20,10
0.43,0.45662309396829526,0.2638768015700133,0.7214283177116678,0.6,baseline_plus_components,nginx,20,10
0.41176470588235287,0.46458168393717,0.25737697927887676,0.7080683071458197,0.38235294117647056,baseline_size,openssh,68,34
0.3866782006920415,0.43520873594482706,0.2596785111584311,0.7128840340879735,0.4117647058823529,baseline_plus_composite,openssh,68,34
0.4342560553633218,0.4526388233970867,0.25787882291536973,0.7092143749231345,0.47058823529411764,baseline_plus_components,openssh,68,34
0.6025,0.5997457924737659,0.24846093069721292,0.6900681750520975,0.7,baseline_size,sqlite,40,20
0.4625,0.4577455782643293,0.25017025953499183,0.6934939934834052,0.45,baseline_plus_composite,sqlite,40,20
0.5575000000000001,0.6183255519302516,0.25826389302608355,0.7101020031356031,0.55,baseline_plus_components,sqlite,40,20
0.5069252077562327,0.5341978913008858,0.25018561041963905,0.6935098369880638,0.5789473684210527,baseline_size,zlib,38,19
0.45706371191135736,0.5134546864840663,0.2518236253918924,0.6967980204572505,0.42105263157894735,baseline_plus_composite,zlib,38,19
0.5401662049861495,0.5562498324386729,0.2582140760378316,0.7118310657008259,0.6842105263157895,baseline_plus_components,zlib,38,19
