repo,security_commit,security_event_id,security_ground_truth_policy,bugfix_commit,n_pairs,mean_delta_composite,median_delta_composite,positive_share
libxml2,487ee1d8711c6415218b373ef455fcd969d12399,CVE-2025-32415,expanded_advisory_event,1e1731a43d2950b6717a5bc0d3bb6efe03595c47,1,0.0010923236819881388,0.0010923236819881388,1.0
libxml2,1b41ec4e9433b05bb0376be4725804c54ef1d80b,CVE-2022-40304,expanded_advisory_event,08a6a0848e3f440aa946fa8a6135d42339fedc61,1,0.000734278039562275,0.000734278039562275,1.0
libxml2,489f9671e71cc44a97b23111b3126ac8a1e21a59,CVE-2009-2416,expanded_advisory_event,bd6fa2c1d5c163ab94edaf2e62d18cdfee33f913,1,0.0007163751347428193,0.0007163751347428193,1.0
libxml2,f1063fdbe7fa66332bbb76874101c2a7b51b519f,CVE-2015-7500,expanded_advisory_event,2e55fbdebab606a5b326baa6661dba5acbbbed7d,1,0.0005679189748183378,0.0005679189748183378,1.0
libxml2,489f9671e71cc44a97b23111b3126ac8a1e21a59,CVE-2009-2414,expanded_advisory_event,8583b9f1cdb966315b3caae328f5d9f2c8b65292,1,0.0005609750976156569,0.0005609750976156569,1.0
libxml2,a6bf2cb76cc672c1fd1959e3793e43883893d94e,CVE-2024-56171,expanded_advisory_event,577e2516d0ed3669c7e9879ba9f04214658bfd1b,1,0.000528749365663439,0.000528749365663439,1.0
libxml2,69030714cde66d525a8884bda01b9e8f0abf8e1e,CVE-2015-5312,expanded_advisory_event,359083591e997470f34501b48c7e78b09f6090b1,1,0.0005194628481102193,0.0005194628481102193,1.0
libxml2,8598060bacada41a0eb09d95c97744ff4e428f8e,CVE-2021-3541,expanded_advisory_event,afc7e3a7f41e2e29ac36d4d7cbd0c0755558fa5d,1,0.0002313010864102849,0.0002313010864102849,1.0
libxml2,499bcb78ab389f60c2fd634ce410d4bb85c18765,CVE-2025-49795,expanded_advisory_event,359083591e997470f34501b48c7e78b09f6090b1,1,0.00021611196513132702,0.00021611196513132702,1.0
libxml2,de28e6ed3a7f18d3188dd18ac5b854b21e05d33a,CVE-2024-40896,expanded_advisory_event,8318b5a63465f5805cf3e9ebad794f4db40b5aae,1,0.00017228430687121765,0.00017228430687121765,1.0
libxml2,dd8367da17c2948981a51e52c8a6beb445edf825,CVE-2014-0191,expanded_advisory_event,0c56eb8215bea9e8e4aa934e45c677e6e132cf68,1,-6.672328854029352e-05,-6.672328854029352e-05,0.0
libxml2,be2a7edaf289c5da74a4f9ed3a0b6c733e775230,CVE-2014-3660,expanded_advisory_event,dd4c0f62fa1fd9650aae6b718dd9964a4ffa69b9,1,-0.00015900740297108973,-0.00015900740297108973,0.0
libxml2,8f30bdff69edac9075f4663ce3b56b0c52d48ce6,CVE-2016-3705,expanded_advisory_event,58d7a3b72516b1b16f5d72335112c9d661ede7d8,1,-0.0006658660718752429,-0.0006658660718752429,0.0
libxml2,c1d1f7121194036608bf555f08d3062a36fd344b,CVE-2016-4658,expanded_advisory_event,8c5e54d5bd042e7ac7ffd257f724477c332c535b,1,-0.001159109223735022,-0.001159109223735022,0.0
libxml2,899a5d9f0ed13b8e32449a08a361e0de127dd961,CVE-2017-16932,expanded_advisory_event,7c5daa376343738a4bd85474386c976d3839f114,1,-0.0012789566070060543,-0.0012789566070060543,0.0
libxml2,8d415b8911be26b12b85497f7cc57143b5321787,CVE-2025-32414,expanded_advisory_event,3ab040c203afa8de1e8ac3561f65e93da7ed5912,1,-0.0029881746700841094,-0.0029881746700841094,0.0
libxml2,a436374994c47b12d5de1b8b1d191a098fa23594,CVE-2018-14404,expanded_advisory_event,b45927095e0c857b68a96466e3075d60a6a5dd9e,1,-0.004837444491098575,-0.004837444491098575,0.0
libxml2,71e1e8af5ee46dad1b57bb96cfbf1c3ad21fbd7b,CVE-2025-49794,expanded_advisory_event,75693281389aab047b424d46df944b35ab4a3263,1,-0.007025838130102102,-0.007025838130102102,0.0
libxml2,71e1e8af5ee46dad1b57bb96cfbf1c3ad21fbd7b,CVE-2025-49796,expanded_advisory_event,873c17116598cfc8fc2eb3a6fe7b9ac43306cc53,1,-0.007743403662312076,-0.007743403662312076,0.0
libxml2,e26630548e7d138d2c560844c43820b6767251e3,CVE-2017-9049,expanded_advisory_event,a846719b9cd548d3e7e09475e3f33d8ef4101412,2,-0.00790838211432035,-0.00790838211432035,0.0
libxml2,e26630548e7d138d2c560844c43820b6767251e3,CVE-2017-16931,expanded_advisory_event,6e1e22dc5f9f53fa8585b856662825d673938965,2,-0.008309279308677642,-0.008309279308677642,0.0
libxml2,2876ac5392a4e891b81e40e592c3ac6cb46016ce,CVE-2024-34459,expanded_advisory_event,31844c74df39c3b88735ef884c33c41da9d52795,1,-0.008785488934172359,-0.008785488934172359,0.0
libxml2,213f1fe0d76d30eaed6e5853057defc43e6df2c9,CVE-2015-1819,expanded_advisory_event,b55ee729dea1122a1f2942b83f7f3b21116f873b,3,-0.012114151023380778,-0.03328924630251595,0.3333333333333333
libxml2,8fb4a770075628d6441fb17a1e435100e2f3b1a2,CVE-2015-8242,expanded_advisory_event,4c6922f763ad958c48ff66f82823ae21f2e92ee6,1,-0.01246752370883808,-0.01246752370883808,0.0
libxml2,92721970884fcc13305cb8e23cdc5f0dd7667c2c,CVE-2024-25062,expanded_advisory_event,cdfb54ff7ba3e881afbef10f90a56beaf3063034,1,-0.01462674749068793,-0.01462674749068793,0.0
libxml2,e26630548e7d138d2c560844c43820b6767251e3,CVE-2017-9050,expanded_advisory_event,f0a703dac85ad9398f208d3237ca19c483368834,2,-0.014920063433458225,-0.014920063433458225,0.0
libxml2,f0709e3ca8f8947f2d91ed34e92e38a4c23eae63,CVE-2015-8035,expanded_advisory_event,1e6b17b8348f9b8d485febaf410d2c419d254924,1,-0.06392334140901862,-0.06392334140901862,0.0
nginx,3e3ee60b99f41cdc15f3651f0a917217977157c1,CVE-2010-4180,expanded_advisory_event,f5036584840df54c066af8452fcc75b6af7ded97,1,0.015129683251448811,0.015129683251448811,1.0
nginx,0206ebe76f748bb39d9de4dd4b3fce777fdfdccf,CVE-2017-20005,expanded_advisory_event,53bea399a006054350e9068b3a23f3dea89b1c0e,1,3.0164225148510138e-05,3.0164225148510138e-05,1.0
nginx,ecfab06cb20959219c9aadc2ef59507488e4fa99,CVE-2014-3616,expanded_advisory_event,63572fce5577dd5ec68bb1204d20cdb946cd6418,5,-0.003758483299648674,0.003324407338838875,0.6
nginx,70bd187c4c386d82d6e4d180e0db84f361d1be02,CVE-2009-3555,expanded_advisory_event,10bda6e11b91fe67c4489ab5e0347355fa6091cb,2,-0.0071830690160362975,-0.0071830690160362975,0.5
nginx,c1be55f97211d38b69ac0c2027e6812ab8b1b94e,CVE-2019-20372,expanded_advisory_event,6299f5e9149483251bbbcc8ad26cf29b6109e75c,1,-0.015861114606062987,-0.015861114606062987,0.0
openssh,fcd135c9df440bcd2d5870405ad3311743d78d97,CVE-2016-6515,expanded_advisory_event,ea9af2921cb6af8e65341531db3a7351917f0a92,1,0.09404224707237052,0.09404224707237052,1.0
openssh,9286875a73b2de7736b5e50692739d314cd8d9dc,CVE-2016-6210,expanded_advisory_event,945bf52c3c815d95b1e842ebf6c910c3524bd5bb,2,0.044806152751379724,0.044806152751379724,1.0
openssh,486c4dc3b83b4b67d663fb0fa62bc24138ec3946,CVE-2023-25136,expanded_advisory_event,a393759f9693a08a7fba18d4824b74f2dda1fe3d,1,0.030967268864539876,0.030967268864539876,1.0
openssh,aad87b88fc2536b1ea023213729aaf4eaabe1894,CVE-2020-12062,expanded_advisory_event,803e22eabd3ba75485eedd8b7b44d6ace79f2052,1,0.027566279524406545,0.027566279524406545,1.0
openssh,e04fd6dde16de1cdc5a4d9946397ff60d96568db,CVE-2021-28041,expanded_advisory_event,14beca57ac92d62830c42444c26ba861812dc837,1,0.021962670835171394,0.021962670835171394,1.0
openssh,ec165c392ca54317dbe3064a8c200de6531e89ad,CVE-2016-8858,expanded_advisory_event,5ef4b0fdcc7a239577a754829b50022b91ab4712,1,0.017217633470781646,0.017217633470781646,1.0
openssh,5166b6cbf2b6103117a79f90a68068e89e02bf66,CVE-2024-7594,expanded_advisory_event,97370f6c2c3b825f8c577b7e6c00b1a98d30a6cf,9,0.009166255979789576,-0.0008613613912573093,0.4444444444444444
openssh,6010c0303a422a9c5fa8860c061bf7105eb7f8b2,CVE-2018-20685,expanded_advisory_event,6c2039286f503e2012a58a1d109e389016e7a99b,1,0.008421024370532215,0.008421024370532215,1.0
openssh,85bdcd7c92fe7ff133bbc4e10a65c91810f88755,CVE-2015-8325,expanded_advisory_event,c47e1c9c7911f38b2fc2fb01b1f6ae3a3121a838,1,0.004563609181832351,0.004563609181832351,1.0
openssh,3eec6b73a2c446225fce546d61d83cfc695fbaa0,CVE-2006-0225,expanded_advisory_event,bdaf65ae51d62c6cb676bd341cc34217c1b24920,4,0.004496341475938456,-8.081972087892186e-05,0.5
openssh,fcf429a4c69d30d8725612a55b37181594da8ddf,CVE-2020-14871,expanded_advisory_event,bcf7c05a473f92a35f4f3b561fd7a1e339e0a30f,1,0.00023761498303059847,0.00023761498303059847,1.0
openssh,7ef3787c84b6b524501211b11a26c742f829af1a,CVE-2023-51385,expanded_advisory_event,f59a94e22e46db2c23eddeb871aa9e8d93ab0016,1,3.2503934046190786e-05,3.2503934046190786e-05,1.0
openssh,195313dfe10a23c82e9d56d5fdd2f59beee1bdcf,CVE-2020-29374,expanded_advisory_event,7a7fdca78de4b4774950be056099e579ef595414,1,-9.43371802270554e-05,-9.43371802270554e-05,0.0
openssh,195313dfe10a23c82e9d56d5fdd2f59beee1bdcf,CVE-2022-42703,expanded_advisory_event,23490a6c970ea1d03581a3b4208f2eb7a675f453,1,-0.0005484429238178379,-0.0005484429238178379,0.0
openssh,881d9c6af9da4257c69c327c4e2f1508b2fa754b,CVE-2023-51384,expanded_advisory_event,58c819096a2167983e55ae686486ce317b69b2d1,1,-0.004092429541142195,-0.004092429541142195,0.0
openssh,5e75f5198769056089fb06c4d738ab0e5abc66f7,CVE-2015-6564,expanded_advisory_event,f85b118d2150847cc333895296bc230e367be6b5,1,-0.00718796161787455,-0.00718796161787455,0.0
openssh,5f5cd746f357a87637a6a91605a44e1ed9a6dab1,CVE-2008-1483,expanded_advisory_event,c3da05d95922f5550bcc7815e799474d6a160175,1,-0.007529890196872446,-0.007529890196872446,0.0
openssh,fc86875e6acb36401dfc1dfb6b628a9d1460f367,CVE-2025-32728,expanded_advisory_event,31f1ee54968ad84eb32375e4412e0318766b586b,1,-0.01572388511798889,-0.01572388511798889,0.0
