run_subdir,horizon_days,severity_band,pair_n_pairs,pair_n_events,pair_n_repos,pair_n_snapshots,pair_mean_delta,pair_median_delta,pair_positive_share,pair_wilcoxon_pvalue,pair_mean_ci_lo,pair_mean_ci_hi,pred_auc_baseline_size,pred_auc_baseline_history,pred_auc_baseline_plus_composite,pred_ap_baseline_history,pred_ap_baseline_plus_composite,pred_pairacc_baseline_history,pred_pairacc_baseline_plus_composite,repo_fe_composite_pvalue,repo_fe_lr_pvalue,pred_auc_lift_vs_history,pred_pairacc_lift_vs_history
e12_prospective_file_panel__curated15_h365_l10_t5,365,all,115,75,11,20,0.011390854585750702,0.009449304449414442,0.6086956521739131,0.0025399888052990206,0.003298757456072034,0.020270090602705553,0.5466918714555766,0.4580718336483932,0.5316446124763705,0.4751096042534646,0.5333440222947592,0.46956521739130436,0.6,0.006271872927004328,0.012399113982613306,0.0735727788279773,0.13043478260869562
e12_prospective_file_panel__curated15_h365_l10_t5__high_critical,365,high_critical,65,40,8,13,0.01237782900706726,0.003450055892800119,0.5692307692307692,0.07760772913022396,-0.001202381746671882,0.026098940165447993,0.5846153846153845,0.41988165680473377,0.4575147928994082,0.4701692713744629,0.49473614012202877,0.36923076923076925,0.5230769230769231,0.3804807505800699,0.46829253484701994,0.037633136094674446,0.15384615384615385
e12_prospective_file_panel__curated15_h730_l10_t5,730,all,264,160,12,27,0.009387597623605958,0.0025328539546772,0.5454545454545454,0.0023881947879034115,0.003098253060136245,0.01574798639327655,0.558511248852158,0.576891069788797,0.5871212121212122,0.5841110270675106,0.5928627005974552,0.6060606060606061,0.6136363636363636,0.03016277931368538,0.011667897338396994,0.010230142332415149,0.007575757575757569
e12_prospective_file_panel__curated15_h730_l10_t5__high_critical,730,high_critical,141,76,11,19,0.0134900694515571,0.006729971423118486,0.5815602836879432,0.0029930373275036024,0.0029504486436991643,0.022894716651477312,0.5935315124993713,0.5195915698405513,0.5555555555555556,0.5022899367196008,0.5477734929457121,0.5460992907801419,0.5460992907801419,0.041736108708020435,0.028122170730762452,0.035963985715004254,0.0
