repo,commit,cve_ids,n_pairs,mean_delta_composite,median_delta_composite,positive_share
redis,dcbfcb916ca1a269b3feef86ee86835294758f84,CVE-2022-36021,1,-0.007427893049641088,-0.007427893049641088,0.0
redis,c6ad876774f3cc11e32681ea02a2eead00f2c521,CVE-2021-41099,1,-0.007709449088354137,-0.007709449088354137,0.0
redis,f6a40570fa63d5afdd596c78083d754081d80ae3,CVE-2021-32627;CVE-2021-32628,11,-0.008289637040618409,-0.016050015785892824,0.2727272727272727
redis,bde62951accfc4bb0a516276fd0b4b307e140ce2,CVE-2025-48367,6,-0.01027059247630959,-0.017142036352723156,0.3333333333333333
redis,4a7a4e42db8ff757cdf3f4a824f66426036034ef,CVE-2022-33105,1,-0.010778565307226984,-0.010778565307226984,0.0
redis,50188747cbfe43528d2719399a2a3c9599169445,CVE-2025-32023,1,-0.015388890739026662,-0.015388890739026662,0.0
redis,5f83972188f6e5b1d6f1940218c650a9cbdf7741,CVE-2025-62507,1,-0.018982384980896272,-0.018982384980896272,0.0
redis,03345ddc7faf7af079485f2cbe5d17a1611cbce1,CVE-2023-45145,1,-0.020913162927085283,-0.020913162927085283,0.0
zlib,1eb7682f845ac9e9bf9ae35bbfb3bad5dacbd91d,CVE-2022-37434,1,0.05178616854854812,0.05178616854854812,1.0
zlib,eff308af425b67093bab25f80f1ae950166bece1,CVE-2022-37434,1,0.05169754528239401,0.05169754528239401,1.0
zlib,6a043145ca6e9c55184013841a67b2fef87e44c0,CVE-2016-9840,1,0.04113087994349307,0.04113087994349307,1.0
zlib,e54e1299404101a5a9d0cf5e45512b543967f958,CVE-2016-9842,1,0.020384117505908128,0.020384117505908128,1.0
zlib,5c44459c3b28a9bd3283aaceab7c615f8020c531,CVE-2018-25032,3,0.017741635371017733,0.013956437600050664,0.6666666666666666
zlib,9aaec95e82117c1cb0f9624264c3618fc380cecb,CVE-2016-9841,1,-0.04054500568024305,-0.04054500568024305,0.0
zlib,d1d577490c15a0c6862473d7576352a9f18ef811,CVE-2016-9843,1,-0.04542172100570707,-0.04542172100570707,0.0
