repo,commit,parent,cve_ids,case_file,control_file,case_size_bytes,control_size_bytes,case_loc,control_loc,loc_ratio,case_composite,control_composite,delta_composite,case_ci_gzip,control_ci_gzip,delta_ci_gzip,case_entropy,control_entropy,delta_entropy,case_cc_density,control_cc_density,delta_cc_density,case_halstead,control_halstead,delta_halstead
redis,03345ddc7faf7af079485f2cbe5d17a1611cbce1,3c734b8e9dc357f8ec743e8db25ca916cfdcf7bc,CVE-2023-45145,src/anet.c,src/script.c,22682,22001,588,440,1.3363636363636364,0.3274770978287239,0.3483902607558092,-0.020913162927085283,0.2695529494753549,0.29562292623062586,-0.02606997675527095,0.7304351418264045,0.7661036822696624,-0.03566854044325796,0.2108843537414966,0.22272727272727272,-0.011842918985776107,0.0,0.0,0.0
redis,0bf90d944313919eb8e63d3588bf63a367f020a3,f106beebfa3e6c677aeb5933c3e1784cac36d283,CVE-2022-3647,src/debug.c,src/redis-benchmark.c,83172,79724,1895,1855,1.0215633423180592,0.31150358082437396,0.31533165365452004,-0.0038280728301460787,0.2475111816476699,0.23186242536751794,0.015648756280151943,0.6582461098030281,0.6873851750907847,-0.02913906528775656,0.15725593667546175,0.20808625336927225,-0.050830316693810496,0.17193888209420827,0.09801395776391572,0.07392492433029255
redis,16f408b1a0121cacd44cbf8aee275d69dc627f02,1ec82e6e97e1db06a72ca505f9fbf6b981f31ef7,CVE-2023-22458,src/t_hash.c,src/functions.c,38628,38352,926,958,0.9665970772442589,0.3128045942867026,0.30040672104624405,0.012397873240458546,0.2419747333540437,0.24123904881101377,0.0007356845430299408,0.702822106419435,0.7245232486935879,-0.021701142274152874,0.20734341252699784,0.12839248434237996,0.07895092818461788,0.021431912080076644,0.03575520046180838,-0.014323288381731733
redis,16f408b1a0121cacd44cbf8aee275d69dc627f02,1ec82e6e97e1db06a72ca505f9fbf6b981f31ef7,CVE-2023-22458,src/t_zset.c,src/config.c,149834,145846,3503,2753,1.2724300762804213,0.31142467086564174,0.3050513598868535,0.006373310978788238,0.20814367900476527,0.21808620051286973,-0.009942521508104457,0.668160959114112,0.6413842562553186,0.02677670285879341,0.23008849557522124,0.17798764983654194,0.05210084573867929,0.13037807481771022,0.19829935746943103,-0.06792128265172082
redis,1ec82e6e97e1db06a72ca505f9fbf6b981f31ef7,395d801a2d978c3bb3139498c51825c393ae4450,CVE-2022-35977,src/sort.c,src/zmalloc.c,23703,24048,512,660,0.7757575757575758,0.35045871344161467,0.32417725822987087,0.0262814552117438,0.2960384761422605,0.2962408516300732,-0.00020237548781271153,0.7553131625951582,0.7213602271392796,0.03395293545587863,0.2421875,0.1590909090909091,0.08309659090909091,0.0,0.019967234483636354,-0.019967234483636354
redis,1ec82e6e97e1db06a72ca505f9fbf6b981f31ef7,395d801a2d978c3bb3139498c51825c393ae4450,CVE-2022-35977,src/t_string.c,src/evict.c,33989,32389,771,609,1.2660098522167487,0.35035034561581735,0.3330916451090429,0.01725870050677447,0.2605843066874577,0.3221155330513446,-0.061531226363886915,0.7035363910401212,0.7449613204553992,-0.04142492941527798,0.3398184176394293,0.14942528735632185,0.19039313028310748,0.006608919045777206,0.0,0.006608919045777206
redis,2a2a582e7cd99ba3b531336b8bd41df2b566e619,0825552565e5fdab2e87950579c4f0bedded3e3c,CVE-2023-25155,src/t_hash.c,src/functions.c,38961,38378,935,955,0.9790575916230366,0.3123882867980551,0.300429701192806,0.011958585605249095,0.24049690716357383,0.2410235030486216,-0.0005265958850477759,0.7022027137392257,0.7244578695710858,-0.022255155831860107,0.20855614973262032,0.12879581151832462,0.0797603382142957,0.020945336562894924,0.03575520046180838,-0.014809863898913454
redis,2a2a582e7cd99ba3b531336b8bd41df2b566e619,0825552565e5fdab2e87950579c4f0bedded3e3c,CVE-2023-25155,src/t_set.c,src/t_list.c,43705,42357,1007,949,1.0611169652265542,0.30998515209747113,0.30971758956543033,0.00026756253204079927,0.2382564923921748,0.23847297967278136,-0.0002164872806065532,0.7094099772272986,0.6977730777958165,0.01163689943148205,0.20456802383316783,0.20758693361433087,-0.003018909781163037,0.00714623625566233,0.01649069266756875,-0.009344456411906421
redis,2a2a582e7cd99ba3b531336b8bd41df2b566e619,0825552565e5fdab2e87950579c4f0bedded3e3c,CVE-2023-25155,src/t_zset.c,src/config.c,149122,143139,3485,2707,1.287403029183598,0.3111540134917254,0.3055045851936626,0.0056494282980628086,0.20786336020171403,0.21915061583495762,-0.011287255633243592,0.6684874112194593,0.6415281053240347,0.026959305895424612,0.22955523672883787,0.1791651274473587,0.05039010928147916,0.12946207488916261,0.1967226258835993,-0.06726055099443667
redis,45eac0262028c771b6f5307372814b75f49f7a9e,d5728cb5795c966c5b5b1e0f0ac576a7e69af539,CVE-2025-46818,src/config.c,src/t_zset.c,156865,155598,3022,3589,0.8420172750069658,0.305402562163539,0.312107201464549,-0.006704639301010007,0.2142032958276225,0.2068792658003316,0.007324030027290873,0.6368742073950173,0.6691168211791207,-0.032242613784103424,0.18563864990072798,0.2309835608804681,-0.04534491097974011,0.20579917227591765,0.13509391815464317,0.07070525412127449
