repo,event_id,published,published_epoch,fixed_commit,fixed_epoch,aliases,source
openssl,CVE-2025-15469,2026-01-27T16:16:14.523000+00:00,1769530574,310f305eb92ea8040d6b3cb75a5feeba8e6acf2f,1769456271,CVE-2025-15469,osv_range+osv_ref
openssl,CVE-2025-4575,2025-05-22T14:16:07.630000+00:00,1747923367,e96d22446e633d117e6c9904cb15b4693e956eaa,1747900994,CVE-2025-4575,osv_range+osv_ref
openssl,CVE-2025-66199,2026-01-27T16:16:15.777000+00:00,1769530575,6184a4fb08ee6d7bca570d931a4e8bef40b64451,1769456734,CVE-2025-66199,osv_range+osv_ref
openssl,CVE-2025-68160,2026-01-27T16:16:15.900000+00:00,1769530575,e818b74be2170fbe957a07b0da4401c2b694b3b8,1576847361,CVE-2025-68160,osv_range+osv_ref
openssl,CVE-2025-69418,2026-01-27T16:16:33.253000+00:00,1769530593,e04bd3433fd84e1861bf258ea37928d9845e6a86,1694441291,CVE-2025-69418,osv_range+osv_ref
openssl,CVE-2025-69419,2026-01-27T16:16:34.113000+00:00,1769530594,e04bd3433fd84e1861bf258ea37928d9845e6a86,1694441291,CVE-2025-69419,osv_range+osv_ref
openssl,CVE-2025-69420,2026-01-27T16:16:34.317000+00:00,1769530594,e04bd3433fd84e1861bf258ea37928d9845e6a86,1694441291,CVE-2025-69420,osv_range+osv_ref
openssl,CVE-2025-69421,2026-01-27T16:16:34.437000+00:00,1769530594,e818b74be2170fbe957a07b0da4401c2b694b3b8,1576847361,CVE-2025-69421,osv_range+osv_ref
openssl,CVE-2025-9230,2025-09-30T14:15:41.050000+00:00,1759241741,bae259a211ada6315dc50900686daaaaaa55f482,1759139926,CVE-2025-9230,osv_range+osv_ref
openssl,CVE-2025-9231,2025-09-30T14:15:41.190000+00:00,1759241741,fc47a2ec078912b3e914fab5734535e76c4820c2,1759140134,CVE-2025-9231,osv_range+osv_ref
openssl,CVE-2025-9232,2025-09-30T14:15:41.313000+00:00,1759241741,2b4ec20e47959170422922eaff25346d362dcb35,1759140259,CVE-2025-9232,osv_range+osv_ref
openssl,CVE-2026-22795,2026-01-27T16:16:35.430000+00:00,1769530595,e04bd3433fd84e1861bf258ea37928d9845e6a86,1694441291,CVE-2026-22795,osv_range+osv_ref
openssl,CVE-2026-22796,2026-01-27T16:16:35.543000+00:00,1769530595,e818b74be2170fbe957a07b0da4401c2b694b3b8,1576847361,CVE-2026-22796,osv_range+osv_ref
openssl,CVE-2026-2673,2026-03-13T19:54:34.033000+00:00,1773431674,2157c9d81f7b0bd7dfa25b960e928ec28e8dd63f,1773405767,CVE-2026-2673,osv_range+osv_ref
libxml2,CVE-2022-23308,2022-02-26T05:15:08.280000+00:00,1645852508,652dd12a858989b14eed4e84e453059cd3ba340e,1645295202,CVE-2022-23308,osv_range+osv_ref
redis,CVE-2019-10192,2019-07-11T19:15:12.627000+00:00,1562872512,f72f4ea311d31f7ce209218a96afb97490971d39,1552926089,CVE-2019-10192,osv_range
redis,CVE-2019-10193,2019-07-11T19:15:12.720000+00:00,1562872512,f72f4ea311d31f7ce209218a96afb97490971d39,1552926089,CVE-2019-10193,osv_range
redis,CVE-2021-21309,2021-02-26T22:15:19.457000+00:00,1614377719,562787e4c9953a8780c925238c409adc9316d3dc,1614028973,CVE-2021-21309,osv_range+osv_ref
redis,CVE-2021-29477,2021-05-04T16:15:07.910000+00:00,1620144907,68e93c22c3b5844cedb5b586c1ffb5c4c1ae364b,1620071809,CVE-2021-29477,osv_range
redis,CVE-2021-29478,2021-05-04T16:15:07.953000+00:00,1620144907,e90e5640e7840860bc6726a08135ea86687bbd58,1620071820,CVE-2021-29478,osv_range
redis,CVE-2021-31294,2023-07-15T23:15:09.203000+00:00,1689462909,46f4ebbe842620f0976a36741a72482620aa4b48,1619500510,BIT-KEYDB-2021-31294;BIT-REDIS-2021-31294;BIT-VALKEY-2021-31294;CVE-2021-31294,osv_range+osv_ref
redis,CVE-2021-32625,2021-06-02T20:15:07.187000+00:00,1622664907,f9470c9a1765e407f5e50348e05d76d4b3a7aa2f,1622556216,CVE-2021-32625,osv_range
redis,CVE-2021-32626,2021-10-04T18:15:08.140000+00:00,1633371308,704ba5f5b22ae1ecafbcfb7a3258311c27ff94ff,1633345123,BIT-KEYDB-2021-32626;BIT-REDIS-2021-32626;BIT-VALKEY-2021-32626;CVE-2021-32626,osv_range+osv_ref
redis,CVE-2021-32627,2021-10-04T18:15:08.353000+00:00,1633371308,704ba5f5b22ae1ecafbcfb7a3258311c27ff94ff,1633345123,BIT-KEYDB-2021-32627;BIT-REDIS-2021-32627;BIT-VALKEY-2021-32627;CVE-2021-32627,osv_range+osv_ref
redis,CVE-2021-32628,2021-10-04T18:15:08.577000+00:00,1633371308,704ba5f5b22ae1ecafbcfb7a3258311c27ff94ff,1633345123,BIT-KEYDB-2021-32628;BIT-REDIS-2021-32628;BIT-VALKEY-2021-32628;CVE-2021-32628,osv_range+osv_ref
redis,CVE-2021-32672,2021-10-04T18:15:08.780000+00:00,1633371308,704ba5f5b22ae1ecafbcfb7a3258311c27ff94ff,1633345123,BIT-KEYDB-2021-32672;BIT-REDIS-2021-32672;BIT-VALKEY-2021-32672;CVE-2021-32672,osv_range+osv_ref
