name,commit,date,num_files,total_bytes,loc,ci_gzip
redis,6856c7b4d64f,2011-10-17T17:35:23+02:00,76,1095680,23629,0.2110534097546729
redis,0e1be5347bc3,2013-02-13T18:33:33+01:00,83,1617920,33878,0.2114029123813291
redis,a9360c62e8b9,2014-02-25T08:33:41+01:00,87,1894400,39324,0.21803842905405404
redis,9a6354316b9c,2014-12-17T17:15:39+01:00,92,2201600,45672,0.22178006904069766
redis,231c9db1b512,2016-05-31T16:43:23+02:00,103,2744320,57147,0.2258399166277985
redis,1bc31666daa7,2018-03-15T12:54:10+01:00,126,3358720,68533,0.22640053353658537
redis,7721fe83e92d,2018-11-08T12:12:28+01:00,132,3778560,77233,0.2257857490684282
redis,ed2ba31e4c5d,2019-10-23T18:39:14+02:00,145,4331520,87438,0.22965102319739952
redis,9d38a270dbc8,2020-05-28T10:22:22+02:00,151,4567040,92327,0.22997849810818385
redis,25d827d949b2,2021-05-18T17:19:30+03:00,158,5099520,103151,0.23078583866716867
redis,df558618389a,2022-06-01T14:09:40+03:00,169,6287360,124731,0.22408498956636808
redis,3b3d16f74880,2024-03-13T08:30:20+02:00,182,6461440,128291,0.22960671305467512
