name,commit,date,num_files,total_bytes,loc,ci_gzip
curl,2c2b26145ff8,2021-07-18T19:42:47+02:00,415,6021120,136144,0.1962438881802721
curl,f5d79619b109,2022-03-12T22:59:45+01:00,408,5980160,136502,0.19801761156892123
curl,1d2e6f9284bb,2022-10-13T17:35:14+02:00,416,6164480,141340,0.1979292657288206
curl,aafb79de2a5a,2023-04-10T12:19:11-07:00,436,6533120,151608,0.19728154388714733
curl,1e8c7fac42f7,2023-09-29T18:25:59+00:00,438,6522880,151611,0.19717609399529043
curl,1ef4798756a7,2024-04-05T16:18:31+02:00,451,6768640,158323,0.1971274879444024
curl,aa3a31ce269d,2024-08-10T10:02:48+02:00,456,6983680,164327,0.19773672333211142
curl,96ffb570407f,2024-12-09T09:32:19+01:00,456,7014400,165635,0.19865861656021896
curl,38b94c80f354,2025-03-25T08:20:39+01:00,463,7096320,167498,0.19751025883838383
curl,63a8167f3ecc,2025-07-25T03:10:01+02:00,471,7147520,168432,0.1958798296472063
curl,66e3ff5d0e3a,2025-10-19T02:23:36-04:00,477,7137280,168122,0.19552336464311335
curl,74c4bdc24435,2026-01-02T10:45:12+01:00,473,7106560,166755,0.19474133758105186
