name,commit,date,num_files,total_bytes,loc,ci_gzip
libsodium,24014415a147,2013-04-27T17:23:44-07:00,223,921600,14197,0.13436957465277777
libsodium,6ede7869ec11,2014-04-15T20:31:32-07:00,266,1126400,17691,0.13165216619318182
libsodium,7cf7f0a31cb3,2014-09-16T10:43:38-07:00,268,1075200,16076,0.12594401041666667
libsodium,39bc0980ef19,2015-08-02T08:18:08+02:00,268,1105920,16790,0.1251736111111111
libsodium,76daa0196394,2015-12-11T06:42:59+01:00,249,1146880,19235,0.12933262416294644
libsodium,cc7b57b4a63e,2016-06-04T07:09:36+02:00,222,1208320,21596,0.13670219809322035
libsodium,935557cdf7de,2017-06-27T14:26:40+02:00,227,1443840,26985,0.12793730607269505
libsodium,3d374fe8a903,2017-10-21T19:59:16+02:00,225,1443840,27689,0.12927332668439717
libsodium,d4eec69ef1d5,2019-01-05T21:17:48+01:00,236,1607680,30632,0.14156548566878982
libsodium,214076fc09bd,2020-05-25T23:54:43+02:00,248,1720320,32979,0.13889973958333332
libsodium,0ea62015f2c3,2023-08-31T23:23:30+02:00,265,1802240,34647,0.13787675337357955
