name,commit,date,num_files,total_bytes,loc,ci_gzip
jq,2dad2bdd974e,2012-11-26T22:24:04+00:00,33,450560,12275,0.2148259943181818
jq,dcf1ac0d1f7d,2013-05-29T03:38:15-07:00,33,327680,9101,0.2013031005859375
jq,a45c937f80dd,2014-02-05T15:23:32-06:00,28,327680,9647,0.2126495361328125
jq,a2f99d43c35e,2014-08-01T00:20:30-05:00,33,389120,10893,0.20965768914473684
jq,ccfba00178ff,2015-03-09T11:27:58-05:00,37,655360,17545,0.214666748046875
jq,b119853aef1b,2015-08-13T09:08:37-07:00,38,706560,18859,0.21310433650362318
jq,9b2179089b6f,2017-02-15T11:48:39-06:00,38,706560,19007,0.2114555027173913
jq,d3abe3a46839,2019-02-26T11:05:25-06:00,38,727040,19819,0.21483962367957746
jq,03db5509cb46,2023-06-28T22:59:41+09:00,72,1873920,34035,0.20211054900956285
jq,fd0d475694bd,2023-08-02T22:33:09+09:00,72,1884160,34307,0.2023193359375
jq,5208a4425f24,2024-05-30T08:21:10+09:00,72,1904640,35047,0.203759765625
