name,commit,date,num_files,total_bytes,loc,ci_gzip
zlib,bcf78a20978d,2011-09-09T22:36:31-07:00,25,245760,4688,0.23282470703125
zlib,26a99cd8957d,2011-10-02T13:34:29-07:00,64,1095680,22277,0.2139402015186916
zlib,1a4ba8cd9124,2012-02-10T23:55:12-08:00,62,1064960,21682,0.21572359525240384
zlib,fb4e0599a5dd,2012-07-08T17:01:13-07:00,62,1075200,21828,0.21462890625
zlib,44ae761dc204,2015-09-05T18:56:55-07:00,62,1085440,22047,0.21453235554245284
zlib,a3622937453f,2017-02-15T22:39:26-08:00,62,1105920,22488,0.21486273871527778
zlib,138c93cffb76,2022-10-06T20:43:18-07:00,60,1638400,31028,0.2714813232421875
zlib,d7de5971f45f,2023-08-19T10:54:50-07:00,60,1628160,30204,0.2719566873034591
zlib,9f418e1028d9,2024-03-15T17:49:20-07:00,61,1648640,30632,0.2736752717391304
zlib,27198174ca18,2025-01-31T19:59:10-08:00,61,1638400,30243,0.2731903076171875
zlib,bac2e2d457f1,2025-12-06T17:39:45-08:00,62,1658880,30753,0.27300226658950616
zlib,405a41990f86,2026-01-28T15:34:29-08:00,65,1679360,30721,0.2711300733612805
