repo,event_id,published_epoch,published,fixed_commit,fixed_epoch,aliases,source,event_date_source,severity_score,severity_label,severity_source,snapshot_commit,changed_source_files_count,changed_source_files,snapshot_tag,snapshot_date,snapshot_key
curl,CVE-2018-1000300,1526457600,2018-05-16T08:00:00+00:00,583b42cb3b809b1bf597af160468ccba728c2248,1526276431,CURL-CVE-2018-1000300;CVE-2018-1000300,explicit_id+osv_range,osv_published,9.8,CRITICAL,osv_severity,54b636f14546d3fde9f9c67c3b32701d78563161,1,lib/pingpong.c,curl-7_54_1,2017-06-14T06:08:56+00:00,curl:curl-7_54_1
curl,CVE-2019-5481,1568188800,2019-09-11T08:00:00+00:00,9069838b30fb3b48af0123e39f664cea683254a5,1568009674,CURL-CVE-2019-5481;CVE-2019-5481,explicit_id+osv_range,osv_published,9.8,CRITICAL,osv_severity,72c2cac8f0ac3a89c21d00b6c6e36fe6c6a8e62b,1,lib/security.c,curl-7_65_2,2019-07-17T07:26:17+00:00,curl:curl-7_65_2
curl,CVE-2019-5482,1568188800,2019-09-11T08:00:00+00:00,facb0e4662415b5f28163e853dc6742ac5fafb3d,1568009674,CURL-CVE-2019-5482;CVE-2019-5482,explicit_id+osv_range,osv_published,9.8,CRITICAL,osv_severity,72c2cac8f0ac3a89c21d00b6c6e36fe6c6a8e62b,1,lib/tftp.c,curl-7_65_2,2019-07-17T07:26:17+00:00,curl:curl-7_65_2
curl,CVE-2019-15601,1578301537,2020-01-06T09:05:37+00:00,1b71bc532bde8621fd3260843f8197182a467ff2,1578301537,CVE-2019-15601,explicit_id,fixed_commit_epoch,,UNKNOWN,unavailable,72c2cac8f0ac3a89c21d00b6c6e36fe6c6a8e62b,1,lib/file.c,curl-7_65_2,2019-07-17T07:26:17+00:00,curl:curl-7_65_2
curl,CVE-2020-8169,1592985600,2020-06-24T08:00:00+00:00,600a8cded447cd7118ed50142c576567c0cf5158,1589471987,CURL-CVE-2020-8169;CVE-2020-8169,osv_range,osv_published,7.5,HIGH,osv_severity,72c2cac8f0ac3a89c21d00b6c6e36fe6c6a8e62b,1,lib/url.c,curl-7_65_2,2019-07-17T07:26:17+00:00,curl:curl-7_65_2
curl,CVE-2020-8177,1592985600,2020-06-24T08:00:00+00:00,8236aba58542c5f89f1d41ca09d84579efb05e22,1592779798,CURL-CVE-2020-8177;CVE-2020-8177,explicit_id+osv_range,osv_published,7.8,HIGH,osv_severity,72c2cac8f0ac3a89c21d00b6c6e36fe6c6a8e62b,2,src/tool_cb_hdr.c;src/tool_getparam.c,curl-7_65_2,2019-07-17T07:26:17+00:00,curl:curl-7_65_2
curl,CVE-2022-22576,1651046400,2022-04-27T08:00:00+00:00,852aa5ad351ea53e5f01d2f44b5b4370c2bf5425,1650879845,CURL-CVE-2022-22576;CVE-2022-22576,explicit_id+osv_range,osv_published,8.1,HIGH,osv_severity,8e82f2a04a238c54ba91e553e9a8452e6d405965,5,lib/strcase.c;lib/strcase.h;lib/url.c;lib/urldata.h;lib/vtls/vtls.c,curl-7_79_0,2021-09-14T07:02:52+00:00,curl:curl-7_79_0
curl,CVE-2022-27774,1651046400,2022-04-27T08:00:00+00:00,620ea21410030a9977396b4661806bc187231b79,1650896673,CURL-CVE-2022-27774;CVE-2022-27774,explicit_id+osv_range,osv_published,5.7,MEDIUM,osv_severity,8e82f2a04a238c54ba91e553e9a8452e6d405965,1,lib/transfer.c,curl-7_79_0,2021-09-14T07:02:52+00:00,curl:curl-7_79_0
curl,CVE-2022-27775,1651046400,2022-04-27T08:00:00+00:00,058f98dc3fe595f21dc26a5b9b1699e519ba5705,1650880080,CURL-CVE-2022-27775;CVE-2022-27775,explicit_id+osv_range,osv_published,7.5,HIGH,osv_severity,8e82f2a04a238c54ba91e553e9a8452e6d405965,1,lib/conncache.c,curl-7_79_0,2021-09-14T07:02:52+00:00,curl:curl-7_79_0
curl,CVE-2022-27776,1651046400,2022-04-27T08:00:00+00:00,6e659993952aa5f90f48864be84a1bbb047fc258,1650884740,CURL-CVE-2022-27776;CVE-2022-27776,explicit_id+osv_range,osv_published,6.5,MEDIUM,osv_severity,8e82f2a04a238c54ba91e553e9a8452e6d405965,2,lib/http.c;lib/urldata.h,curl-7_79_0,2021-09-14T07:02:52+00:00,curl:curl-7_79_0
