pair_id,repo,snapshot_tag,snapshot_commit,snapshot_date,snapshot_key,event_id,event_observation_id,ground_truth_policy,ground_truth_source,ground_truth_aliases,event_published,event_date_source,severity_band,severity_score,severity_label,severity_source,fixed_commit,case_file,control_file,case_file_path,case_suffix,case_size_bytes,case_loc,case_ci_gzip,case_shannon_entropy,case_cyclomatic_density,case_halstead_volume,case_composite_score,case_directory_depth,case_prior_touches_total,case_prior_touches_365d,case_total_churn,case_churn_365d,case_author_count_total,case_author_count_365d,case_file_age_days,case_latest_touch_days,control_file_path,control_suffix,control_size_bytes,control_loc,control_ci_gzip,control_shannon_entropy,control_cyclomatic_density,control_halstead_volume,control_composite_score,control_directory_depth,control_prior_touches_total,control_prior_touches_365d,control_total_churn,control_churn_365d,control_author_count_total,control_author_count_365d,control_file_age_days,control_latest_touch_days,delta_composite,delta_ci_gzip,delta_entropy,delta_cc_density,delta_halstead,delta_log_prior_touches_365d,delta_log_churn_365d
10,curl,curl-7_54_1,54b636f14546d3fde9f9c67c3b32701d78563161,2017-06-14T06:08:56+00:00,curl:curl-7_54_1,CVE-2017-1000254,curl:curl-7_54_1:CVE-2017-1000254,expanded_advisory_plus_explicit,explicit_id+osv_range,CURL-CVE-2017-1000254;CVE-2017-1000254,2017-10-04T08:00:00+00:00,osv_published,all,7.5,HIGH,osv_severity,5ff2c5ff25750aba1a8f64fbcad8e5b891512584,lib/ftp.c,lib/ssh.c,lib/ftp.c,.c,136695.0,3535.0,0.2597754124144994,0.6614420619351947,0.1586987270155587,0.1310612781659529,0.30889461574483373,1,749,30,25819,526,34,10,6376.658680555555,34.87927083333334,lib/ssh.c,.c,110668.0,2838.0,0.2056692088047132,0.6723263992005173,0.15821000704721636,0.14635243732711806,0.2964045356240317,1,307,25,17665,509,28,6,3876.341851851852,19.796145833333334,0.01249008012080205,0.05410620360978621,-0.010884337265322563,0.0004887199683423493,-0.015291159161165163,0.17589066646366414,0.032789822822991255
11,curl,curl-7_54_1,54b636f14546d3fde9f9c67c3b32701d78563161,2017-06-14T06:08:56+00:00,curl:curl-7_54_1,CVE-2017-1000257,curl:curl-7_54_1:CVE-2017-1000257,expanded_advisory_plus_explicit,explicit_id+osv_range,CURL-CVE-2017-1000257;CVE-2017-1000257,2017-10-12T08:00:00+00:00,osv_published,all,9.1,CRITICAL,osv_severity,13c9a9ded3ae744a1e11cbc14e9146d9fa427040,lib/imap.c,lib/transfer.c,lib/imap.c,.c,60637.0,1570.0,0.2257532529643617,0.6340041898995966,0.24394904458598726,0.05468944598876373,0.30278229178563176,1,297,9,8442,76,20,3,2740.3436921296297,79.34204861111111,lib/transfer.c,.c,64157.0,1508.0,0.2937793225992487,0.7090546526873882,0.21021220159151194,0.08008998999203047,0.33999954666958637,1,655,24,22499,318,37,7,6376.658680555555,14.853634259259259,-0.03721725488395461,-0.06802606963488703,-0.0750504627877916,0.033736842994475325,-0.025400544003266745,-0.9162907318741547,-1.4213856809311602
12,curl,curl-7_54_1,54b636f14546d3fde9f9c67c3b32701d78563161,2017-06-14T06:08:56+00:00,curl:curl-7_54_1,CVE-2017-8817,curl:curl-7_54_1:CVE-2017-8817,expanded_advisory_plus_explicit,explicit_id+osv_range,CURL-CVE-2017-8817;CVE-2017-8817,2017-11-29T08:00:00+00:00,osv_published,all,9.8,CRITICAL,osv_severity,0b664ba968437715819bfe4c7ada5679d16ebbc3,lib/curl_fnmatch.c,CMake/CurlTests.c,lib/curl_fnmatch.c,.c,11468.0,400.0,0.23491454482036972,0.7170913029043156,0.255,0.0,0.32313705662946224,1,19,1,490,8,7,1,2589.3688078703703,92.33137731481482,CMake/CurlTests.c,.c,11496.0,487.0,0.23877870563674322,0.7281229697516833,0.13552361396303902,0.0,0.2979213304566324,1,8,1,1051,16,6,1,2994.704201388889,132.99796296296296,0.025215726172829855,-0.003864160816373502,-0.011031666847367783,0.11947638603696098,0.0,0.0,-0.6359887667199966
13,curl,curl-7_54_1,54b636f14546d3fde9f9c67c3b32701d78563161,2017-06-14T06:08:56+00:00,curl:curl-7_54_1,CVE-2017-8816,curl:curl-7_54_1:CVE-2017-8816,expanded_advisory_plus_explicit,explicit_id+osv_range,CURL-CVE-2017-8816;CVE-2017-8816,2017-11-29T08:00:00+00:00,osv_published,all,9.8,CRITICAL,osv_severity,7f2a1df6f5fc598750b2c6f34465c8d924db28cc,lib/curl_ntlm_core.c,lib/socks_sspi.c,lib/curl_ntlm_core.c,.c,23172.0,594.0,0.26117728292767134,0.7143118616763287,0.07744107744107744,0.025266543245024843,0.291000470135718,1,56,10,1346,67,14,6,2117.2845833333336,9.32045138888889,lib/socks_sspi.c,.c,22794.0,517.0,0.1951829428797052,0.7118813519011232,0.13926499032882012,0.0,0.27943716611962205,1,47,4,1677,17,9,3,3058.3576157407406,201.29900462962962,0.011563304016095954,0.06599434004796614,0.002430509775205425,-0.06182391288774268,0.025266543245024843,0.7884573603642704,1.3291359472799424
14,curl,curl-7_54_1,54b636f14546d3fde9f9c67c3b32701d78563161,2017-06-14T06:08:56+00:00,curl:curl-7_54_1,CVE-2017-8818,curl:curl-7_54_1:CVE-2017-8818,expanded_advisory_plus_explicit,explicit_id+osv_range,CURL-CVE-2017-8818;CVE-2017-8818,2017-11-29T08:00:00+00:00,osv_published,all,9.8,CRITICAL,osv_severity,9b5e12a5491d2e6b68e0c88ca56f3a9ef9fba400,lib/url.c,lib/multi.c,lib/url.c,.c,221767.0,5603.0,0.2400266946840603,0.6303793919293387,0.1799036230590755,0.2478769619475763,0.31672061764194614,1,1327,82,35926,2320,86,20,6376.658680555555,0.9406944444444445,lib/multi.c,.c,99513.0,2343.0,0.2556650889833489,0.6997148882278482,0.18779342723004694,0.12312211807111861,0.3241011202829319,1,466,29,13131,997,46,9,5676.791412037037,5.887604166666667,-0.0073805026409857755,-0.015638394299288594,-0.06933549629850955,-0.007889804170971432,0.12475484387645769,1.0176432261344428,0.8440001299629731
15,curl,curl-7_54_1,54b636f14546d3fde9f9c67c3b32701d78563161,2017-06-14T06:08:56+00:00,curl:curl-7_54_1,CVE-2017-8818,curl:curl-7_54_1:CVE-2017-8818,expanded_advisory_plus_explicit,explicit_id+osv_range,CURL-CVE-2017-8818;CVE-2017-8818,2017-11-29T08:00:00+00:00,osv_published,all,9.8,CRITICAL,osv_severity,9b5e12a5491d2e6b68e0c88ca56f3a9ef9fba400,lib/urldata.h,lib/config-vxworks.h,lib/urldata.h,.h,76614.0,1536.0,0.30955177904821574,0.6955046748394255,0.020833333333333332,0.21433832139898196,0.31382985872320346,1,698,44,7168,318,76,18,6376.658680555555,34.800925925925924,lib/config-vxworks.h,.h,26392.0,194.0,0.20199302819036072,0.5869851299827527,0.005154639175257732,0.0,0.21667695502063322,1,48,0,2062,0,8,0,4085.3459375,497.28465277777775,0.09715290370257024,0.10755875085785502,0.10851954485667281,0.0156786941580756,0.21433832139898196,3.8066624897703196,5.765191102784844
16,curl,curl-7_54_1,54b636f14546d3fde9f9c67c3b32701d78563161,2017-06-14T06:08:56+00:00,curl:curl-7_54_1,CVE-2018-1000007,curl:curl-7_54_1:CVE-2018-1000007,expanded_advisory_plus_explicit,osv_range,CURL-CVE-2018-1000007;CVE-2018-1000007,2018-01-24T08:00:00+00:00,osv_published,all,9.8,CRITICAL,osv_severity,af32cd3859336ab963591ca0df9b1e33a7ee066b,lib/http.c,src/tool_operate.c,lib/http.c,.c,122831.0,2992.0,0.2602193257402447,0.6808136467121415,0.2282754010695187,0.1310612781659529,0.33158747155938595,1,691,34,17412,735,50,11,6376.658680555555,14.853634259259259,src/tool_operate.c,.c,72086.0,1605.0,0.2578170518547291,0.6759042427202652,0.12149532710280374,0.06688849842662474,0.2946909939822391,1,212,29,4446,429,31,11,2079.3367824074076,38.372083333333336,0.03689647757714687,0.0024022738855156156,0.004909403991876338,0.10678007396671498,0.06417277973932815,0.15415067982725805,0.5374449100412688
17,curl,curl-7_54_1,54b636f14546d3fde9f9c67c3b32701d78563161,2017-06-14T06:08:56+00:00,curl:curl-7_54_1,CVE-2018-1000005,curl:curl-7_54_1:CVE-2018-1000005,expanded_advisory_plus_explicit,osv_range,CURL-CVE-2018-1000005;CVE-2018-1000005,2018-01-24T08:00:00+00:00,osv_published,all,9.1,CRITICAL,osv_severity,fa3dbb9a147488a2943bda809c66fc497efe06cb,lib/http2.c,src/tool_getparam.c,lib/http2.c,.c,69395.0,1799.0,0.23376323942647165,0.694603929975852,0.1473040578098944,0.07747870596011737,0.2999029193714242,1,227,36,5440,610,16,7,6000.337881944444,8.738634259259259,src/tool_getparam.c,.c,68824.0,1832.0,0.2307334650703243,0.6681795688403461,0.2554585152838428,0.08978454560055109,0.32054515784807597,1,138,24,3712,787,35,12,2079.3367824074076,35.53365740740741,-0.020642238476651753,0.0030297743561473467,0.026424361135505836,-0.10815445747394839,-0.012305839640433719,0.3920420877760238,-0.25440113068628367
18,curl,curl-7_54_1,54b636f14546d3fde9f9c67c3b32701d78563161,2017-06-14T06:08:56+00:00,curl:curl-7_54_1,CVE-2018-1000300,curl:curl-7_54_1:CVE-2018-1000300,expanded_advisory_plus_explicit,explicit_id+osv_range,CURL-CVE-2018-1000300;CVE-2018-1000300,2018-05-16T08:00:00+00:00,osv_published,all,9.8,CRITICAL,osv_severity,583b42cb3b809b1bf597af160468ccba728c2248,lib/pingpong.c,lib/security.c,lib/pingpong.c,.c,15417.0,405.0,0.3169228773431926,0.7370635908795671,0.1382716049382716,0.0,0.3271687538743533,1,51,6,1017,46,13,4,2740.3436921296297,43.38434027777778,lib/security.c,.c,15833.0,481.0,0.33480704856944354,0.760264926124435,0.16424116424116425,0.0,0.3453615591184846,1,108,9,3048,32,10,1,6109.890763888889,171.3147337962963,-0.018192805244131305,-0.017884171226250967,-0.023201335244867893,-0.02596955930289266,0.0,-0.35667494393873267,0.3536400402435782
19,curl,curl-7_65_2,72c2cac8f0ac3a89c21d00b6c6e36fe6c6a8e62b,2019-07-17T07:26:17+00:00,curl:curl-7_65_2,CVE-2019-5481,curl:curl-7_65_2:CVE-2019-5481,expanded_advisory_plus_explicit,explicit_id+osv_range,CURL-CVE-2019-5481;CVE-2019-5481,2019-09-11T08:00:00+00:00,osv_published,all,9.8,CRITICAL,osv_severity,9069838b30fb3b48af0123e39f664cea683254a5,lib/security.c,lib/pingpong.c,lib/security.c,.c,15473.0,481.0,0.33238544561494215,0.7587472193597368,0.16424116424116425,0.0,0.3442469558713578,1,120,8,3089,31,15,4,6872.9444791666665,8.83798611111111,lib/pingpong.c,.c,15676.0,411.0,0.31481245215616227,0.7377903266559318,0.1435523114355231,0.0,0.32794495611212965,1,60,1,1096,9,14,1,3503.3974074074076,211.82866898148148,0.016301999759228136,0.017572993458779884,0.020956892703804963,0.020688852805641145,0.0,1.5040773967762742,1.1631508098056806
