repo,snapshot_tag,snapshot_key,event_observation_id,label,file_path,opacity_stratum,composite_score,loc,log_loc,directory_depth,suffix,advisory_ids,source_families,mapping_bases,baseline_history,baseline_history_plus_structure,baseline_plus_composite,baseline_size,score_mean,score_std,score_range,history_vs_composite_gap,structure_vs_composite_gap
django-django,1.9.6,django-django:1.9.6,django-django:1.9.6:CVE-2016-6186:django/views/debug.py,1,django/views/debug.py,Q2,0.3107353941973648,1143.0,7.042286171939743,2.0,.py,CVE-2016-6186,explicit_plus_reference_plus_range,explicit_id+osv_range+osv_ref,0.07561010313037864,0.07069314704706835,0.07892526121667502,0.0519495462364901,0.06929451440765302,0.010433624000470775,0.026975714980184924,0.0033151580862963853,0.008232114169606675
django-django,1.9.6,django-django:1.9.6,django-django:1.9.6:CVE-2016-9014:django/http/request.py,1,django/http/request.py,Q3,0.3281543662241265,469.0,6.152732694704104,2.0,.py,CVE-2016-9014,explicit_only,explicit_id,0.036872681555723465,0.03719277790655972,0.03959066098673745,0.026872645301066245,0.03513219143752172,0.004882964661695312,0.012718015685671203,0.0027179794310139838,0.002397883080177729
django-django,1.9.6,django-django:1.9.6,django-django:1.9.6:NEG:django/__init__.py,0,django/__init__.py,Q9,0.4554736811671241,13.0,2.6390573296152584,1.0,.py,,,,0.013101786360694177,0.009028551332565022,0.01671198426091275,0.0017979553378959332,0.01016006932301697,0.005540455119980114,0.014914028923016815,0.0036101979002185723,0.007683432928347727
django-django,1.9.6,django-django:1.9.6,django-django:1.9.6:NEG:django/__main__.py,0,django/__main__.py,Q10,0.6224721935443189,7.0,2.0794415416798357,1.0,.py,,,,0.0019254488708364817,0.0011128555941714814,0.0034228910429721956,0.0009732040237897342,0.0018585998829424733,0.0009735933432610555,0.0024496870191824615,0.001497442172135714,0.0023100354488007143
django-django,1.9.6,django-django:1.9.6,django-django:1.9.6:NEG:django/apps/config.py,0,django/apps/config.py,Q6,0.3582159592392422,173.0,5.159055299214529,2.0,.py,,,,0.009690745521377024,0.009328209331843364,0.011158494608173631,0.012912013909087243,0.010772365842620316,0.0014126818306743109,0.003583804577243879,0.0014677490867966072,0.001830285276330267
django-django,1.9.6,django-django:1.9.6,django-django:1.9.6:NEG:django/apps/registry.py,0,django/apps/registry.py,Q4,0.3345946080730152,336.0,5.820082930352362,2.0,.py,,,,0.032635360129667446,0.03509516260900106,0.035730908742804324,0.022073049967669265,0.03138362036228552,0.005498364202899305,0.013657858775135059,0.003095548613136878,0.0006357461338032666
django-django,1.9.6,django-django:1.9.6,django-django:1.9.6:NEG:django/conf/__init__.py,0,django/conf/__init__.py,Q5,0.35064705630371207,164.0,5.10594547390058,2.0,.py,,,,0.02038447971885573,0.021042310652843774,0.022322423159283476,0.012200419220234505,0.018987408187804374,0.003979949029497867,0.010122003939048971,0.0019379434404277474,0.0012801125064397026
django-django,1.9.6,django-django:1.9.6,django-django:1.9.6:NEG:django/conf/global_settings.py,0,django/conf/global_settings.py,Q4,0.3344446263658787,536.0,6.285998094508865,2.0,.py,,,,0.047519537034395404,0.038430556624250996,0.05207762883013634,0.029580263745067788,0.04190199655846263,0.008645464820768762,0.022497365085068555,0.004558091795740939,0.013647072205885347
django-django,1.9.6,django-django:1.9.6,django-django:1.9.6:NEG:django/conf/locale/__init__.py,0,django/conf/locale/__init__.py,Q1,0.21120999338285734,551.0,6.313548046277095,3.0,.py,,,,0.015620435978346931,0.019277983914563347,0.012169710709560385,0.018900573735114754,0.016492176084396355,0.0028724876953503454,0.0071082732050029625,0.003450725268786547,0.0071082732050029625
django-django,1.9.6,django-django:1.9.6,django-django:1.9.6:NEG:django/conf/locale/ar/formats.py,0,django/conf/locale/ar/formats.py,Q9,0.44602718509188355,22.0,3.1354942159291497,4.0,.py,,,,0.0017296331440170985,0.0013864278844054347,0.002258588736504882,0.0015707897098740612,0.0017363598687003693,0.00032505157679963147,0.0008721608520994473,0.0005289555924877835,0.0008721608520994473
