intervention_id,repo,role,period,anchor_commit,anchor_date,file_path,suffix,label,future_event_ids,match_window_days,match_distance,loc,size_bytes,ci_gzip,shannon_entropy,cyclomatic_density,halstead_volume,composite_score,directory_depth,prior_touches_total,prior_touches_365d,total_churn,churn_365d,author_count_total,author_count_365d,file_age_days,latest_touch_days,log_loc,log_size_bytes,log_prior_touches_total,log_prior_touches_365d,log_total_churn,log_churn_365d
django-django::9eeb788cfb70d07d87b3d07434d6a149ab2d7471::django/views/debug.py,django-django,control,pre,b078ccf8bfcd105873f13141403a6057e430463d,2014-11-12T21:01:12+00:00,django/utils/six.py,.py,0,,90,2.684805323286384,650.0,28253.0,0.25299968144975754,0.7169798517063455,0.10923076923076923,0.0,0.29259189590488593,2.0,18.0,3.0,1162.0,393.0,6.0,1.0,843.5635185185185,7.7750462962962965,6.478509642208569,10.24899031947161,2.9444389791664403,1.3862943611198906,7.0587581525186645,5.976350909297934
django-django::9eeb788cfb70d07d87b3d07434d6a149ab2d7471::django/views/debug.py,django-django,control,post,f31e9c7a9d03626e753fdb2bb9457228d71d570f,2014-11-13T10:34:59+00:00,django/utils/six.py,.py,0,,90,2.684805323286384,648.0,28153.0,0.25336553830852837,0.717134555539479,0.1095679012345679,0.0,0.2928256988499722,2.0,19.0,4.0,1166.0,397.0,6.0,1.0,844.1286458333333,0.0,6.47543271670409,10.24544471938791,2.995732273553991,1.6094379124341003,7.062191632286556,5.986452005284438
django-django::3f76d1402dac9c2993d588f996dc1c331edbc9a7::django/db/backends/base/schema.py,django-django,intervention,pre,f8bfa806805a87d2cdd677089bd96fbf8400cb95,2016-07-15T14:05:03+00:00,django/db/backends/base/schema.py,.py,0,,90,0.9665199522712071,914.0,46141.0,0.21057194252400252,0.7191960847127664,0.19474835886214442,0.06110247973073531,0.30855516215518813,4.0,31.0,15.0,1260.0,112.0,17.0,10.0,547.7838310185185,7.566608796296296,6.818924065275521,10.739478877125554,3.4657359027997265,2.772588722239781,7.13966033596492,4.727387818712341
django-django::3f76d1402dac9c2993d588f996dc1c331edbc9a7::django/db/backends/base/schema.py,django-django,intervention,post,3f76d1402dac9c2993d588f996dc1c331edbc9a7,2016-07-15T14:34:37+00:00,django/db/backends/base/schema.py,.py,0,,90,0.9665199522712071,920.0,46324.0,0.2102581815041879,0.7193087137360974,0.1923913043478261,0.06147098441152075,0.3079304145808899,4.0,32.0,16.0,1275.0,127.0,17.0,10.0,547.8043634259259,0.0,6.825460036255307,10.74343705115356,3.4965075614664802,2.833213344056216,7.151485463904735,4.852030263919617
django-django::3f76d1402dac9c2993d588f996dc1c331edbc9a7::django/db/backends/base/schema.py,django-django,control,pre,ce32c3e2cc8bdaa9557d4f3c9d830d7af3d01ca9,2016-04-28T22:19:21+00:00,django/db/migrations/operations/models.py,.py,0,,90,0.9665199522712071,619.0,27882.0,0.15475934294526936,0.7130049206799067,0.11308562197092084,0.0,0.25940382543866747,4.0,56.0,8.0,1441.0,302.0,20.0,4.0,1084.2584259259258,1.084710648148148,6.429719478039138,10.23577246310278,4.04305126783455,2.1972245773362196,7.273786317844895,5.713732805509369
django-django::3f76d1402dac9c2993d588f996dc1c331edbc9a7::django/db/backends/base/schema.py,django-django,control,post,f951bb78cbf179f0fb70fe74ae0c218925fd7ede,2016-04-28T22:20:48+00:00,django/db/migrations/operations/models.py,.py,0,,90,0.9665199522712071,618.0,27871.0,0.15478454307344552,0.7132542624914696,0.11326860841423948,0.0,0.2594741750835368,4.0,57.0,9.0,1452.0,313.0,20.0,4.0,1084.2594328703703,0.0,6.428105272684596,10.23537787965223,4.060443010546419,2.302585092994046,7.2813856635702825,5.749392985908253
django-django::ddf169cdaca91e92dd5bfe6796bb6f38369ecb68::django/conf/global_settings.py,django-django,intervention,pre,f24eea3b69d9c3139f0145cd48a8962f67671aff,2016-11-30T12:49:05+00:00,django/conf/global_settings.py,.py,0,,90,2.2290951448214544,523.0,22074.0,0.3508199691945275,0.7167684095486629,0.06309751434034416,0.14136279290241732,0.33551190440762946,2.0,292.0,15.0,1799.0,55.0,47.0,13.0,4158.474398148148,15.804386574074075,6.261491684321042,10.00220102547216,5.680172609017068,2.772588722239781,7.495541943884256,4.02535169073515
django-django::ddf169cdaca91e92dd5bfe6796bb6f38369ecb68::django/conf/global_settings.py,django-django,intervention,post,ddf169cdaca91e92dd5bfe6796bb6f38369ecb68,2016-11-30T13:57:27+00:00,django/conf/global_settings.py,.py,0,,90,2.2290951448214544,524.0,22100.0,0.3508597285067873,0.7167706948809627,0.06297709923664122,0.14136279290241732,0.33551089989311955,2.0,293.0,16.0,1800.0,56.0,48.0,14.0,4158.521875,0.0,6.263398262591624,10.003378135350923,5.683579767338681,2.833213344056216,7.496097345175956,4.04305126783455
django-django::ddf169cdaca91e92dd5bfe6796bb6f38369ecb68::django/conf/global_settings.py,django-django,control,pre,bcf3532ede16407f1a701717deaed835eda3e87b,2017-01-18T01:52:02+00:00,django/template/context.py,.py,0,,90,2.2290951448214544,242.0,9457.0,0.2887807972930105,0.7883174044276323,0.1322314049586777,0.0,0.3302112215915812,2.0,67.0,4.0,813.0,42.0,27.0,4.0,3914.0139583333334,20.20048611111111,5.493061443340548,9.15461622320382,4.219507705176107,1.6094379124341003,6.70196036600254,3.7612001156935624
django-django::ddf169cdaca91e92dd5bfe6796bb6f38369ecb68::django/conf/global_settings.py,django-django,control,post,740f63a3df2be086917c255421480c568c949f9b,2017-01-18T01:52:03+00:00,django/template/context.py,.py,0,,90,2.2290951448214544,234.0,9153.0,0.28700972358789467,0.7896911923006082,0.13675213675213677,0.0,0.33100629458883535,2.0,68.0,5.0,823.0,52.0,27.0,4.0,3914.0139699074075,0.0,5.459585514144159,9.121946221213587,4.23410650459726,1.791759469228055,6.714170529909472,3.970291913552122
django-django::1557778121e5d04a80f1f7c81eeb4b47400939e4::django/core/management/commands/loaddata.py,django-django,intervention,pre,1e655d35ad7540ea557c532ebc72a9acc407df50,2021-05-14T18:45:04+00:00,django/core/management/commands/loaddata.py,.py,0,,180,1.672756177166442,311.0,14570.0,0.2827041866849691,0.7735578669546895,0.21543408360128619,0.0,0.34520154517731466,4.0,125.0,4.0,2333.0,53.0,46.0,4.0,5020.526493055556,0.0,5.7430031878094825,9.586788531013854,4.836281906951478,1.6094379124341003,7.755338812846501,3.9889840465642745
django-django::1557778121e5d04a80f1f7c81eeb4b47400939e4::django/core/management/commands/loaddata.py,django-django,intervention,post,1557778121e5d04a80f1f7c81eeb4b47400939e4,2021-05-14T18:45:04+00:00,django/core/management/commands/loaddata.py,.py,0,,180,1.672756177166442,310.0,14462.0,0.2848845249619693,0.7751017172848629,0.2161290322580645,0.0,0.34654114979295997,4.0,126.0,5.0,2342.0,62.0,46.0,4.0,5020.526493055556,0.0,5.739792912179234,9.579348943073732,4.844187086458591,1.791759469228055,7.759187438507795,4.143134726391533
django-django::1557778121e5d04a80f1f7c81eeb4b47400939e4::django/core/management/commands/loaddata.py,django-django,control,pre,d08977a0f05cf3efb538dcb09d07915d2ede4c67,2021-01-14T16:50:04+00:00,django/contrib/messages/storage/cookie.py,.py,0,,180,1.672756177166442,179.0,7834.0,0.3197600204237937,0.8159317392181629,0.1340782122905028,0.0,0.34932914092797057,4.0,40.0,7.0,390.0,96.0,19.0,3.0,4053.9949189814815,7.200821759259259,5.19295685089021,8.966356154790121,3.713572066704308,2.0794415416798357,5.968707559985366,4.574710978503383
django-django::1557778121e5d04a80f1f7c81eeb4b47400939e4::django/core/management/commands/loaddata.py,django-django,control,post,831a05b1859f960dba0aff3ac46daa40ca70704e,2021-01-14T16:50:04+00:00,django/contrib/messages/storage/cookie.py,.py,0,,180,1.672756177166442,156.0,6720.0,0.32127976190476193,0.8210421226102811,0.1346153846153846,0.0,0.35157062680641643,4.0,41.0,8.0,417.0,123.0,19.0,3.0,4053.9949189814815,0.0,5.056245805348308,8.812992231969966,3.7376696182833684,2.1972245773362196,6.035481432524756,4.820281565605037
