repo,snapshot_tag,snapshot_commit,advisory_id,fixed_commit,file_path,published_at,severity_label,source_family,mapping_basis,review_decision,reviewer,notes
django-django,4.0.2,b12be7ad6b83ffc512252953ef28d0d099f96ad7,CVE-2023-24580,83f1ea83e4553e211c1c5a0dfc197b66d4e50432,django/core/handlers/exception.py,2023-02-15T01:15:10+00:00,HIGH,explicit_plus_range,explicit_id+osv_range,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
django-django,4.0.2,b12be7ad6b83ffc512252953ef28d0d099f96ad7,CVE-2023-24580,83f1ea83e4553e211c1c5a0dfc197b66d4e50432,django/http/multipartparser.py,2023-02-15T01:15:10+00:00,HIGH,explicit_plus_range,explicit_id+osv_range,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
django-django,4.0.2,b12be7ad6b83ffc512252953ef28d0d099f96ad7,CVE-2023-24580,83f1ea83e4553e211c1c5a0dfc197b66d4e50432,django/http/request.py,2023-02-15T01:15:10+00:00,HIGH,explicit_plus_range,explicit_id+osv_range,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
django-django,4.2.4,6f4c7c124a03f7b01d868cb7d1fa55564b5f2bf8,CVE-2024-11168,f663277a4c22ef96cbdebfd0ed76155b9d37b4f8,django/utils/http.py,2024-12-03T08:50:11+00:00,UNKNOWN,explicit_only,explicit_id,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
django-django,4.2.4,6f4c7c124a03f7b01d868cb7d1fa55564b5f2bf8,CVE-2024-41989,fc76660f589ac07e45e9cd34ccb8087aeb11904b,django/template/defaultfilters.py,2024-08-07T15:15:56+00:00,HIGH,explicit_plus_range,explicit_id+osv_range,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
django-django,4.2.4,6f4c7c124a03f7b01d868cb7d1fa55564b5f2bf8,CVE-2024-41990,d0a82e26a74940bf0c78204933c3bdd6a283eb88,django/utils/html.py,2024-08-07T15:15:56+00:00,HIGH,explicit_plus_range,explicit_id+osv_range,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
django-django,4.2.4,6f4c7c124a03f7b01d868cb7d1fa55564b5f2bf8,CVE-2024-41991,efea1ef7e2190e3f77ca0651b5458297bc0f6a9f,django/contrib/admin/widgets.py,2024-08-07T15:15:56+00:00,HIGH,explicit_plus_range,explicit_id+osv_range,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
django-django,4.2.4,6f4c7c124a03f7b01d868cb7d1fa55564b5f2bf8,CVE-2024-41991,efea1ef7e2190e3f77ca0651b5458297bc0f6a9f,django/utils/html.py,2024-08-07T15:15:56+00:00,HIGH,explicit_plus_range,explicit_id+osv_range,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
django-django,4.2.4,6f4c7c124a03f7b01d868cb7d1fa55564b5f2bf8,CVE-2024-42005,f4af67b9b41e0f4c117a8741da3abbd1c869ab28,django/db/models/sql/query.py,2024-08-07T15:15:56+00:00,HIGH,explicit_plus_range,explicit_id+osv_range,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
django-django,5.0.2,428d06ccef09e70bcef9869c5a9404863b2fc7d8,CVE-2024-27351,3394fc6132436eca89e997083bae9985fb7e761e,django/__init__.py,2024-03-15T20:15:09+00:00,MEDIUM,explicit_plus_reference_plus_range,explicit_id+osv_range+osv_ref,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
django-django,5.0.2,428d06ccef09e70bcef9869c5a9404863b2fc7d8,CVE-2024-27351,3394fc6132436eca89e997083bae9985fb7e761e,django/utils/text.py,2024-03-15T20:15:09+00:00,MEDIUM,explicit_plus_reference_plus_range,explicit_id+osv_range+osv_ref,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
go-gitea-gitea,v1.15.0-rc1,195c9999a1fce5a0f6e796be9a831761400c3003,CVE-2022-0905,1314f38b59748397b3429fb9bc9f9d6bac85d2f2,modules/auth/pam/pam.go,2022-03-10T00:00:00+00:00,MEDIUM,reference_plus_range,osv_range+osv_ref,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
