repo,event_id,published_epoch,published,fixed_commit,fixed_epoch,aliases,source,event_date_source,severity_score,severity_label,severity_source,snapshot_commit,changed_source_files_count,changed_source_files,snapshot_tag,snapshot_date,snapshot_key
sqlite,CVE-2019-19646,1575918914,2019-12-09T19:15:14+00:00,ebd70eedd5d6e6a890a670b5ee874a5eae86b4dd,1575906727,CVE-2019-19646,nvd_ref+osv_range+osv_ref,nvd_published+osv_published,9.8,CRITICAL,nvd_metrics+osv_severity,ea7e83b7806773bf6a2c60786ff8f95b218d4622,1,src/pragma.c,version-3.29.0,2019-07-10T17:32:03+00:00,sqlite:version-3.29.0
sqlite,CVE-2019-19880,1576649712,2019-12-18T06:15:12+00:00,75e95e1fcd52d3ec8282edb75ac8cd0814095d54,1576627550,CVE-2019-19880,nvd_ref+osv_range+osv_ref,nvd_published+osv_published,7.5,HIGH,nvd_metrics+osv_severity,ea7e83b7806773bf6a2c60786ff8f95b218d4622,1,src/window.c,version-3.29.0,2019-07-10T17:32:03+00:00,sqlite:version-3.29.0
sqlite,CVE-2019-19926,1577063713,2019-12-23T01:15:13+00:00,8428b3b437569338a9d1e10c4cd8154acbe33089,1576793299,CVE-2019-19926,nvd_ref+osv_range+osv_ref,nvd_published+osv_published,7.5,HIGH,nvd_metrics+osv_severity,ea7e83b7806773bf6a2c60786ff8f95b218d4622,1,src/select.c,version-3.29.0,2019-07-10T17:32:03+00:00,sqlite:version-3.29.0
sqlite,CVE-2019-19923,1577204111,2019-12-24T16:15:11+00:00,396afe6f6aa90a31303c183e11b2b2d4b7956b35,1576702318,CVE-2019-19923,nvd_ref+osv_range+osv_ref,nvd_published+osv_published,7.5,HIGH,nvd_metrics+osv_severity,ea7e83b7806773bf6a2c60786ff8f95b218d4622,1,src/select.c,version-3.29.0,2019-07-10T17:32:03+00:00,sqlite:version-3.29.0
sqlite,CVE-2019-19925,1577207710,2019-12-24T17:15:10+00:00,54d501092d88c0cf89bec4279951f548fb0b8618,1576768540,CVE-2019-19925,nvd_ref+osv_range+osv_ref,nvd_published+osv_published,7.5,HIGH,nvd_metrics+osv_severity,ea7e83b7806773bf6a2c60786ff8f95b218d4622,1,ext/misc/zipfile.c,version-3.29.0,2019-07-10T17:32:03+00:00,sqlite:version-3.29.0
sqlite,CVE-2019-20218,1577974596,2020-01-02T14:16:36+00:00,a6c1a71cde082e09750465d5675699062922e387,1577480082,CVE-2019-20218,nvd_ref+osv_range+osv_ref,nvd_published+osv_published,7.5,HIGH,nvd_metrics+osv_severity,ea7e83b7806773bf6a2c60786ff8f95b218d4622,1,src/select.c,version-3.29.0,2019-07-10T17:32:03+00:00,sqlite:version-3.29.0
sqlite,CVE-2019-19959,1578089712,2020-01-03T22:15:12+00:00,d8f2d46cbc9925e034a68aaaf60aad788d9373c1,1577135073,CVE-2019-19959,nvd_ref+osv_range+osv_ref,nvd_published+osv_published,7.5,HIGH,nvd_metrics+osv_severity,ea7e83b7806773bf6a2c60786ff8f95b218d4622,1,ext/misc/zipfile.c,version-3.29.0,2019-07-10T17:32:03+00:00,sqlite:version-3.29.0
git,CVE-2016-2315,1460127541,2016-04-08T14:59:01+00:00,34fa79a6cde56d6d428ab0d3160cb094ebad3305,1444068485,CVE-2016-2315,nvd_ref,nvd_published,9.8,CRITICAL,nvd_metrics,e46fe3df01435bf523d2ab4f2755556c0e4e6f78,3,compat/nedmalloc/nedmalloc.c;fast-import.c;revision.c,v2.4.0-rc2,2015-04-14T18:57:13+00:00,git:v2.4.0-rc2
git,CVE-2016-2324,1460127542,2016-04-08T14:59:02+00:00,de1e67d0703894cb6ea782e36abb63976ab07e60,1455310277,CVE-2016-2324,nvd_ref,nvd_published,9.8,CRITICAL,nvd_metrics,e46fe3df01435bf523d2ab4f2755556c0e4e6f78,9,builtin/pack-objects.c;builtin/rev-list.c;list-objects.c;list-objects.h;pack-bitmap-write.c;pack-bitmap.c;reachable.c;revision.c;revision.h,v2.4.0-rc2,2015-04-14T18:57:13+00:00,git:v2.4.0-rc2
openssh,CVE-2020-12062,1591028114,2020-06-01T16:15:14+00:00,aad87b88fc2536b1ea023213729aaf4eaabe1894,1588315211,CVE-2020-12062,nvd_ref+osv_range+osv_ref,nvd_published+osv_published,7.5,HIGH,nvd_metrics+osv_severity,8aa3455b16fddea4c0144a7c4a1edb10ec67dcc8,1,scp.c,V_8_2_P1,2020-02-14T00:40:54+00:00,openssh:V_8_2_P1
zlib,CVE-2022-37434,1659683707,2022-08-05T07:15:07+00:00,eff308af425b67093bab25f80f1ae950166bece1,1659221882,CVE-2022-37434,nvd_ref+osv_range+osv_ref,nvd_published+osv_published,9.8,CRITICAL,nvd_metrics+osv_severity,21767c654d31d2dccdde4330529775c6c5fd5389,1,inflate.c,v1.2.12,2022-03-27T23:05:02+00:00,zlib:v1.2.12
zlib,CVE-2023-45853,1697249709,2023-10-14T02:15:09+00:00,51b7f2abdade71cd9bb0e7a373ef2610ec6f9daf,1705948357,CVE-2023-45853;GHSA-MQ29-J5XF-CJWR,osv_range,osv_published,9.8,CRITICAL,osv_severity,09155eaa2f9270dc4ed1fa13e2b4b2613e6e4851,10,contrib/infback9/inftree9.c;deflate.c;deflate.h;gzguts.h;gzlib.c;inftrees.c;trees.c;zconf.h;zlib.h;zutil.h,v1.3,2023-08-18T08:45:36+00:00,zlib:v1.3
psf-requests,CVE-2018-18074,1539106141,2018-10-09T17:29:01+00:00,bd840450c0d1e9db3bf62382c15d96378cc3a056,1539840742,CVE-2018-18074;GHSA-X84V-XCM2-53PG;PYSEC-2018-28,osv_range,osv_published,7.5,HIGH,osv_severity,991e8b76b7a9d21f698b24fa0058d3d5968721bc,3,requests/__init__.py;requests/__version__.py;setup.py,v2.19.0,2018-06-12T14:38:10+00:00,psf-requests:v2.19.0
