repo,snapshot_tag,snapshot_date,event_id,event_observation_id,event_published,event_date_source,severity_band,severity_score,severity_label,severity_source,ground_truth_source,ground_truth_source_family,ground_truth_aliases,fixed_commit,commit_subject,case_file,control_file,changed_source_files_count,changed_source_files_sample,review_decision,review_notes
curl,curl-7_37_0,2014-05-20T21:42:47+00:00,CVE-2014-3613,curl:curl-7_37_0:CVE-2014-3613,2014-09-10T08:00:00+00:00,osv_published,all,,MEDIUM,osv_severity,explicit_id+osv_range,explicit_plus_range,CURL-CVE-2014-3613;CVE-2014-3613,8a75dbeb2305297640453029b7905ef51b87e8dd,cookies: only use full host matches for hosts used as IP address,lib/cookie.c,lib/connect.c,1,lib/cookie.c,,
curl,curl-7_37_0,2014-05-20T21:42:47+00:00,CVE-2016-0754,curl:curl-7_37_0:CVE-2016-0754,2016-01-26T22:42:55+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,explicit_id,explicit_only,CVE-2016-0754,3017d8a8d8849ebd4feae4f5eae037cd55736a61,curl: avoid local drive traversal when saving file (Windows),src/tool_cb_hdr.c,lib/if2ip.c,4,src/tool_cb_hdr.c;src/tool_doswin.c;src/tool_doswin.h;src/tool_operate.c,,
curl,curl-7_37_0,2014-05-20T21:42:47+00:00,CVE-2016-3739,curl:curl-7_37_0:CVE-2016-3739,2016-05-18T08:00:00+00:00,osv_published,all,5.3,HIGH,osv_severity,explicit_id+osv_range,explicit_plus_range,CURL-CVE-2016-3739;CVE-2016-3739,6efd2fa529a189bf41736a610f6184cd8ad94b4d,"mbedtls/polarssl: set ""hostname"" unconditionally",lib/vtls/polarssl.c,lib/vtls/vtls.c,2,lib/vtls/mbedtls.c;lib/vtls/polarssl.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-5419,curl:curl-7_50_0:CVE-2016-5419,2016-08-03T08:00:00+00:00,osv_published,all,7.5,HIGH,osv_severity,explicit_id+osv_range,explicit_plus_range,CURL-CVE-2016-5419;CVE-2016-5419,247d890da88f9ee817079e246c59f3d7d12fde5f,TLS: switch off SSL session id when client cert is used,lib/url.c,src/tool_operate.c,3,lib/url.c;lib/urldata.h;lib/vtls/vtls.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-5420,curl:curl-7_50_0:CVE-2016-5420,2016-08-02T22:34:27+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,explicit_id,explicit_only,CVE-2016-5420,11ec5ad4352bba384404c56e77c7fab9382fd22d,TLS: only reuse connections with the same client cert,lib/vtls/vtls.c,lib/vauth/ntlm.c,1,lib/vtls/vtls.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-5421,curl:curl-7_50_0:CVE-2016-5421,2016-08-02T22:34:27+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,explicit_id,explicit_only,CVE-2016-5421,75dc096e01ef1e21b6c57690d99371dedb2c0b80,curl_multi_cleanup: clear connection pointer for easy handles,lib/multi.c,lib/ssh.c,1,lib/multi.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-7167,curl:curl-7_50_0:CVE-2016-7167,2016-09-14T05:49:43+00:00,fixed_commit_epoch,all,,UNKNOWN,unavailable,explicit_id,explicit_only,CVE-2016-7167,01cf1308ee2e792c77bb1d2c9218c56a30fd40ae,curl_easy_unescape: deny negative string lengths as input,lib/escape.c,src/tool_getpass.c,1,lib/escape.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-8615,curl:curl-7_50_0:CVE-2016-8615,2016-11-02T08:00:00+00:00,osv_published,all,7.5,HIGH,osv_severity,explicit_id+osv_range,explicit_plus_range,CURL-CVE-2016-8615;CVE-2016-8615,cff89bc088b7884098ea0c5378bbda3d49c437bc,cookie: replace use of fgets() with custom version,lib/cookie.c,lib/connect.c,1,lib/cookie.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-8617,curl:curl-7_50_0:CVE-2016-8617,2016-11-02T08:00:00+00:00,osv_published,all,7.0,HIGH,osv_severity,explicit_id+osv_range,explicit_plus_range,CURL-CVE-2016-8617;CVE-2016-8617,efd24d57426bd77c9b5860e6b297904703750412,base64: check for integer overflow on large input,lib/base64.c,src/tool_cb_dbg.c,1,lib/base64.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-8619,curl:curl-7_50_0:CVE-2016-8619,2016-11-02T08:00:00+00:00,osv_published,all,9.8,CRITICAL,osv_severity,explicit_id+osv_range,explicit_plus_range,CURL-CVE-2016-8619;CVE-2016-8619,3d6460edeee21d7d790ec570d0887bed1f4366dd,krb5: avoid realloc(0),lib/security.c,lib/select.c,1,lib/security.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-8621,curl:curl-7_50_0:CVE-2016-8621,2016-11-02T08:00:00+00:00,osv_published,all,7.5,HIGH,osv_severity,explicit_id+osv_range,explicit_plus_range,CURL-CVE-2016-8621;CVE-2016-8621,96a80b5a262fb6dd2ddcea7987296f3b9a405618,parsedate: handle cut off numbers better,lib/parsedate.c,src/tool_help.c,1,lib/parsedate.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-8622,curl:curl-7_50_0:CVE-2016-8622,2016-11-02T08:00:00+00:00,osv_published,all,9.8,CRITICAL,osv_severity,explicit_id+osv_range,explicit_plus_range,CURL-CVE-2016-8622;CVE-2016-8622,53e71e47d6b81650d26ec33a58d0dca24c7ffb2c,unescape: avoid integer overflow,lib/dict.c,src/tool_main.c,2,lib/dict.c;lib/escape.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-8623,curl:curl-7_50_0:CVE-2016-8623,2016-11-02T08:00:00+00:00,osv_published,all,7.5,HIGH,osv_severity,explicit_id+osv_range,explicit_plus_range,CURL-CVE-2016-8623;CVE-2016-8623,c5be3d7267c725dbd093ff3a883e07ee8cf2a1d5,cookies: getlist() now holds deep copies of all cookies,lib/cookie.h,projects/wolfssl_options.h,3,lib/cookie.c;lib/cookie.h;lib/http.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-8625,curl:curl-7_50_0:CVE-2016-8625,2016-11-02T08:00:00+00:00,osv_published,all,7.5,HIGH,osv_severity,explicit_id+osv_range,explicit_plus_range,CURL-CVE-2016-8625;CVE-2016-8625,9c91ec778104ae3b744b39444d544e82d5ee9ece,idn: switch to libidn2 use and IDNA2008 support,lib/curl_setup.h,lib/config-tpf.h,6,lib/curl_setup.h;lib/easy.c;lib/strerror.c;lib/strerror.h;lib/url.c;lib/version.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2017-1000099,curl:curl-7_50_0:CVE-2017-1000099,2017-08-09T08:00:00+00:00,osv_published,all,6.5,MEDIUM,osv_severity,explicit_id+osv_range,explicit_plus_range,CURL-CVE-2017-1000099;CVE-2017-1000099,c9332fa5e84f24da300b42b1a931ade929d3e27d,file: output the correct buffer to the user,lib/file.c,lib/asyn-thread.c,1,lib/file.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2017-1000254,curl:curl-7_50_0:CVE-2017-1000254,2017-10-04T08:00:00+00:00,osv_published,all,7.5,HIGH,osv_severity,explicit_id+osv_range,explicit_plus_range,CURL-CVE-2017-1000254;CVE-2017-1000254,5ff2c5ff25750aba1a8f64fbcad8e5b891512584,FTP: zero terminate the entry path even on bad input,lib/ftp.c,src/tool_getparam.c,1,lib/ftp.c,,
