repo,n_pairs,n_events,n_snapshots,mean_delta_composite,median_delta_composite,positive_share
zlib,11,2,1,0.051242774511700236,0.04235020292102032,0.7272727272727273
traefik-traefik,6,3,1,0.013278396532959322,0.008441963752507817,0.6666666666666666
jq,7,5,1,0.0028933677207005587,0.001690682931979992,0.5714285714285714
django-django,5,5,1,-0.003606321428778536,-0.012153170821788739,0.4
psf-requests,1,1,1,-0.04047930851515663,-0.04047930851515663,0.0
