pair_id,repo,snapshot_tag,snapshot_commit,snapshot_date,snapshot_key,event_id,event_observation_id,ground_truth_policy,ground_truth_source,ground_truth_aliases,event_published,event_date_source,fixed_commit,case_file,control_file,case_file_path,case_suffix,case_size_bytes,case_loc,case_ci_gzip,case_shannon_entropy,case_cyclomatic_density,case_halstead_volume,case_composite_score,case_directory_depth,case_prior_touches_total,case_prior_touches_365d,case_total_churn,case_churn_365d,case_author_count_total,case_author_count_365d,case_file_age_days,case_latest_touch_days,control_file_path,control_suffix,control_size_bytes,control_loc,control_ci_gzip,control_shannon_entropy,control_cyclomatic_density,control_halstead_volume,control_composite_score,control_directory_depth,control_prior_touches_total,control_prior_touches_365d,control_total_churn,control_churn_365d,control_author_count_total,control_author_count_365d,control_file_age_days,control_latest_touch_days,delta_composite,delta_ci_gzip,delta_entropy,delta_cc_density,delta_halstead,delta_log_prior_touches_365d,delta_log_churn_365d
10,traefik-traefik,v2.10.6,dae0491b612ae9d706ffa2f0faa941bce00f0c01,2023-11-28T14:46:10+00:00,traefik-traefik:v2.10.6,CVE-2025-54386,traefik-traefik:v2.10.6:CVE-2025-54386,expanded_advisory_plus_explicit,osv_range+osv_ref,CVE-2025-54386;GHSA-Q6GG-9F92-R9WG;GO-2025-3835,2025-08-01T23:32:21+00:00,osv_published,5ef853a0c53068f69a6c229a5815a0dc6e0a8800,pkg/plugins/client.go,pkg/metrics/influxdb.go,pkg/plugins/client.go,.go,9928.0,323.0,0.2612812248186946,0.7610058184038445,0.006191950464396285,0.0,0.28307160176581125,2,0,0,0,0,0,0,,,pkg/metrics/influxdb.go,.go,9769.0,205.0,0.26246289282423996,0.7701793615719282,0.09268292682926829,0.0,0.306920744925904,2,0,0,0,0,0,0,,,-0.023849143160092734,-0.0011816680055453666,-0.00917354316808372,-0.086490976364872,0.0,0.0,0.0
11,zlib,v1.3,09155eaa2f9270dc4ed1fa13e2b4b2613e6e4851,2023-08-18T08:45:36+00:00,zlib:v1.3,CVE-2023-45853,zlib:v1.3:CVE-2023-45853,expanded_advisory_plus_explicit,osv_range,CVE-2023-45853;GHSA-MQ29-J5XF-CJWR,2023-10-14T02:15:09+00:00,osv_published,51b7f2abdade71cd9bb0e7a373ef2610ec6f9daf,contrib/infback9/inftree9.c,contrib/minizip/iowin32.c,contrib/infback9/inftree9.c,.c,13404.0,256.0,0.3197552969262907,0.792362453560536,0.18359375,0.0,0.35310946270750193,2,80,4,2169,25,1,1,4360.131307870371,0.0,contrib/minizip/iowin32.c,.c,13749.0,369.0,0.16430285838970107,0.761910748261687,0.17886178861788618,0.0,0.29187604449215554,2,14,1,2934,65,1,1,4360.099756944444,124.11734953703704,0.06123341821534639,0.1554524385365896,0.030451705298848997,0.0047319613821138196,0.0,0.916290731874155,-0.931558204004943
12,zlib,v1.3,09155eaa2f9270dc4ed1fa13e2b4b2613e6e4851,2023-08-18T08:45:36+00:00,zlib:v1.3,CVE-2023-45853,zlib:v1.3:CVE-2023-45853,expanded_advisory_plus_explicit,osv_range,CVE-2023-45853;GHSA-MQ29-J5XF-CJWR,2023-10-14T02:15:09+00:00,osv_published,51b7f2abdade71cd9bb0e7a373ef2610ec6f9daf,deflate.c,inflate.c,deflate.c,.c,80985.0,1725.0,0.23930357473606223,0.6396737429636192,0.23768115942028986,0.0562242424221072,0.3069993793081851,0,131,11,6012,789,2,2,4360.131307870371,0.0,inflate.c,.c,55519.0,1357.0,0.22489598155586377,0.6912628100057197,0.23212969786293294,0.02288186904958813,0.3092661479419276,0,70,3,3614,131,1,1,4360.131307870371,124.18616898148149,-0.0022667686337424775,0.014407593180198464,-0.05158906704210042,0.005551461557356918,0.033342373372519066,1.0986122886681098,1.7892310228746968
13,zlib,v1.3,09155eaa2f9270dc4ed1fa13e2b4b2613e6e4851,2023-08-18T08:45:36+00:00,zlib:v1.3,CVE-2023-45853,zlib:v1.3:CVE-2023-45853,expanded_advisory_plus_explicit,osv_range,CVE-2023-45853;GHSA-MQ29-J5XF-CJWR,2023-10-14T02:15:09+00:00,osv_published,51b7f2abdade71cd9bb0e7a373ef2610ec6f9daf,deflate.h,trees.h,deflate.h,.h,13118.0,240.0,0.3588199420643391,0.7869144644499676,0.016666666666666666,0.0,0.32409876908296503,0,42,1,646,16,1,1,4360.131307870371,124.18616898148149,trees.h,.h,8472.0,120.0,0.1704438149197356,0.3448338217601502,0.008333333333333333,0.037068740680721746,0.1471315301556176,0,3,0,136,0,1,0,4360.101840277778,4360.090752314814,0.17696723892734742,0.1883761271446035,0.4420806426898174,0.008333333333333333,-0.037068740680721746,0.6931471805599453,2.833213344056216
14,zlib,v1.3,09155eaa2f9270dc4ed1fa13e2b4b2613e6e4851,2023-08-18T08:45:36+00:00,zlib:v1.3,CVE-2023-45853,zlib:v1.3:CVE-2023-45853,expanded_advisory_plus_explicit,osv_range,CVE-2023-45853;GHSA-MQ29-J5XF-CJWR,2023-10-14T02:15:09+00:00,osv_published,51b7f2abdade71cd9bb0e7a373ef2610ec6f9daf,gzguts.h,inflate.h,gzguts.h,.h,6778.0,168.0,0.37518442018294484,0.7950127350306406,0.15476190476190477,0.0,0.36757054103400233,0,44,2,388,23,1,1,4360.096377314815,19.147534722222222,inflate.h,.h,6683.0,107.0,0.3345802783181206,0.7869117525203639,0.009345794392523364,0.0,0.31468361960766716,0,19,0,230,0,1,0,4360.131307870371,508.4031712962963,0.052886921426335165,0.04060414186482425,0.008100982510276689,0.1454161103693814,0.0,1.0986122886681098,3.1780538303479458
15,zlib,v1.3,09155eaa2f9270dc4ed1fa13e2b4b2613e6e4851,2023-08-18T08:45:36+00:00,zlib:v1.3,CVE-2023-45853,zlib:v1.3:CVE-2023-45853,expanded_advisory_plus_explicit,osv_range,CVE-2023-45853;GHSA-MQ29-J5XF-CJWR,2023-10-14T02:15:09+00:00,osv_published,51b7f2abdade71cd9bb0e7a373ef2610ec6f9daf,gzlib.c,gzwrite.c,gzlib.c,.c,16253.0,446.0,0.2729957546299145,0.7356790119956407,0.273542600896861,0.0,0.34564304345364694,0,49,3,1094,103,2,1,4360.096377314815,3.3636805555555553,gzwrite.c,.c,19237.0,461.0,0.21344284451837606,0.7388396477664724,0.28633405639913234,0.0,0.32900919946414553,0,50,3,1461,86,1,1,4360.096377314815,124.18616898148149,0.016633843989501407,0.05955291011153843,-0.003160635770831699,-0.012791455502271343,0.0,0.0,0.17848278048678878
16,zlib,v1.3,09155eaa2f9270dc4ed1fa13e2b4b2613e6e4851,2023-08-18T08:45:36+00:00,zlib:v1.3,CVE-2023-45853,zlib:v1.3:CVE-2023-45853,expanded_advisory_plus_explicit,osv_range,CVE-2023-45853;GHSA-MQ29-J5XF-CJWR,2023-10-14T02:15:09+00:00,osv_published,51b7f2abdade71cd9bb0e7a373ef2610ec6f9daf,inftrees.c,inffast.c,inftrees.c,.c,13023.0,241.0,0.3280350149735084,0.7914794157844615,0.17842323651452283,0.0,0.35435848577304907,0,86,4,2271,25,1,1,4360.131307870371,0.0,inffast.c,.c,12924.0,296.0,0.24729186010523058,0.7607225617855676,0.14864864864864866,0.0,0.31200828285202875,0,33,1,1242,5,1,1,4360.120358796296,124.18616898148149,0.04235020292102032,0.08074315486827782,0.03075685399889383,0.02977458786587417,0.0,0.916290731874155,1.4663370687934272
17,zlib,v1.3,09155eaa2f9270dc4ed1fa13e2b4b2613e6e4851,2023-08-18T08:45:36+00:00,zlib:v1.3,CVE-2023-45853,zlib:v1.3:CVE-2023-45853,expanded_advisory_plus_explicit,osv_range,CVE-2023-45853;GHSA-MQ29-J5XF-CJWR,2023-10-14T02:15:09+00:00,osv_published,51b7f2abdade71cd9bb0e7a373ef2610ec6f9daf,trees.c,crc32.c,trees.c,.c,40639.0,850.0,0.2730136076182977,0.6475665413573177,0.14705882352941177,0.00714623625566233,0.29181510622440743,0,53,4,2921,643,1,1,4360.131307870371,124.18616898148149,crc32.c,.c,31605.0,855.0,0.2460686600221484,0.7170796854814991,0.1695906432748538,0.0,0.3048384939646511,0,53,4,3341,267,2,2,4360.131307870371,14.494583333333333,-0.013023387740243697,0.026944947596149293,-0.06951314412418141,-0.022531819745442022,0.00714623625566233,0.0,0.8767117455934974
18,zlib,v1.3,09155eaa2f9270dc4ed1fa13e2b4b2613e6e4851,2023-08-18T08:45:36+00:00,zlib:v1.3,CVE-2023-45853,zlib:v1.3:CVE-2023-45853,expanded_advisory_plus_explicit,osv_range,CVE-2023-45853;GHSA-MQ29-J5XF-CJWR,2023-10-14T02:15:09+00:00,osv_published,51b7f2abdade71cd9bb0e7a373ef2610ec6f9daf,zconf.h,inffixed.h,zconf.h,.h,16682.0,484.0,0.26957199376573554,0.7291500238070497,0.15495867768595042,0.06220518194563755,0.32085469566153896,0,90,5,1827,27,1,1,4360.131307870371,122.46549768518518,inffixed.h,.h,6332.0,89.0,0.23989260897030953,0.2911658407499133,0.011235955056179775,0.013955135239879369,0.15130132083784212,0,4,0,618,0,1,0,4360.1009375,4334.217407407407,0.16955337482369684,0.029679384795426006,0.43798418305713643,0.14372272262977065,0.048250046705758186,1.791759469228055,3.332204510175204
19,zlib,v1.3,09155eaa2f9270dc4ed1fa13e2b4b2613e6e4851,2023-08-18T08:45:36+00:00,zlib:v1.3,CVE-2023-45853,zlib:v1.3:CVE-2023-45853,expanded_advisory_plus_explicit,osv_range,CVE-2023-45853;GHSA-MQ29-J5XF-CJWR,2023-10-14T02:15:09+00:00,osv_published,51b7f2abdade71cd9bb0e7a373ef2610ec6f9daf,zlib.h,crc32.h,zlib.h,.h,96778.0,1550.0,0.2696687263634297,0.7614454560598592,0.005806451612903226,0.024792751344358523,0.2842150958581768,0,168,10,6640,411,2,2,4360.131307870371,0.0,crc32.h,.h,591749.0,9382.0,0.3795747859311972,0.5664300693011651,0.0014922191430398635,0.0,0.2378161656932401,0,5,0,10908,0,1,0,4360.099872685185,1695.5130092592592,0.04639893016493668,-0.1099060595677675,0.19501538675869412,0.004314232469863363,0.024792751344358523,2.3978952727983707,6.021023349349527
